subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,ve_1,ve_2,ve_3,ve_4,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,2.92291792043932,48.4778989991568,73.4244155844412,0.25909527503599,0.249101375844056,,,0.149947551230548,0.213348612477629,,,0.0117710772347708,96.2914240238014,0,1,-0.000373043505425004,0,0,-0.474154800418378
1,79,stop,22.1942711647947,,27.09817685444,0.73590749743001,,,,NaN,,,,0.0526744159687139,28.542309558508,0,1,-0.000289153806558369,0,-0.173253492339908,NaN
1,352,go,25.5806652447384,,99.1441067090965,0.220716915284991,0.327076640840405,0.210689521075387,0.255550604922377,0.137884533015224,0.144697362655932,0.154441464912222,0.205248768375442,0.0344143439036912,20.2285305546733,0,1,-0.000134250447400749,0,0,-0.332149859394891
1,352,stop,24.5791393260197,,44.1461393404337,0.798956747402074,,,,NaN,,,,0.0208521901148004,2.3804780692826,0,1,-0.00144101219201592,0,-0.163870318280608,NaN
1,478,go,8.1630739713404,96.8573966360782,143.730931623688,0.335731606715653,0.406113707691067,0.312727557755197,0.277700200416929,0.117665281387572,0.157585437633076,0.132210210281836,0.276055694812177,0.0632228867220718,85.9235046502633,0,1,-5.56214050510513e-05,0,0,-0.148177221858672
1,478,stop,15.5199009345904,,15.6155837103286,0.114248006847561,,,,NaN,,,,0.0573923688232966,0.880362255874478,0,1,-3.50208762265811e-07,0,-0.416089776291715,NaN
3,79,go,24.1272549069802,4.39198257868688,48.2938129351137,0.287511707472175,0.23712242724082,,,0.119634937112409,0.196752312958014,,,0.0361160644858112,69.4112770935958,0,1,-0.00415345407687823,0,0,-0.02665108957783
3,79,stop,5.21169065530405,,8.52971790511009,0.103084571219044,,,,NaN,,,,0.0589607447989183,19.8258971954734,0,1,-0.00175185961570963,0,-0.402052678398188,NaN
3,352,go,8.11082413038244,,31.4173863739657,0.28375572331287,0.112172794798621,0.145697137694639,0.101787642898966,0.122007226060154,0.0171692261933057,0.10069842677598,0.0633258542348563,0.0564018157439605,133.145208760445,0,1,-6.45296443241893e-05,0,0,-0.621514078086442
3,352,stop,9.51623384761821,,12.9158167015748,0.128203842388335,,,,NaN,,,,0.0599176648600602,18.9728889572904,0,1,-3.96202981175009e-05,0,-0.116284939372205,NaN
3,478,go,10.8616427087281,3.91260462131512,24.3873055103355,0.289289700797484,0.12513174561852,0.138964351915031,0.124752948497309,0.190660400994034,0.0145280976977524,0.108931809647488,0.087343079616841,0.0305018963716344,143.018316410312,0,1,-0.00249499721195227,0,0,-0.528199084791841
3,478,stop,2.13755699484838,,5.65044310541911,0.0188854121131322,,,,NaN,,,,0.0464265193264472,23.8770182523646,0,1,-0.00173803549535409,0,-0.502389532267264,NaN
