FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13
15	finalLog_goTrials_model002_startVal015_started2017-04-19-T210543	SAM_goTrials_model002_startVal015_exit1_started2017-04-19-T210543	15	1176.36601794606	00:22:45.63	1	1.96384567101019	40.1693451235832	88.9882802769502	0.157168954253024	0.0859634789567119	0.00603317166200902	0.0456213726945487	0	1	-1.35188537005258e-06	0	0	0	14.3690973299433	18.6696857467504	77.4575328339819	0.141662162507115	0.0271311441639815	0.0513354310167125	1.01200002017454	0	1	-0.000220245445849142	0	0	0
11	finalLog_goTrials_model002_startVal011_started2017-04-19-T210544	SAM_goTrials_model002_startVal011_exit1_started2017-04-19-T210544	11	1211.78348179929	00:34:15.30	1	0.257573018666726	34.5898284245143	70.3857742534165	0.143464973725357	0.0652749261349142	0.0135792795023492	129.336313576813	0	1	-1.73647690591191e-06	0	0	0	7.93801457248066	13.2903224052387	61.0698554919029	0.143319273640847	0.0383372320938738	0.0482843408287661	69.4735609707126	0	1	-0.000737052559744723	0	0	0
20	finalLog_goTrials_model002_startVal020_started2017-04-19-T210840	SAM_goTrials_model002_startVal020_exit1_started2017-04-19-T210840	20	1213.85142491719	00:27:47.42	1	0.000102995359467506	34.9718157036715	72.6905266321363	0.151548549625274	0.0768160043974212	0.0161019409540719	84.2180768890701	0	1	-0.000303312940972299	0	0	0	2.21754627160067	13.9119952233176	62.0960171834507	0.225464286676984	0.122962109438479	0.0438382095820164	48.5413072958424	0	1	-0.00225305402110071	0	0	0
17	finalLog_goTrials_model002_startVal017_started2017-04-19-T210542	SAM_goTrials_model002_startVal017_exit1_started2017-04-19-T210542	17	1214.1176069351	00:20:10.49	1	0.585962337204081	39.2672795883095	72.675288421922	0.156479383920955	0.0858956417414537	0.0109969209399774	125.765325742554	0	1	-0.000273436146318162	0	0	0	7.9631061349748	31.2233936124555	51.1375499459539	0.185780728585871	0.0609589635844029	0.0466178814038602	131.322541632881	0	1	-0.00236913840555418	0	0	0
9	finalLog_goTrials_model002_startVal009_started2017-04-19-T210544	SAM_goTrials_model002_startVal009_exit1_started2017-04-19-T210544	9	1219.39815647965	00:27:51.74	1	0.170416089887677	40.9939226444489	68.2565691261588	0.144828168580355	0.0669357784499776	0.010736886296309	154.238971823095	0	1	-0.00023962243750622	0	0	0	10	18	59	0.16	0.08	0.03	100	0	1	-0.001	0	0	0
1	finalLog_goTrials_model002_startVal001_started2017-04-19-T210544	SAM_goTrials_model002_startVal001_exit1_started2017-04-19-T210544	1	1230.81376207277	00:24:01.91	1	2.42661837210467	40.9981562359894	75.7966991477724	0.151453148743834	0.0815271024158394	0.00467948383862784	122.399502329963	0	1	-9.56657167686618e-05	0	0	0	16.4283989077617	38.3793324645447	72.0341267422944	0.140226459755075	0.0846898684245318	0.00170359565442167	108.521848995687	0	1	-0.000355834227922096	0	0	0
3	finalLog_goTrials_model002_startVal003_started2017-04-19-T210351	SAM_goTrials_model002_startVal003_exit1_started2017-04-19-T210351	3	1247.84975393491	00:34:04.21	1	0.0484117421282834	40.1925709398992	72.9011915715524	0.197213493707839	0.117810324320451	0.0199056843238794	107.745007662191	0	1	-0.00131866699577503	0	0	0	3.34828127469928	21.5101311612487	66.9567466282867	0.21606116667063	0.101059580535946	0.0500974080548423	73.2202379146422	0	1	-0.00194179342596512	0	0	0
10	finalLog_goTrials_model002_startVal010_started2017-04-19-T210544	SAM_goTrials_model002_startVal010_exit1_started2017-04-19-T210544	10	1257.89704136214	00:25:41.87	1	5.68510121559483	34.6461138559157	71.4352306311352	0.147124523579515	0.0735858668152778	0.00577742603058633	76.118222913919	0	1	-0.000331680951535515	0	0	0	6.7279856599639	36.2606068563158	60.8603470771179	0.117983911544253	0.080064124082429	0.0070526881093747	79.9587399718013	0	1	-0.00078406046961326	0	0	0
4	finalLog_goTrials_model002_startVal004_started2017-04-19-T210350	SAM_goTrials_model002_startVal004_exit1_started2017-04-19-T210350	4	1268.1641628058	00:35:28.17	1	0.955866780284485	40.3083929868345	68.113728935322	0.200005831183341	0.117481191860072	0.0176112337252917	137.664512588189	0	1	-0.0015546591381482	0	0	0	8.69281678193813	28.9439809242042	51.615380132803	0.194091918704733	0.100128532987366	0.0225251270187992	152.785324482084	0	1	-0.00306247979244383	0	0	0
7	finalLog_goTrials_model002_startVal007_started2017-04-19-T210543	SAM_goTrials_model002_startVal007_exit1_started2017-04-19-T210543	7	1299.38234561152	00:17:58.47	1	2.36729749084314	40.6754230792442	101.021950779941	0.214566331090383	0.0998821429238495	0.0512985668626743	13.2222823854253	0	1	-0.00040139630963746	0	0	0	5.33395130060296	32.0475744724926	92.4868341340637	0.230305175514423	0.120304363246691	0.0393095745030224	107.488572531716	0	1	-0.000366024718723587	0	0	0
