FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14
6	finalLog_goTrials_model043_startVal006_started2017-04-19-T213053	SAM_goTrials_model043_startVal006_exit1_started2017-04-19-T213053	6	1473.40126052071	00:20:54.43	1	15.0809915932021	56.4040632405192	0.161849223143036	0.128892833754837	0.00942878366753804	0.0829896968471367	0.00230492944497603	67.2267821844414	0	1	-0.00118658487466706	0	0	0	18.5129430919965	56.4351741363238	0.157525752656587	0.141850037713442	0.00653238588305576	0.071931834180325	0.00360944876836892	54.1618653962234	0	1	-0.00173781977848096	0	0	0
7	finalLog_goTrials_model043_startVal007_started2017-04-19-T213519	SAM_goTrials_model043_startVal007_exit1_started2017-04-19-T213519	7	1479.50351816196	00:22:08.77	1	4.09874055618097	53.4110000440888	0.201675593156324	0.16327219366653	0.0750793249189433	0.112047032330562	0.00695852045732666	91.7911677924144	0	1	-0.00248595378986546	0	0	0	4.71659588880748	51.8376733028019	0.211952556680972	0.154099059874008	0.0860562114724664	0.084474781414241	0.00714240774264649	84.5315986649519	0	1	-0.00257317439275934	0	0	0
19	finalLog_goTrials_model043_startVal019_started2017-04-19-T213729	SAM_goTrials_model043_startVal019_exit1_started2017-04-19-T213729	19	1479.64985674086	00:21:13.35	1	38.3289022556999	82.3032509019625	0.168152043234764	0.134281428079362	0.00520952818117529	0.0790808613011432	0.0090582897264279	25.2463604212301	0	1	-0.00033728567255996	0	0	0	38.9851405911237	82.8863551852325	0.194205753290553	0.0979348107767191	0.00399224040976461	0.0854592596996825	0.00824549767336897	14.248672836595	0	1	-0.000481075356143538	0	0	0
8	finalLog_goTrials_model043_startVal008_started2017-04-19-T213346	SAM_goTrials_model043_startVal008_exit1_started2017-04-19-T213346	8	1481.38235138327	00:25:23.53	1	23.2698075064355	61.4750895890265	0.193823204232258	0.160236613292696	0.0429025446502132	0.109115714307248	0.00437027126699855	119.312625569019	0	1	-0.00161141740510489	0	0	0	27.6104297729997	63.4680128602508	0.210234548161828	0.163237395545936	0.04164766934677	0.0756065815419494	0.00395989865754689	107.895523047776	0	1	-0.00193567584919441	0	0	0
1	finalLog_goTrials_model043_startVal001_started2017-04-19-T213050	SAM_goTrials_model043_startVal001_exit1_started2017-04-19-T213050	1	1482.69697670626	00:20:08.21	1	19.5997115813928	61.1794490812324	0.162531329106489	0.128925578046811	0.0326367093299194	0.0784607774959917	0.0116777491374989	75.5111765491768	0	1	-0.000932631914233494	0	0	0	20	60	0.16	0.12	0.05	0.08	0.01	71	0	1	-0.001	0	0	0
5	finalLog_goTrials_model043_startVal005_started2017-04-19-T213345	SAM_goTrials_model043_startVal005_exit1_started2017-04-19-T213345	5	1494.77569970274	00:24:40.64	1	10.8773186354471	54.4195848634244	0.187118600450188	0.152884332775708	0.0566437424810795	0.110516733758858	0.000564746809839323	58.4005255721841	0	1	-0.0021965766020732	0	0	0	22.787525281491	53.4896311881127	0.181643101122359	0.163773798369591	0.0489131579121145	0.0914143180693725	0.000517278324961818	36.3212910433543	0	1	-0.00241570982906823	0	0	0
2	finalLog_goTrials_model043_startVal002_started2017-04-19-T213051	SAM_goTrials_model043_startVal002_exit1_started2017-04-19-T213051	2	1494.83809318697	00:22:47.41	1	17.3115516908296	71.1173564253698	0.190704051566453	0.157802623746936	0.0612086139727017	0.106723719920526	0.0129006671613688	0.207319917666662	0	1	-0.00114659372741003	0	0	0	10.8685987424662	69.1533760301171	0.199742001347676	0.153116936332749	0.0834640614161083	0.0919108824510966	0.0121974112862295	20.6187644853099	0	1	-0.000991521708330042	0	0	0
10	finalLog_goTrials_model043_startVal010_started2017-04-19-T213352	SAM_goTrials_model043_startVal010_exit1_started2017-04-19-T213352	10	1497.21001008695	00:31:24.66	1	25.7048826030268	67.6474638247259	0.204686245209226	0.165978303782895	0.0495092357631308	0.112438667836327	0.0140582317850734	66.7137024539464	0	1	-0.00155768740213191	0	0	0	33.9784694553188	65.8279559828356	0.194373053166379	0.136861408529377	0.0398458234911806	0.13603583715666	0.0132278926109021	67.7168710635762	0	1	-0.00189135782291714	0	0	0
14	finalLog_goTrials_model043_startVal014_started2017-04-19-T214106	SAM_goTrials_model043_startVal014_exit1_started2017-04-19-T214106	14	1497.89169147115	00:55:13.21	1	19.474380480556	59.4674009389102	0.194755473762015	0.153507245228185	0.0588311071949876	0.108618764872656	0.00697230433255291	114.889629815493	0	1	-0.00168158697956638	0	0	0	6.0269062944587	62.9564814475573	0.181577617975015	0.162045875002973	0.0631622378349663	0.133593088146246	0.00732202379146422	126.333317751285	0	1	-0.0011521504324651	0	0	0
4	finalLog_goTrials_model043_startVal004_started2017-04-19-T213349	SAM_goTrials_model043_startVal004_exit1_started2017-04-19-T213349	4	1508.56198726827	00:22:34.41	1	11.3135571000847	58.0944740344936	0.200422832401004	0.164517109199763	0.0688194421477216	0.119285073351378	0.00599757334669151	67.7265025165128	0	1	-0.00206949904509793	0	0	0	13.226515463598	57.9049548070349	0.180042853179508	0.169599653554399	0.0598102153354109	0.127904438582759	0.00545866014716399	68.4557985039409	0	1	-0.00192047628909742	0	0	0
