FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15
2	finalLog_goTrials_model079_startVal002_started2017-04-19-T221226	SAM_goTrials_model079_startVal002_exit1_started2017-04-19-T221226	2	1025.88748617506	00:23:21.27	1	18.4028429169225	0.321138591170621	61.5947682633803	0.199240405613638	0.144525787871524	0.0307991394745535	0.0959862789624058	0.0519944493064395	68.0479909674374	0	1	-7.32784635041903e-05	0	0	0	4.92243553235607	7.33934861920602	66.8738147841659	0.244871897543978	0.169047293784852	0.0146161277862438	0.0825584830537594	0.0486340876009902	51.3961826133059	0	1	-0.000574517685316901	0	0	0
10	finalLog_goTrials_model079_startVal010_started2017-04-19-T222349	SAM_goTrials_model079_startVal010_exit1_started2017-04-19-T222349	10	1032.23023269636	00:41:17.95	1	30.8401303935594	0.981496632903997	85.4575952520001	0.439353165729523	0.38918732011821	0.277540470924824	0.331137874289905	0.0598841323382424	14.7133976704135	0	1	-0.00374482619429475	0	0	0	77.2222052602226	3.96975364990661	83.6943639203059	0.478932755147788	0.37884022715589	0.178831708631581	0.310774195630875	0.043295700247028	11.2273828150743	0	1	-0.00371085518089515	0	0	0
7	finalLog_goTrials_model079_startVal007_started2017-04-19-T221606	SAM_goTrials_model079_startVal007_exit1_started2017-04-19-T221606	7	1067.07040733439	00:33:42.42	1	29.7631960702944	6.65764435833964	63.5743661579135	0.243123481504028	0.183097496527071	0.0828889518586017	0.144871775298969	0.0495238671107919	84.1784316154348	0	1	-0.00124745280228022	0	0	0	30.2019064662745	33.6039194106944	48.4039331088665	0.195141799371798	0.228496334846903	0.0888694850145658	0.1002291229691	0.047217913776827	44.0417252554302	0	1	-0.00288761378764222	0	0	0
16	finalLog_goTrials_model079_startVal016_started2017-04-19-T223426	SAM_goTrials_model079_startVal016_exit1_started2017-04-19-T223426	16	1071.97878585191	00:24:48.35	1	31.5754137459905	13.5398052471646	80.748054720639	0.378320586060719	0.327892619825165	0.214125196178898	0.276012893237499	0.0557987277187177	24.8463250734476	0	1	-0.003141238436385	0	0	0	8.76421850779732	23.1617719677895	84.9678141352163	0.407242396017627	0.383699367480069	0.241366152079007	0.240067690190339	0.0502170018523618	21.6704156012051	0	1	-0.00321895880474282	0	0	0
13	finalLog_goTrials_model079_startVal013_started2017-04-19-T222347	SAM_goTrials_model079_startVal013_exit1_started2017-04-19-T222347	13	1075.10648147299	00:22:00.52	1	36.1302095709759	9.33879684209342	67.8664230920977	0.332172650232115	0.267633918287829	0.144693645358086	0.219727854065609	0.0514873436475702	95.2355451286181	0	1	-0.00280560581898003	0	0	0	13.2781703500396	10.8197749263193	54.2398642553728	0.287819748581697	0.281474190620038	0.270965816670835	0.25517183943639	0.0533099783397925	86.8079196813361	0	1	-0.00370766676626548	0	0	0
4	finalLog_goTrials_model079_startVal004_started2017-04-19-T221949	SAM_goTrials_model079_startVal004_exit1_started2017-04-19-T221949	4	1088.9610594427	00:24:40.90	1	34.2163770752858	17.4169696786568	70.5490758024255	0.280952201625961	0.226045002621225	0.103286198192128	0.175673921676137	0.0500768466624197	75.7747376346762	0	1	-0.00171888673388503	0	0	0	47	15	80	0.27	0.25	0.17	0.17	0.03	56	0	1	-0.001	0	0	0
19	finalLog_goTrials_model079_startVal019_started2017-04-19-T222759	SAM_goTrials_model079_startVal019_exit1_started2017-04-19-T222759	19	1091.42998389091	00:31:33.53	1	48.9173635500674	21.2081154631366	80.9008053679189	0.365757005602725	0.298703134872738	0.161138006840766	0.25209181387375	0.0597902209985745	76.7371206471263	0	1	-0.00253972132873651	0	0	0	66.4551726747222	5.3955807209526	97.4114318470976	0.359275343799686	0.364508944341497	0.110192840745641	0.293077329804383	0.047435251649474	61.081098211522	0	1	-0.00219117500656845	0	0	0
5	finalLog_goTrials_model079_startVal005_started2017-04-19-T221950	SAM_goTrials_model079_startVal005_exit1_started2017-04-19-T221950	5	1093.02175720356	00:28:22.17	1	16.5497427451459	0.689311804266365	64.5700751875189	0.19040151259687	0.146972559424826	0.0216579308743914	0.0955329113786704	0.0486642769396234	22.3342681633136	0	1	-4.04243433861848e-05	0	0	0	24.7533756415243	5.6322908181399	35.3335032114485	0.0968706882001247	0.0669069664398487	0.0018230794854853	0.0288973765127618	0.0485593580597394	6.47374931766321	0	1	-0.00126933817981801	0	0	0
15	finalLog_goTrials_model079_startVal015_started2017-04-19-T222757	SAM_goTrials_model079_startVal015_exit1_started2017-04-19-T222757	15	1095.12807191799	00:25:56.08	1	16.0074307950506	0.0945177405218484	53.0278572676734	0.203270540454492	0.144511211559817	0.0113732675195796	0.105779527598131	0.0512197853416431	95.6447625334777	0	1	-0.000764913215291227	0	0	0	8.87437418532246	15.7956726809888	35.0294723287776	0.233796034654936	0.213834577868589	0.0651876816052283	0.067968760659736	0.0518990587155507	96.6461979285077	0	1	-0.00382115536367521	0	0	0
9	finalLog_goTrials_model079_startVal009_started2017-04-19-T221613	SAM_goTrials_model079_startVal009_exit1_started2017-04-19-T221613	9	1102.77051785915	00:36:33.57	1	31.051215239984	13.0309503680851	77.1403813876334	0.363724621197693	0.310470173558272	0.186505712491405	0.259340406852991	0.0599866629197343	35.3492775977779	0	1	-0.00307440998339084	0	0	0	49.9064401555331	13.3814649934416	74.2496220604284	0.256608698814517	0.268966907175314	0.267921775673428	0.202428817110014	0.0597185061622574	26.0694181083067	0	1	-0.00296120220699518	0	0	0
