FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19
6	finalLog_goTrials_model478_startVal006_started2017-04-19-T234500	SAM_goTrials_model478_startVal006_exit1_started2017-04-19-T234500	6	754.271807627461	00:51:42.76	1	32.958703270349	14.5002163944064	73.315409700989	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	81.7607751843102	0	1	-0.00148556028970182	0	0	0	19.87242233633	13.1349615930006	73.9337938975139	0.280134861375349	0.349680757377369	0.156497442066447	0.166273422975118	0.243196445409109	0.096586867866108	0.15390441238853	0.214472863545689	0.035056565631244	104.616761594155	0	1	-0.00111102777194941	0	0	0
17	finalLog_goTrials_model478_startVal017_started2017-04-19-T235359	SAM_goTrials_model478_startVal017_exit1_started2017-04-19-T235359	17	774.02667953951	01:04:37.71	1	32.8530533312804	24.3538240316141	84.9160279360771	0.280913194759967	0.207834240597363	0.178531289901296	0.170224605690516	0.120831795719934	0.00586058696818167	0.158578561034174	0.119493436168311	0.0572795374758574	29.7086432718014	0	1	-1.29749883132028e-05	0	0	0	36.3843741977844	34.5932703007967	90.7960891346534	0.316961817957451	0.269628864925422	0.139135547834768	0.130959588801863	0.137654590355858	0.133625312118351	0.0702390133871987	0.012784120409019	0.0524132430695625	33.6116025678979	0	1	-0.000565432112445709	0	0	0
14	finalLog_goTrials_model478_startVal014_started2017-04-19-T235348	SAM_goTrials_model478_startVal014_exit1_started2017-04-19-T235348	14	774.201729898936	00:51:10.18	1	35.6204215536082	19.0434815484061	76.4419651173639	0.369194571527044	0.300770758372543	0.272668720841713	0.268134694486835	0.174207787339062	0.123861508425963	0.239052374669224	0.203581167533222	0.0593219556230432	80.43242669697	0	1	-0.00212766630934348	0	0	0	20.3791752804925	29.498288078285	77.5561107673298	0.404991401901631	0.414474938607084	0.279829258511411	0.249167205543421	0.0502543036891861	0.172796530164576	0.233898418284588	0.0959973146310008	0.0549742693489178	98.5972378553526	0	1	-0.00185719549423087	0	0	0
20	finalLog_goTrials_model478_startVal020_started2017-04-19-T235935	SAM_goTrials_model478_startVal020_exit1_started2017-04-19-T235935	20	774.365016875973	00:40:39.40	1	28.7692782842163	10.3601214583976	76.0605438442789	0.302530503589238	0.257053377425421	0.20557852443912	0.216068205305258	0.105195891283422	0.0810420119615378	0.199952326124834	0.146392232069741	0.0592310906013143	69.8353377598023	0	1	-0.000883320842435644	0	0	0	38.7355538938346	25.8933306401364	46.6949484293166	0.371738106163138	0.229034483791503	0.156990496768165	0.208090095006618	0.126765085795336	0.127793789338374	0.248233792273798	0.0586626924180175	0.0461847354347543	77.4434325279394	0	1	-0.00189304076763276	0	0	0
11	finalLog_goTrials_model478_startVal011_started2017-04-19-T234755	SAM_goTrials_model478_startVal011_exit1_started2017-04-19-T234755	11	791.490404374844	00:48:52.34	1	25.3655059340966	11.1250481386304	72.0637732600541	0.38204513949767	0.311312012508635	0.275241184906899	0.274465889538245	0.222114846252611	0.0414992419075805	0.23738341381479	0.210950784796872	0.0593482234114577	95.297314146669	0	1	-0.00235797190600909	0	0	0	17.3899442334774	14.7250511654327	75.509961472981	0.210488967944642	0.393850895781667	0.344130228980812	0.291745192072611	0.162281108410976	0.0614518500388875	0.224878099219673	0.245060588469647	0.0538503292713908	91.3439037158941	0	1	-0.00175264646136066	0	0	0
15	finalLog_goTrials_model478_startVal015_started2017-04-19-T235039	SAM_goTrials_model478_startVal015_exit1_started2017-04-19-T235039	15	793.348927551562	00:34:28.84	1	13.4872141258496	20.3033565186441	68.5952551788416	0.384730462090812	0.30279652794696	0.293783383434838	0.270481605268099	0.242956746636788	0.168217301641778	0.228742199829916	0.229308690716287	0.0498500463870917	55.290054546327	0	1	-0.00312081430308444	0	0	0	26.7219730718244	20.2776958989791	65.43186977687	0.377967196127168	0.396045550566878	0.239751417449785	0.254395382222704	0.23527088709678	0.152937007169294	0.141201369508562	0.304563575425482	0.0386330391992061	35.7452086113596	0	1	-0.00296198600631439	0	0	0
1	finalLog_goTrials_model478_startVal001_started2017-04-19-T233916	SAM_goTrials_model478_startVal001_exit1_started2017-04-19-T233916	1	804.404812292725	00:36:53.18	1	41.3217144207235	18.5810327757873	76.6552082765417	0.292139549778592	0.249723901533806	0.205890016644963	0.224104716627469	0.163267299679815	0.0903112668387744	0.196593771770474	0.139355629819399	0.0428859356876189	51.8552617505537	0	1	-0.00128228405433496	0	0	0	47	15	80	0.27	0.22	0.26	0.21	0.17	0.17	0.17	0.17	0.03	56	0	1	-0.001	0	0	0
12	finalLog_goTrials_model478_startVal012_started2017-04-19-T234753	SAM_goTrials_model478_startVal012_exit1_started2017-04-19-T234753	12	817.319068218553	01:07:39.79	1	0.48716213496216	0.00471488127372521	60.8989821560916	0.328708916155983	0.267045073305107	0.253624302416018	0.23294950915827	0.181669165972838	0.138191425440384	0.216119607118358	0.211048578584197	0.0319957695449323	1.23184134559914	0	1	-0.00320946014702884	0	0	0	40.3461775267845	0.451091844733586	44.2746000763383	0.32350218091556	0.257485538430412	0.189809412024063	0.310249399048563	0.00731753830816717	0.0386317317787895	0.287193941123302	0.0341624832223383	0.0579643314083689	9.61162496773463	0	1	-0.00367122370977637	0	0	0
10	finalLog_goTrials_model478_startVal010_started2017-04-19-T235347	SAM_goTrials_model478_startVal010_exit1_started2017-04-19-T235347	10	826.496585856051	00:59:50.80	1	36.4027627078267	12.4266365409415	81.2725506242722	0.264660299600271	0.230113877348475	0.18681927372344	0.193883350455586	0.174038970886074	0.0495347628689513	0.169171548713267	0.125333071843145	0.0521322546713381	26.9663560401948	0	1	-0.000405209367248765	0	0	0	58.6538436047366	7.32993569180685	83.1848024018174	0.374538794068719	0.238321095070813	0.114019339021845	0.239223896954145	0.192989475628884	0.130661122953359	0.0672365399378943	0.213133508065642	0.04346524085467	18.2590199959051	0	1	-0.000806045894637376	0	0	0
18	finalLog_goTrials_model478_startVal018_started2017-04-19-T235822	SAM_goTrials_model478_startVal018_exit1_started2017-04-19-T235822	18	831.921634162635	01:12:42.45	1	31.0568712093109	18.9549689329958	72.3959050243552	0.414167713510173	0.341784100686969	0.321927517317842	0.307958730958457	0.190495907021545	0.1337613825666	0.285996557399026	0.263181989858785	0.0487952229581457	78.7268512199998	0	1	-0.00345046781946687	0	0	0	36.6542175786638	19.5691273287382	70.1375637920881	0.525345382546807	0.312654809827953	0.297526598862966	0.364589038232314	0.149367470893471	0.13338736914553	0.209244486872822	0.265159755781845	0.0370643971304313	75.740986675115	0	1	-0.0029598832806972	0	0	0
