FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16
1	finalLog_goTrials_model043_startVal001_started2017-03-07-T082305	SAM_goTrials_model043_startVal001_exit1_started2017-03-07-T082305	1	964.779056916139	01:52:45.25	1	5.73997148578366	101.758756527345	0.468240070425589	0.475229378721459	0.456210661783546	0.279747543082901	0.366947812630404	0.431164707994555	0.0233859694301615	64.5793484788858	0	1	-7.12617337253561e-06	-0.0109679183888613	0	0	5.56358394176198	101.136529820518	0.465996980687001	0.469908164814348	0.452861754366969	0.277470619745369	0.365597928637917	0.425940475758125	0.0236004024087514	64.6141361749527	0	1	-9.56038109757237e-06	-0.0109632299703676	0	0
4	finalLog_goTrials_model043_startVal004_started2017-03-07-T082423	SAM_goTrials_model043_startVal004_exit1_started2017-03-07-T082423	4	1175.15227398189	02:29:56.57	1	11.9316451022895	140.163835499752	0.663608384937646	0.650115045420196	0.63527830436863	0.421270263150306	0.523178911566806	0.615551760315406	0.0188485861032346	100.740774949438	0	1	-1.40170152421537e-05	-0.0116882150665217	0	0	12.5828588340176	91.2940401287168	0.677214336265687	0.517364523895892	0.542601897017793	0.414221015993614	0.665097603064545	0.761447024026094	0.0177055983567107	93.3785179870908	0	1	-4.76135384051956e-05	-0.0127416504781713	0	0
7	finalLog_goTrials_model043_startVal007_started2017-03-07-T082719	SAM_goTrials_model043_startVal007_exit1_started2017-03-07-T082719	7	1229.45426783429	02:35:24.16	1	12.1327482867613	102.196188875792	0.49758814098058	0.481288184960079	0.447735467838957	0.276313160632182	0.352420773411912	0.430380637538811	0.00671139249845328	106.525902492161	0	1	-0.000230669144527868	-0.0126647376173156	0	0	12.9902631777933	75.3088210389669	0.635133860036998	0.646198204727226	0.505664068670237	0.211079425117574	0.230769462541031	0.339422330052672	0.0112093232205762	88.3621670646289	0	1	-0.000441837556981411	-0.0135514657854102	0	0
3	finalLog_goTrials_model043_startVal003_started2017-03-07-T082401	SAM_goTrials_model043_startVal003_exit1_started2017-03-07-T082401	3	1350.91083093629	02:47:55.04	1	11.465101779382	85.660056518812	0.431214695146024	0.461460307286938	0.417133144713145	0.20747779728025	0.337077213742822	0.374804486092805	0.040155761540659	64.694576432337	0	1	-0.00129841142286362	-0.0138939412403383	0	0	7.1158251886001	70.581710451667	0.393292085600111	0.43544454439061	0.465535920431707	0.370188372486214	0.223142378711304	0.409832114808837	0.0413915385386243	111.431478798212	0	1	-0.00261392307416335	-0.115502020323285	0	0
12	finalLog_goTrials_model043_startVal012_started2017-03-07-T082817	SAM_goTrials_model043_startVal012_exit1_started2017-03-07-T082817	12	1453.89354671248	02:28:19.56	1	13.7761146512482	86.9211501607522	0.574053692027667	0.569001535329301	0.542361600046459	0.375421466384746	0.452952144259933	0.50940976290957	0.034719349633636	60.7877050297171	0	1	-0.00375823501134209	-0.0178934560365786	0	0	13.2718576148272	85.8203061578392	0.426803816152114	0.537400530146278	0.678011634880717	0.351518217408327	0.489541943403091	0.443575139427681	0.0328561515654879	66.1907823802793	0	1	-0.00398579382462712	-0.0477239310029093	0	0
10	finalLog_goTrials_model043_startVal010_started2017-03-07-T082538	SAM_goTrials_model043_startVal010_exit1_started2017-03-07-T082538	10	1551.42152268893	02:42:08.10	1	3.0889217124301	65.1429637596425	0.264598971677656	0.253116090830975	0.227451307357687	0.107133743263468	0.168054251960849	0.211883539438326	0.00844838416402317	25.3365263488476	0	1	-0.000263294707718181	-0.0547281198439086	0	0	7.79094746889748	52.7644018830326	0.312225415661213	0.131494994102017	0.235601276234743	0.164594273767824	0.116717090659268	0.375106868513807	0.0174930908150182	26.0375274929033	0	1	-0.00196274215339885	-0.134739538061074	0	0
5	finalLog_goTrials_model043_startVal005_started2017-03-07-T082422	SAM_goTrials_model043_startVal005_exit1_started2017-03-07-T082422	5	1560.1600672402	03:15:27.36	1	3.79904268061117	91.3700466954955	0.462305767573347	0.490781630253066	0.461353222954599	0.135531067825807	0.36776197212699	0.440563124858504	0.0359352534178489	62.5816890296873	0	1	-0.0016056063222535	-0.0155332515816349	0	0	3.30178947060486	90.1680870136406	0.378427505608665	0.510108612734815	0.357021226332408	0.145642487495022	0.336852568140568	0.709753097462983	0.0365795489862361	48.0888046367887	0	1	-0.00156610391783275	-0.0267905628890735	0	0
9	finalLog_goTrials_model043_startVal009_started2017-03-07-T082533	SAM_goTrials_model043_startVal009_exit1_started2017-03-07-T082533	9	1583.07965655127	02:48:15.57	1	11.198945016269	68.2361028119155	0.334857334939745	0.308740432617784	0.298101732494979	0.123730778947284	0.213176068688694	0.274127150526745	0.0338654346389268	56.668731165141	0	1	-0.00106922111595581	-0.0205280135290058	0	0	9.79409260776291	48.4020430581266	0.23585438802373	0.491456050091857	0.223235126066887	0.199385467890977	0.270830835766512	0.13221774852873	0.0393484279804885	42.3189327960335	0	1	-0.00098646257592387	-0.0223284934791861	0	0
18	finalLog_goTrials_model043_startVal018_started2017-03-07-T085655	SAM_goTrials_model043_startVal018_exit1_started2017-03-07-T085655	18	1951.49810170135	02:48:32.95	1	6.37284479519948	108.306400560047	0.709913397589024	0.81644340525339	0.864474969348551	0.132641226191442	0.707312785537691	0.844212447671635	0.00884789013052956	20.7977929739737	0	1	-0.00484457702981652	-0.0166441736600665	0	0	5.34428335896755	155.994646516197	0.76744375759124	0.865202939459028	0.893669300521708	0.132338210586642	0.641183419275162	0.840346914601791	0.00344159097280053	4.33730730634914	0	1	-0.00317515119599939	-0.0373341038460414	0	0
11	finalLog_goTrials_model043_startVal011_started2017-03-07-T082738	SAM_goTrials_model043_startVal011_exit1_started2017-03-07-T082738	11	1989.84140863843	03:17:39.79	1	11.8540542531699	67.5008698299663	0.265372704759567	0.245147149339697	0.229014475759166	0.0637888363689112	0.134435590829391	0.219127457811333	0.0180516687800764	26.459680980887	0	1	-4.70998625889257e-05	-0.253829292493879	0	0	5.1031035924477	42.1427794075743	0.226359120346847	0.139687300616324	0.360876582066764	0.440379517840467	0.569577771271807	0.15849637830745	0.0311599666125132	77.6890298872876	0	1	-0.000303304939463249	-0.427622840623793	0	0
