FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14
3	finalLog_goTrials_model043_startVal003_started2017-04-20-T004033	SAM_goTrials_model043_startVal003_exit1_started2017-04-20-T004033	3	1574.26195342924	00:38:18.31	1	4.46820522594452	53.6277991543548	0.168247653473879	0.145362149350505	0.0487650426357626	0.0917307442079865	0.0104076899329933	82.4909544917183	0	1	-0.000711681921474891	-0.0015295361434613	0	0	20	50	0.16	0.12	0.05	0.08	0.01	71	0	1	-0.001	-0.01	0	0
5	finalLog_goTrials_model043_startVal005_started2017-04-20-T004034	SAM_goTrials_model043_startVal005_exit1_started2017-04-20-T004034	5	1610.08824997153	00:43:10.33	1	13.5426673448607	56.7859267592244	0.211665892660139	0.175077094425109	0.0401785333928982	0.122530296503863	0.00227973479599979	111.209339510051	0	1	-0.00157185406607169	-0.0150027035132601	0	0	23.6806845191126	70.4575895865575	0.245924218876958	0.175352838328066	0.0242706536479212	0.1000727233736	0.00816439058394383	88.6777215006166	0	1	-0.00114523746621134	-0.132280834419715	0	0
6	finalLog_goTrials_model043_startVal006_started2017-04-20-T004554	SAM_goTrials_model043_startVal006_exit1_started2017-04-20-T004554	6	1610.95192984888	00:25:01.29	1	4.7690166345147	56.3342020734636	0.165119000932129	0.141455824848989	0.00863560262884876	0.0862574108355406	0.00784536958090186	81.620725966285	0	1	-0.000217434332650968	-0.00959481858141698	0	0	13.6420395256779	54.9739427769825	0.156589792267553	0.112896837872979	0.0605088046002887	0.0842953395219783	0.00605920714514619	72.695563925665	0	1	-0.000619499752537848	-0.119155248948789	0	0
18	finalLog_goTrials_model043_startVal018_started2017-04-20-T005208	SAM_goTrials_model043_startVal018_exit1_started2017-04-20-T005208	18	1614.41493979119	00:40:07.54	1	0.0388877457135045	56.2549448337042	0.181263844604502	0.164589988409414	0.0858872486563856	0.12278151581423	0.00204416245916778	38.119873113839	0	1	-0.00117812195516123	-0.00146001108133553	0	0	14.1674000398256	58.0080438912243	0.187185594701447	0.146496868653736	0.0996026818364396	0.0527908436596221	0.00887910887272631	93.6013210515708	0	1	-0.000988193455606357	-0.360867057960868	0	0
8	finalLog_goTrials_model043_startVal008_started2017-04-20-T004508	SAM_goTrials_model043_startVal008_exit1_started2017-04-20-T004508	8	1614.63895895237	00:25:53.27	1	12.5882851740975	55.2200596346985	0.203318692763791	0.166708179366197	0.0302996561063907	0.108463657700036	0.0035745766079071	112.472893373439	0	1	-0.00142882070238526	-0.0151255204894173	0	0	27.6104297729997	52.8900107168757	0.210234548161828	0.163237395545936	0.04164766934677	0.0756065815419494	0.00395989865754689	107.895523047776	0	1	-0.00193567584919441	-0.0800447241232522	0	0
10	finalLog_goTrials_model043_startVal010_started2017-04-20-T004857	SAM_goTrials_model043_startVal010_exit1_started2017-04-20-T004857	10	1643.1268730247	00:35:27.03	1	13.5671094107233	59.2359623898285	0.18889567915758	0.162467386869605	0.0035198421440554	0.105771944429119	0.00894150087457074	61.243239316997	0	1	-0.00108080385699012	-0.0138116980965077	0	0	15.191273882342	53.0964452338281	0.182834307965043	0.14574177261217	0.00281335680082572	0.134956855244337	0.00768095092007002	50.2780125169593	0	1	-0.000896101963122138	-0.0369195470047564	0	0
19	finalLog_goTrials_model043_startVal019_started2017-04-20-T005109	SAM_goTrials_model043_startVal019_exit1_started2017-04-20-T005109	19	1644.4839654893	00:26:01.77	1	8.28250458785248	64.83476130588	0.246638168987893	0.215631689751966	0.0633429156553666	0.150333162714557	0.00920124921345144	24.3314073342474	0	1	-0.00225535646706683	-0.0237625422012894	0	0	27.482274791333	65.7187023561764	0.219290430269343	0.220805255219926	0.0659031751121707	0.124409098109289	0.00755100764840191	23.4631312309994	0	1	-0.00237974673541769	-0.0712276362976649	0	0
4	finalLog_goTrials_model043_startVal004_started2017-04-20-T003929	SAM_goTrials_model043_startVal004_exit1_started2017-04-20-T003929	4	1652.84982317294	00:24:53.97	1	1.75255881019722	56.1840041835161	0.181072286580879	0.146150860425444	0.00207255709919537	0.0911823083710576	0.00399068054989724	54.9598700255234	0	1	-0.00104933906669219	-0.0932562850375055	0	0	18.5129430919965	47.0293117802698	0.157525752656587	0.141850037713442	0.00653238588305576	0.071931834180325	0.00360944876836892	54.1618653962234	0	1	-0.00173781977848096	-0.20053419373009	0	0
7	finalLog_goTrials_model043_startVal007_started2017-04-20-T004857	SAM_goTrials_model043_startVal007_exit1_started2017-04-20-T004857	7	1660.85476739625	00:38:54.18	1	18.6480980810928	62.0424035867027	0.222108523599332	0.178151767679123	0.0245606534572949	0.104990231032849	0.013751596339969	136.558311327874	0	1	-0.00102535683882105	-0.0102150323358472	0	0	14.1712132629571	66.7339357851202	0.263147612520537	0.189958623765026	0.0204996913232881	0.102919519444917	0.0120726965695183	141.668503136764	0	1	-0.00173585082838863	-0.102871817395392	0	0
20	finalLog_goTrials_model043_startVal020_started2017-04-20-T005113	SAM_goTrials_model043_startVal020_exit1_started2017-04-20-T005113	20	1681.10030539052	00:25:30.30	1	8.63028190334713	62.7317813391749	0.196499275849516	0.16092246001837	0.0769368968795722	0.0949544255696513	0.0133615684975103	20.4333247806192	0	1	-0.000848201775377535	-0.00704636379472279	0	0	10.8685987424662	57.6278133584309	0.199742001347676	0.153116936332749	0.0834640614161083	0.0919108824510966	0.0121974112862295	20.6187644853099	0	1	-0.000991521708330042	-0.0423233238022589	0	0
