FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	BestX_23	BestX_24	BestX_25	BestX_26	BestX_27	BestX_28	BestX_29	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22	StartX_23	StartX_24	StartX_25	StartX_26	StartX_27	StartX_28	StartX_29
2	finalLog_stopTrials_model352_startVal002_started2017-03-11-T102935	SAM_stopTrials_model352_startVal002_exit1_started2017-03-11-T102935	2	471.352722390809	09:58:46.70	1	4.98859749558992	6.22770572647831	58.2569451800025	6.41684970420326	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.104583755524017	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0373203405753136	64.4421462750381	6.47546447134983	0	1	-8.05103132720669e-07	-0.00460620971949974	0	0	-0.0599409400866897	-8.21568918807358e-05	4.98859749558992	2.28746828348531	58.2569451800025	10.423511165266	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.12704285017871	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0535661748765176	64.4421462750381	10.7540582501252	0	1	-8.05103132720669e-07	-0.00512672168624995	0	0	-0.177342499964418	-8.21568918807358e-05
5	finalLog_stopTrials_model352_startVal005_started2017-03-11-T104428	SAM_stopTrials_model352_startVal005_exit1_started2017-03-11-T104428	5	473.891588842046	08:33:31.95	1	4.98859749558992	4.09732605752209	58.2569451800025	5.7541147166807	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.097044580366654	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0107341231647781	64.4421462750381	15.2890644075008	0	1	-8.05103132720669e-07	-0.0011269279541786	0	0	-0.0508541164649032	-8.21568918807358e-05	4.98859749558992	1.21118348133055	58.2569451800025	11.5895805831558	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.144374487750841	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0117517477596714	64.4421462750381	19.2536947407945	0	1	-8.05103132720669e-07	-0.00185128140711766	0	0	-0.176184638323033	-8.21568918807358e-05
3	finalLog_stopTrials_model352_startVal003_started2017-03-11-T103544	SAM_stopTrials_model352_startVal003_exit1_started2017-03-11-T103544	3	476.840066977443	07:30:17.55	1	4.98859749558992	5.67064062503579	58.2569451800025	7.83992668613562	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.129343863444233	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0490649993659202	64.4421462750381	6.30641413479677	0	1	-8.05103132720669e-07	-0.000555473075013893	0	0	-0.036583861422562	-8.21568918807358e-05	4.98859749558992	6.55363294319518	58.2569451800025	10.905436489164	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.107796808590392	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.045276909319937	64.4421462750381	24.2116047629188	0	1	-8.05103132720669e-07	-0.00208001807778397	0	0	-0.157514302122242	-8.21568918807358e-05
9	finalLog_stopTrials_model352_startVal009_started2017-03-11-T113857	SAM_stopTrials_model352_startVal009_exit1_started2017-03-11-T113857	9	491.293868105581	07:35:29.76	1	4.98859749558992	4.46360403314187	58.2569451800025	6.04182945036852	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.0376913012765591	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0164520255085565	64.4421462750381	2.68735502141281	0	1	-8.05103132720669e-07	-0.000806216768017207	0	0	-0.0923866519890952	-8.21568918807358e-05	4.98859749558992	2.84743891095201	58.2569451800025	13.0468078453472	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.110949302597544	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.00978878229348455	64.4421462750381	2.39138527074251	0	1	-8.05103132720669e-07	-0.0024128320162643	0	0	-0.289294455409516	-8.21568918807358e-05
1	finalLog_stopTrials_model352_startVal001_started2017-03-11-T102327	SAM_stopTrials_model352_startVal001_exit1_started2017-03-11-T102327	1	521.409334757965	08:06:15.11	1	4.98859749558992	10.1472930303043	58.2569451800025	11.1309320738352	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.103674678645533	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.00841976322600431	64.4421462750381	11.8572404924295	0	1	-8.05103132720669e-07	-3.26032352601811e-05	0	0	-0.192989963593282	-8.21568918807358e-05	4.98859749558992	8.14584071908123	58.2569451800025	11.7391320331424	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.110533725084266	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0108715127429778	64.4421462750381	11.1813759975112	0	1	-8.05103132720669e-07	-6.81838879711119e-05	0	0	-0.226886364080519	-8.21568918807358e-05
14	finalLog_stopTrials_model352_startVal014_started2017-03-11-T114839	SAM_stopTrials_model352_startVal014_exit1_started2017-03-11-T114839	14	523.11287537545	09:50:45.72	1	4.98859749558992	12.7023501924081	58.2569451800025	12.7128423259255	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.15259223248775	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0590163732906678	64.4421462750381	27.408914186564	0	1	-8.05103132720669e-07	-0.000184702973818013	0	0	-0.49713424752844	-8.21568918807358e-05	4.98859749558992	7.49842475224472	58.2569451800025	20.694324888668	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.23724942202639	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0380731578753769	64.4421462750381	35.4113078199349	0	1	-8.05103132720669e-07	-0.000590266867162884	0	0	-0.455390405725802	-8.21568918807358e-05
11	finalLog_stopTrials_model352_startVal011_started2017-03-11-T114344	SAM_stopTrials_model352_startVal011_exit1_started2017-03-11-T114344	11	526.833792847783	07:54:29.26	1	4.98859749558992	17.9228370887042	58.2569451800025	17.9366698357194	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.17530451187433	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0599536518341493	64.4421462750381	17.5538533973523	0	1	-8.05103132720669e-07	-1.05238098183219e-05	0	0	-0.502297681367635	-8.21568918807358e-05	4.98859749558992	17.8493406486108	58.2569451800025	26.280126552237	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.223627547851272	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0537274616753769	64.4421462750381	24.2365232519732	0	1	-8.05103132720669e-07	-0.000329680564997078	0	0	-0.518340394301492	-8.21568918807358e-05
15	finalLog_stopTrials_model352_startVal015_started2017-03-11-T120640	SAM_stopTrials_model352_startVal015_exit1_started2017-03-11-T120640	15	536.784710415507	23:10:39.76	1	4.98859749558992	18.969610944008	58.2569451800025	19.190524147811	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.188100481634308	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0438384018909382	64.4421462750381	4.96103111387355	0	1	-8.05103132720669e-07	-0.000224573190302349	0	0	-0.250138130903586	-8.21568918807358e-05	4.98859749558992	23.3213392569705	58.2569451800025	24.1335687698207	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.260231363748603	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0317227139020641	64.4421462750381	10.3960506195109	0	1	-8.05103132720669e-07	-0.00421162658312943	0	0	-0.454090592948128	-8.21568918807358e-05
12	finalLog_stopTrials_model352_startVal012_started2017-03-11-T114408	SAM_stopTrials_model352_startVal012_exit1_started2017-03-11-T114408	12	547.338925933851	09:02:05.36	1	4.98859749558992	23.7777552870327	58.2569451800025	24.0045699631178	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.196712475089321	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0272029977932086	64.4421462750381	0.89420834971073	0	1	-8.05103132720669e-07	-5.22939433612608e-06	0	0	-0.0240337975549967	-8.21568918807358e-05	4.98859749558992	19.5043882872793	58.2569451800025	29.0095916571356	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.259357170773632	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.00699299996780593	64.4421462750381	24.274917559466	0	1	-8.05103132720669e-07	-0.000301067500915965	0	0	-0.0957362400172769	-8.21568918807358e-05
4	finalLog_stopTrials_model352_startVal004_started2017-03-11-T103913	SAM_stopTrials_model352_startVal004_exit1_started2017-03-11-T103913	4	554.149102140043	09:03:52.86	1	4.98859749558992	17.3702400680939	58.2569451800025	17.3720719544099	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.21527130514008	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0598949849455469	64.4421462750381	0.596617534318618	0	1	-8.05103132720669e-07	-0.00182591342199292	0	0	-0.352559344009156	-8.21568918807358e-05	4.98859749558992	16.3424972252063	58.2569451800025	20.4757466719408	0.214927804451007	0.247821441967837	0.196319573120294	0.213812015781104	0.1831258410906	0.166718285988203	0.218584044124607	0.056573705335526	0.0643887080219867	0.11097187088762	0.143728386874056	0.140351345766398	0.173081599192021	0.0214644576566074	0.0585972795332046	64.4421462750381	2.61858286225243	0	1	-8.05103132720669e-07	-0.00281140039126796	0	0	-0.403716200631293	-8.21568918807358e-05
