FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22
14	finalLog_goTrials_model352_startVal014_started2016-11-19-T074748	SAM_goTrials_model352_startVal014_exit1_started2016-11-19-T074748	14	1457.64278508323	00:49:45.09	1	0.0312478946860667	43.716674081931	0.20895980884732	0.248506132679187	0.205887951045235	0.217294723005072	0.190611299046253	0.170091059006174	0.040067516015303	0.0151210068130028	0.113490738537095	0.137565405498036	0.137869252388717	0.171946190010429	0.0352298392393749	156.537633710099	0	1	-6.58003414058354e-05	0	0	-0.124947438317508	10.6682367065052	37.9796514757935	0.248410470644896	0.166260345969862	0.216027031640549	0.133571743530574	0.0631103393441756	0.212075221387285	0.000667359297563333	0.0177621180997262	0.0652213277273076	0.232446556943901	0.0488591407669261	0.212935541082638	0.0361248041447355	134.567362991151	0	1	-0.00125870241827815	0	0	-0.621602563988803
17	finalLog_goTrials_model352_startVal017_started2016-11-19-T074848	SAM_goTrials_model352_startVal017_exit1_started2016-11-19-T074848	17	1501.91075865226	00:52:31.93	1	14.5907552583691	53.636519547906	0.237184881138583	0.26336089299417	0.212567065723322	0.22757536882076	0.175722722053496	0.161472728524306	0.0270454490178257	0.00240025712544231	0.0966274962658734	0.147765379629116	0.142196468934833	0.157819686472565	0.0461140351635875	143.697716196663	0	1	-0.000197783784036639	0	0	-0.000718902213327155	12.1585219002476	50.9053783164478	0.251099248393755	0.35742644625984	0.365710786000993	0.232097482797834	0.0523783939508021	0.0827388246440963	0.0346518266598018	0.0462925964231363	0.0583256621095466	0.181669821180517	0.112239619258963	0.277904631261578	0.0487339386039831	121.346156265653	0	1	-0.000253737063088148	0	0	-0.228647196163242
7	finalLog_goTrials_model352_startVal007_started2016-11-19-T074514	SAM_goTrials_model352_startVal007_exit1_started2016-11-19-T074514	7	1508.44422352761	01:08:44.52	1	2.9983496556506	39.7161591383635	0.171866832261163	0.222761013142378	0.161283820364206	0.172275496618059	0.140419263550939	0.119015688797621	0.0002060916411485	5.48604604642744e-07	0.069536546905638	0.0802989387098092	0.0875221475505118	0.127271981995638	0.00110340678259448	140.708060772114	0	1	-4.18712345278145e-05	0	0	-0.0136579640636025	10.9425381481111	36.0200789636466	0.0632988950581547	0.113444238263844	0.0859968787267194	0.141378428307964	0.104603126498685	0.0618271576865603	0.069030829308307	0.0135607088925505	0.0383962408649257	0.105025613908023	0.188715464969981	0.078653859268222	0.00441203568856305	6.52557083016572	0	1	-0.00139487659168111	0	0	-0.274213311280307
4	finalLog_goTrials_model352_startVal004_started2016-11-19-T074154	SAM_goTrials_model352_startVal004_exit1_started2016-11-19-T074154	4	1516.1443106048	01:00:42.91	1	0.166041170783437	42.1455126276736	0.207967334800061	0.265139033827569	0.194909457266313	0.217198915920619	0.185131079407624	0.176626936445435	0.0317889003901984	0.0805616594287872	0.0747789359469369	0.15596821708517	0.147804304114865	0.18475520428409	0.01333029342003	156.522912738215	0	1	-3.77788438866121e-06	0	0	-0.162002178772897	10.2557335861254	21.9888355875702	0.211993472601649	0.313308956217791	0.181143055047706	0.266331003229204	0.242221353831536	0.117494655676416	0.0678050024054784	0.0560616317997007	0.128707053096222	0.233556465176655	0.179686686444201	0.072007913326729	0.0326630504032723	141.518155334394	0	1	-0.00265089656640475	0	0	-0.870203816043495
13	finalLog_goTrials_model352_startVal013_started2016-11-19-T074751	SAM_goTrials_model352_startVal013_exit1_started2016-11-19-T074751	13	1527.68018046781	01:01:55.18	1	0.398643141776152	39.5402479049922	0.18472734733216	0.237542424399075	0.165880026785865	0.188057416863757	0.159358639747895	0.138683706348773	0.00301882295043962	0.0673237963674487	0.0554153223272747	0.102329549355445	0.112599079861516	0.133660811907604	0.00545875348866876	156.385297430487	0	1	-8.97952447258179e-05	0	0	-0.0603051613317713	5.64348588295877	31.1257951105317	0.147578773363377	0.43664671993139	0.277978415006093	0.140403859225342	0.185472281234249	0.113943674339826	0.00231283787332437	0.0571994051775126	0.120244885455286	0.0538997125115775	0.207650427237555	0.144080666139095	0.0467774376654748	114.966379740121	0	1	-0.00303155216075435	0	0	-0.862835159100552
3	finalLog_goTrials_model352_startVal003_started2016-11-19-T074156	SAM_goTrials_model352_startVal003_exit1_started2016-11-19-T074156	3	1594.96081953551	01:00:27.60	1	8.2097799953958	42.5759809840227	0.182025261065734	0.241916523142318	0.181951568231514	0.193119329343831	0.172537448559012	0.137327832019163	3.65903153369197e-05	0.0758267571965787	0.0840517382595075	0.112069993054887	0.133892059635049	0.146600283832067	0.00915299211108871	150.977675089941	0	1	-1.47315515315778e-06	0	0	-0.14870882366677	4.7265729404546	24.3070291667812	0.059287818373916	0.153223692732407	0.114346778177435	0.283973045693326	0.127949134221328	0.104332355675321	0.0615277951678376	0.0397736176911064	0.116170500319418	0.14683544118864	0.117092950468107	0.203849490236275	0.0455964063389058	81.9773687219288	0	1	-0.00162535687973193	0	0	-0.84481083904718
16	finalLog_goTrials_model352_startVal016_started2016-11-19-T074850	SAM_goTrials_model352_startVal016_exit1_started2016-11-19-T074850	16	1646.86394350965	00:48:49.78	1	7.40449983352431e-05	38.8378030577669	0.204243908738671	0.260714673036449	0.194149582053744	0.218296842253278	0.191625626578602	0.181523990982978	0.00319375730387716	0.0770874776793159	0.136358586412635	0.149268187204282	0.140705792298701	0.176810389464803	0.0183049974075267	148.848528197539	0	1	-0.00133283754723571	0	0	-0.148810819320304	0.194978647371515	32.157763254964	0.200803523156559	0.339331076702427	0.215484474234573	0.342254624183712	0.163720902208038	0.194172914833933	0.0094605416882309	0.0738208456070325	0.133454156705964	0.157353317508729	0.0921511785205492	0.279726687423595	0.0213742062970678	59.986696769927	0	1	-0.00329145478576125	0	0	-0.481004474336234
11	finalLog_goTrials_model352_startVal011_started2016-11-19-T074651	SAM_goTrials_model352_startVal011_exit1_started2016-11-19-T074651	11	1697.3327679422	00:51:56.46	1	0.191991192708001	42.7910956522034	0.191517972376957	0.233951623361345	0.176269415049918	0.18740420854465	0.146243846514988	0.134850294295282	0.0128888082317986	0.0332189970916976	0.00362466083299582	0.10559001311017	0.094709488031128	0.136710298560895	0.0419609423664425	134.658431883602	0	1	-1.28042781737028e-05	0	0	-0.00650731455471787	3.76625786964047	32.7807563714555	0.19070300458471	0.144550542389863	0.310759431739904	0.169980089563651	0.301278603473319	0.253918830215779	0.0470778001322981	0.0473727279658361	0.0142227370323653	0.0769539411904789	0.213055353394935	0.181533462609381	0.0442019720850529	115.133086182963	0	1	-0.0014927280843034	0	0	-0.991360321803343
19	finalLog_goTrials_model352_startVal019_started2016-11-19-T074951	SAM_goTrials_model352_startVal019_exit1_started2016-11-19-T074951	19	1756.66497294398	01:06:12.13	1	6.13333268880336	45.0536960628032	0.170217150864222	0.191040897375313	0.154638987766338	0.175021529916199	0.133187730883149	0.11248709563039	0.0214564453688342	0.0189856603985169	0.0842207262999844	0.0552436686334142	0.090587396115111	0.130682558282485	0.0207666097177926	88.4975449814436	0	1	-0.000157045504775509	0	0	-0.00380488407157253	9.00426660949901	48.2193045080741	0.0481289028614681	0.199058908876804	0.208789038568798	0.113967783127971	0.298063541822738	0.0758685337124931	0.0368287326670733	0.0412315275618606	0.0781819585883492	0.0250033415656841	0.170035107394365	0.0980025033172193	0.0249482927575767	46.0881789407288	0	1	-0.000832235822864005	0	0	-0.2209986457336
2	finalLog_goTrials_model352_startVal002_started2016-11-19-T074057	SAM_goTrials_model352_startVal002_exit1_started2016-11-19-T074057	2	1786.28386723486	00:51:26.21	1	0.676874474746236	41.3884259921955	0.197806714318712	0.246866996401512	0.177237975098956	0.187737223890198	0.151757668680264	0.162227953227897	0.00111271028670748	0.0126776200219965	0.0475652395949247	0.0673678167715324	0.0947392309021057	0.138298902832884	0.0494314781370011	149.134004021576	0	1	-8.05981238399516e-05	0	0	-0.0606457306436553	6.02244687025447	39.5097001707527	0.299468638714242	0.378652778119556	0.191862740231432	0.134411254817308	0.32318703666625	0.105976698571607	0.0095250718986935	0.0436172091787763	0.0294719541144326	0.00672574166412764	0.262483620752376	0.0540443255662867	0.0456640319286402	152.218702222804	0	1	-0.000459581644681477	0	0	-0.683708021917246
