FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17
5	finalLog_goTrials_model060_startVal005_started2016-02-04-T094854	SAM_goTrials_model060_startVal005_exit1_started2016-02-04-T094854	5	819.979393902058	00:49:34.15	1	3.35991955551961	0.971713281553594	66.8387468727944	0.35269901093507	0.331594438008209	0.309789307120419	0.190974704062291	0.246588496768822	0.291487357235035	0.0584801933141333	41.3232698484778	0	0.5	-0.00254394255604038	0	0	-0.000576422342691396	9.24294585010613	17.7923383261084	46.6219126937023	0.395962508279865	0.370214276325098	0.378519316604594	0.226593865377935	0.178699386618407	0.247944796390356	0.0575478504047755	31.6596667559689	0	0.5	-0.00386535853502457	0	0	-0.221894909475688
7	finalLog_goTrials_model060_startVal007_started2016-02-04-T094822	SAM_goTrials_model060_startVal007_exit1_started2016-02-04-T094822	7	823.56975506577	00:33:32.72	1	0.42556339744163	3.41807808767603	60.4486932410485	0.311180475966955	0.298292398815864	0.272951960743021	0.189264817021154	0.213211401663789	0.24501963220994	0.0598007949319061	57.259544094118	0	0.5	-0.00197476473348952	0	0	-0.0360298217779496	16.1063833552822	40.3151670030502	50.2556347124308	0.339961100678868	0.23796146277393	0.25955120217897	0.0800112582674162	0.243402447029699	0.327531524479848	0.0532877754981486	33.3377697566652	0	0.5	-0.00171045738730817	0	0	-0.47922981407078
17	finalLog_goTrials_model060_startVal017_started2016-02-04-T100225	SAM_goTrials_model060_startVal017_exit1_started2016-02-04-T100225	17	857.298256438617	00:50:44.31	1	4.01244193544728	6.72028255486373	57.7404839953183	0.247820630360976	0.224705506660387	0.20408434419524	0.104902735225201	0.149122328272565	0.178056000412587	0.0589720038070463	79.2740600342173	0	0.5	-0.000469604583795204	0	0	-4.84231423047987e-06	8.61849150259792	43.7134128707217	63.8773538624535	0.353782574841818	0.248005834171489	0.20571677436244	0.0812368495017021	0.123965040178978	0.0972443269197431	0.0527652984855933	74.2629978439784	0	0.5	-0.0013739758042558	0	0	-0.0480146973980042
19	finalLog_goTrials_model060_startVal019_started2016-02-04-T100225	SAM_goTrials_model060_startVal019_exit1_started2016-02-04-T100225	19	888.757067342462	00:56:59.90	1	1.19672581634705	6.18259708231667	41.770402094527	0.275505968899313	0.261325316952504	0.245705490867671	0.167784456299466	0.206015282439038	0.228112136535032	0.0276082646656912	76.9461555662241	0	0.5	-0.00428136495773156	0	0	-0.00497367663971304	3.60490110471915	24.3554597015425	29.1543286962604	0.209081996242243	0.2453818472132	0.158479804727842	0.15863544698492	0.0124693029639763	0.168402790295844	0.0554573913811126	67.2278729712138	0	0.5	-0.00462012434583974	0	0	-0.311325889151802
12	finalLog_goTrials_model060_startVal012_started2016-02-04-T095211	SAM_goTrials_model060_startVal012_exit1_started2016-02-04-T095211	12	891.346042009787	00:53:01.59	1	4.24506987380254	12.6504113862268	59.5674605849075	0.331804070837849	0.319464317034361	0.295983381372591	0.176030043570395	0.235916393925347	0.27123257239435	0.0515967257691939	74.4940566865961	0	0.5	-0.00229983512872584	0	0	-0.0960156863664394	3.87433542600092	36.7669658277111	52.6651730707127	0.267233394091051	0.3081899470958	0.213089285363272	0.247559536713886	0.160660771306814	0.322617574696896	0.0489703807028143	73.9286931610191	0	0.5	-0.00245446237000492	0	0	-0.289984891999742
18	finalLog_goTrials_model060_startVal018_started2016-02-04-T100253	SAM_goTrials_model060_startVal018_exit1_started2016-02-04-T100253	18	987.236101232666	01:03:37.01	1	4.86982019488924	19.3593462935154	55.4805261495512	0.324666401801254	0.308947900680987	0.285885544091618	0.199749219301186	0.246643756436737	0.267124820229167	0.0410588634534974	67.8393987710371	0	0.5	-0.00305138446105766	0	0	-0.0671330032440025	9.83305985535139	43.530241686687	50.868456797456	0.249396360084917	0.367959905444399	0.251951681668277	0.22600345862092	0.172326576952974	0.168823656320762	0.0547925336795181	69.711981273392	0	0.5	-0.00336723045393894	0	0	-0.353389441115284
2	finalLog_goTrials_model060_startVal002_started2016-02-04-T094442	SAM_goTrials_model060_startVal002_exit1_started2016-02-04-T094442	2	1011.91068795997	00:51:11.95	1	22.4800435204497	29.7815159341716	74.2648584620934	0.243104549535495	0.225562708319753	0.202715955483422	0.101860873525618	0.150201504374825	0.175918781251445	0.0460516252421472	30.6408673992817	0	0.5	-4.60917382023472e-05	0	0	-0.0196296876871289	41.2964038115092	40.9361217461238	70.0997608414625	0.195322748160335	0.24359521631396	0.159563053716223	0.138870832726297	0.0789917556063182	0.136655772675309	0.0503346294123841	31.7078970836575	0	0.5	-0.00101171410638371	0	0	-0.12362838271246
20	finalLog_goTrials_model060_startVal020_started2016-02-04-T100223	SAM_goTrials_model060_startVal020_exit1_started2016-02-04-T100223	20	1013.14598524587	00:30:41.54	1	36.0064589684015	42.5222445801166	94.5886557494832	0.424941138297383	0.407185153661811	0.379355376051748	0.288829708415891	0.319192423879717	0.353354049021841	0.055419108637109	35.9766939159332	0	0.5	-0.00218006986104444	0	0	-0.00998497075796623	41.3906033724063	31.2064255133773	94.6722126395154	0.402831321260711	0.491624916059606	0.447693526333995	0.237239278506481	0.342764798983775	0.297847085249497	0.0378454576044561	58.4591411482946	0	0.5	-0.00190372529402016	0	0	-0.041327027475194
14	finalLog_goTrials_model060_startVal014_started2016-02-04-T095618	SAM_goTrials_model060_startVal014_exit1_started2016-02-04-T095618	14	1029.57429085362	00:46:58.35	1	11.957359304042	22.0475853096357	63.905401178987	0.37318461119385	0.359851085690852	0.341975291246822	0.227875969071009	0.28993337110763	0.316507548494663	0.0509754228477077	68.0926336431645	0	0.5	-0.0026706485927298	0	0	-0.158891758106762	16.0543895297077	19.264486779374	58.5672061854702	0.339566634368236	0.328551478724124	0.370187234961157	0.351102314776001	0.275113999048054	0.264742184372829	0.0397768565801337	62.5921567664666	0	0.5	-0.00110285426820733	0	0	-0.307035120703358
1	finalLog_goTrials_model060_startVal001_started2016-02-04-T094438	SAM_goTrials_model060_startVal001_exit1_started2016-02-04-T094438	1	1036.53070803028	00:42:07.43	1	22.143758812862	27.9613286439539	70.3232255161319	0.279038922266977	0.269635314464699	0.248866956674332	0.171684977019535	0.199224708660155	0.229766997614564	0.0449195995415423	29.1374525589518	0	0.5	-0.00105548420616971	0	0	-0.103127619530364	23	27	70	0.29	0.28	0.26	0.2	0.2	0.2	0.03	40	0	0.5	-0.001	0	0	-0.1
