FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13
1	finalLog_goTrials_model002_startVal001_started2016-08-24-T103223	SAM_goTrials_model002_startVal001_exit1_started2016-08-24-T103223	1	1729.25680740174	00:27:54.74	1	0.500869262496014	2.41700553627546	97.5251097345703	0.460575038680586	0.376058212479559	0.0258273923705392	57.7568756942422	0	1	-2.53426749246936e-06	-0.0122064974482211	0	0	0.447439142010209	2.62781526420432	99.8652314291032	0.462793021313523	0.362388550300326	0.0226808850117903	63.1596593034836	0	1	-3.51290949666024e-05	-0.011545442676356	0	0
20	finalLog_goTrials_model002_startVal020_started2016-08-24-T103634	SAM_goTrials_model002_startVal020_exit1_started2016-08-24-T103634	20	1890.32683737119	00:27:46.07	1	3.42562605120068	6.39621759343631	88.7228469169455	0.599013688341061	0.528412585429479	0.00541139887272219	52.7815337870524	0	1	-0.00395299217409672	-0.0185411710574871	0	0	3.23947204304215	7.30626303114533	93.377390566648	0.648118554904455	0.492989009398722	0.00370559001923542	63.475248709299	0	1	-0.00448084463477888	-0.0534225100176755	0	0
13	finalLog_goTrials_model002_startVal013_started2016-08-24-T103639	SAM_goTrials_model002_startVal013_exit1_started2016-08-24-T103639	13	1946.5381790788	00:30:35.35	1	3.54211606536352	4.52409458306038	91.7107701110197	0.45455706776633	0.346852597425703	0.0448723329794574	95.9535804730295	0	1	-0.000463573508205223	-0.0131537063832756	0	0	3.09069044737222	5.32701943428997	103.515399608522	0.367977135322247	0.347745202751604	0.0436220623481753	109.09003429141	0	1	-0.00042860686466865	-0.0547170537025943	0	0
12	finalLog_goTrials_model002_startVal012_started2016-08-24-T103641	SAM_goTrials_model002_startVal012_exit1_started2016-08-24-T103641	12	1957.08979218423	00:35:08.59	1	2.66206715037473	0.482527951195276	77.4056961966042	0.339999883556363	0.274925049758938	0.0221181266639224	23.7419132740775	0	1	-0.000612764453970081	-0.0172445232893884	0	0	1.42321356446573	7.76711902150733	90.1706340880273	0.34811918128963	0.273752451270493	0.0100243625959846	41.6751359691063	0	1	-3.93798027498709e-05	-0.249627606108102	0	0
9	finalLog_goTrials_model002_startVal009_started2016-08-24-T103636	SAM_goTrials_model002_startVal009_exit1_started2016-08-24-T103636	9	2100.24008097302	00:32:15.03	1	2.81736980143253	5.54957812220473	60.3702398931551	0.35389763210786	0.267913202938427	0.0287770134483586	118.276284838966	0	1	-0.00248942395254915	-0.00112870788362285	0	0	2.4597385841823	7.31815141758568	65.0428793366615	0.324971808631189	0.271857824767042	0.0258650173666596	122.525342381019	0	1	-0.00288464430152909	-0.0473922255103623	0	0
5	finalLog_goTrials_model002_startVal005_started2016-08-24-T103422	SAM_goTrials_model002_startVal005_exit1_started2016-08-24-T103422	5	2308.38056433322	00:19:07.84	1	7.92441543126156e-05	4.67362055644375	82.568103110692	0.512365840638867	0.431809561517272	0.00493034099533119	103.543769653914	0	1	-0.00264165146020648	-0.0155176953376915	0	0	0.00678534167404113	4.46299961166655	83.7904651997655	0.528681883974474	0.515919863866775	0.00520703082051835	110.625433934982	0	1	-0.00368466492733998	-0.0500116186495317	0	0
4	finalLog_goTrials_model002_startVal004_started2016-08-24-T103425	SAM_goTrials_model002_startVal004_exit1_started2016-08-24-T103425	4	2347.94770769457	00:31:30.72	1	5.05986826230724	4.40807703338986	61.4028087561318	0.289844198359757	0.210822545770121	0.0223127711268849	64.6033690233548	0	1	-0.000889259132088169	-0.0219252101148708	0	0	5.10165515631591	4.0272279253953	56.5633942178638	0.258210683148633	0.293878974784845	0.0201183644854357	82.2034634520457	0	1	-0.00120805577606542	-0.0518111447666032	0	0
15	finalLog_goTrials_model002_startVal015_started2016-08-24-T103625	SAM_goTrials_model002_startVal015_exit1_started2016-08-24-T103625	15	2477.40519498313	00:20:40.34	1	3.53534064147026	2.11533238700831	77.0857843727318	0.44353441110056	0.352476353542898	0.0453284426504217	86.8723950873625	0	1	-0.00257984470972835	-0.0245484964724689	0	0	2.59424832902135	7.11487007844984	75.8654026855204	0.420609031461653	0.301665374467328	0.0406377974125093	58.2993147617873	0	1	-0.00148919763052313	-0.134662185881728	0	0
3	finalLog_goTrials_model002_startVal003_started2016-08-24-T103219	SAM_goTrials_model002_startVal003_exit1_started2016-08-24-T103219	3	2712.98193300244	00:18:19.10	1	1.81063469322978	2.1208531835046	77.6517760532932	0.301936984272858	0.234959684835352	0.045361484233255	28.8511513121327	0	1	-0.000295854970380388	-0.39885126668226	0	0	1.25326016214649	2.70578445071563	80.1358277317958	0.302457210515941	0.21151078634508	0.0452202869481366	42.1810811246087	0	1	-0.00044610185446044	-0.434276739449633	0	0
7	finalLog_goTrials_model002_startVal007_started2016-08-24-T103422	SAM_goTrials_model002_startVal007_exit1_started2016-08-24-T103422	7	2716.36770365068	00:23:05.89	1	2.87519442321857	1.4449213279094	51.9968027553232	0.240936529087132	0.162272487854985	0.00218257292779156	123.347944740689	0	1	-7.90940360781076e-05	-0.0268772636783429	0	0	2.74017487743134	5.85587350496113	40.6881779828844	0.165401327228084	0.170410776933147	0.00598164507888265	96.3064456603492	0	1	-0.000864737448732856	-0.102913475302807	0	0
