subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
1,2,go,14.6163104457949,2.82938493630341,53.9403988539554,0.137368710861213,,,,,,0.074794408191242,,,,,,0.0099483337737834,33.8638706878179,0,1,-0.000170375874800379,0,0,-0.0279739465428539
1,2,stop,10.2539780426786,,18.9292955417505,0.474314274893128,,,,,,NaN,,,,,,0.0135858677684479,21.8048887159266,0,1,-0.00261532219504883,0,-0.013808346012861,NaN
1,43,go,5.99635147260662,,47.3991332494446,0.160328928794747,0.138055333441169,0.121839612489713,,,,0.0494651647797075,0.0640580560222886,0.0846833502356279,,,,0.00291608676939521,77.0868246168705,0,1,-0.000500220594712688,0,0,-0.00734821882367842
1,43,stop,3.08076987473617,,8.16335352132074,0.220744727652601,,,,,,NaN,,,,,,0.00530469622016466,13.1304764615547,0,1,-0.000621702612283139,0,-0.0196825484371751,NaN
1,79,go,15.5205611390613,1.36361760476679,53.7840975267837,0.164354062042121,0.145345274158719,0.127045045877235,,,,0.0497745642766364,0.0728797187813599,0.0936743472903904,,,,8.37800152644421e-05,60.6848181958062,0,1,-1.32439161269152e-06,0,0,-0.111690148112824
1,79,stop,4.88678968374854,,16.7829381201752,0.384213165243333,,,,,,NaN,,,,,,0.059975625005684,22.1027117693329,0,1,-0.000951017817685559,0,-0.545805415507473,NaN
1,352,go,13.464736674166,,58.2541953705678,0.18767921554147,0.170926719580118,0.168285200349959,0.149266878419176,0.152629013245528,0.131421000556201,0.0255501370935563,0.0854547661995311,0.0666928230131181,0.0966403786363802,0.0904397513757413,0.116724725776408,0.0298672471105805,66.6753434880631,0,1,-2.42655715788909e-06,0,0,-0.147682477269016
1,352,stop,3.03805094278414,,12.4672081265684,0.448762281465018,,,,,,NaN,,,,,,0.0537593042198168,45.1221460433831,0,1,-0.0055946367845525,0,-0.435364069212934,NaN
1,478,go,15.7198275177019,4.89294929920486,56.0358895509261,0.170491014922284,0.167038343643604,0.148904306970585,0.147028326915511,0.132949828015141,0.126056238463318,0.0661083607624144,0.0630484176203848,0.069827259539626,0.0779875181036769,0.0869195907770936,0.0973521235279908,0.0196137369289641,57.0155546524622,0,1,-2.29666862741878e-06,0,0,-0.0802291642143744
1,478,stop,10.4694589766146,,12.8433746706494,0.326238300075073,,,,,,NaN,,,,,,0.0389749544747113,42.564813051804,0,1,-0.00126381211543198,0,-0.210395911564248,NaN
2,2,go,1.62673168166408,6.45836217660985,177.559442298733,0.822883070435433,,,,,,0.636337385195428,,,,,,0.194630411733085,58.7744789865206,0,1,-0.00156032143558674,0,0,-0.0250323182388961
2,2,stop,0.46071767670376,,0.487250754231647,0.798958347011612,,,,,,NaN,,,,,,0.021462728141723,0.00324584636797409,0,1,-1.72760872798926e-05,0,-0.535276018555633,NaN
2,43,go,6.00322441713564,,90.4177804597208,0.473617913151899,0.45247979401009,0.413493729183603,,,,0.30204243064556,0.348513421196551,0.391609994958213,,,,0.0627207777678356,42.5520180506412,0,1,-0.00268403899369427,0,0,-0.0001977376152138
2,43,stop,0.754558968784764,,0.765718903065044,0.797140368876144,,,,,,NaN,,,,,,0.00098937612026119,0.136306557789836,0,1,-0.000278687717420527,0,-0.52220873813076,NaN
2,79,go,7.9988148517802,12.2829224510234,129.877215528193,0.523298159531155,0.494549307306218,0.437917084138108,,,,0.286705971279367,0.33174173657126,0.391870973450311,,,,0.120102276015864,49.4625791658646,0,1,-0.000426631910704731,0,0,-0.000163438215245115
2,79,stop,0.904469260670218,,0.9182534247865,0.799063915888176,,,,,,NaN,,,,,,0.0587577623211341,0.163821776863589,0,1,-3.08984437300906e-05,0,-0.549319143798495,NaN
2,352,go,3.34089084839878,,57.6102393995596,0.218371801951381,0.244140883761186,0.198173922793613,0.210583273861317,0.184091049334108,0.167002605654356,0.0441228204401161,0.0529447669231394,0.104198321954148,0.141049942045388,0.135687716830836,0.171712744867336,0.0236827212797257,60.3680233599939,0,1,-1.16648721955152e-07,0,0,-4.04023334121817e-07
2,352,stop,0.783255727554734,,0.792018796102212,0.798923569210958,,,,,,NaN,,,,,,0.0598670935490813,0.236658731260144,0,1,-7.96476240348069e-06,0,-0.549866987434481,NaN
2,478,go,15.9663202353078,20.5751388638827,87.5783673343575,0.334747422861576,0.369505850461346,0.315331698321391,0.323599562900357,0.297830745046796,0.265398207990892,0.147436399233818,0.193205824935116,0.18762689207916,0.244186909432438,0.224023490780689,0.282316038688201,0.0614825563240872,75.7432091974323,0,1,-0.000361016765126939,0,0,-0.000232925610607393
2,478,stop,0.315923591582855,,0.347127628556576,0.799917436768747,,,,,,NaN,,,,,,0.0596376600075788,0.258189834655838,0,1,-0.000385901322763092,0,-0.54851737274167,NaN
