FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	BestX_23	BestX_24	BestX_25	BestX_26	BestX_27	BestX_28	BestX_29	BestX_30	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22	StartX_23	StartX_24	StartX_25	StartX_26	StartX_27	StartX_28	StartX_29	StartX_30
1	finalLog_stopTrials_model478_startVal001_started2016-11-03-T044619	SAM_stopTrials_model478_startVal001_exit1_started2016-11-03-T044619	1	293.571222016556	04:44:01.60	1	46.7372869176989	39.2239698891939	6.78088268797072	89.0334889723803	17.5485404508287	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.354741963946294	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0367611235512724	64.1004220539812	20.4558391313403	0	1	-1.35461941967903e-06	-0.000422055472004832	0	0	-0.0754487282830445	0	46.7372869176989	39.2239698891939	5	89.0334889723803	22	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.4	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.03	64.1004220539812	25	0	1	-1.35461941967903e-06	-0.001	0	0	-0.05	0
3	finalLog_stopTrials_model478_startVal003_started2016-11-03-T045218	SAM_stopTrials_model478_startVal003_exit1_started2016-11-03-T045218	3	295.902642772922	03:25:09.52	1	46.7372869176989	39.2239698891939	7.57906028772935	89.0334889723803	25.0200251526435	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.505529342983443	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0325160822151712	64.1004220539812	17.5565072940945	0	1	-1.35461941967903e-06	-0.000753491493309118	0	0	-0.390327892144467	0	46.7372869176989	39.2239698891939	7.96167211462209	89.0334889723803	22.3969793008057	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.529387955534355	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0303175471323499	64.1004220539812	15.5298226858206	0	1	-1.35461941967903e-06	-0.000760836254340964	0	0	-0.405662443873566	0
4	finalLog_stopTrials_model478_startVal004_started2016-11-03-T045218	SAM_stopTrials_model478_startVal004_exit1_started2016-11-03-T045218	4	296.1822256202	03:51:27.71	1	46.7372869176989	39.2239698891939	3.41784926646104	89.0334889723803	14.2227601441312	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.298235623847604	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0438671620660833	64.1004220539812	0.593190229676216	0	1	-1.35461941967903e-06	-0.00571961469790527	0	0	-0.244845538354129	0	46.7372869176989	39.2239698891939	3.40965497463431	89.0334889723803	7.42859761421299	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.482218319588351	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0376549085562018	64.1004220539812	0.177772372660517	0	1	-1.35461941967903e-06	-0.00567276195654122	0	0	-0.26716906627286	0
9	finalLog_stopTrials_model478_startVal009_started2016-11-03-T045853	SAM_stopTrials_model478_startVal009_exit1_started2016-11-03-T045853	9	296.941519327022	04:05:29.05	1	46.7372869176989	39.2239698891939	3.10430646175176	89.0334889723803	7.54641026841321	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.193317735304896	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0308452815001763	64.1004220539812	38.2326165279832	0	1	-1.35461941967903e-06	-0.00166484177911905	0	0	-0.457773173722354	0	46.7372869176989	39.2239698891939	2.73342022909053	89.0334889723803	16.8330562499265	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.0712674124051283	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0280640556775196	64.1004220539812	41.1985443614036	0	1	-1.35461941967903e-06	-0.00248879796286472	0	0	-0.450298656167069	0
10	finalLog_stopTrials_model478_startVal010_started2016-11-03-T045854	SAM_stopTrials_model478_startVal010_exit1_started2016-11-03-T045854	10	297.365336077065	04:24:51.00	1	46.7372869176989	39.2239698891939	2.03490077627776	89.0334889723803	17.1142028027593	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.556492001657634	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.00385843201140894	64.1004220539812	47.0087157147946	0	1	-1.35461941967903e-06	-0.00101063933524412	0	0	-0.494039760877143	0	46.7372869176989	39.2239698891939	2.49528761604675	89.0334889723803	11.9439286545488	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.638193967877641	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0013576792053544	64.1004220539812	42.6095324699318	0	1	-1.35461941967903e-06	-0.000956180894428506	0	0	-0.482340640728401	0
5	finalLog_stopTrials_model478_startVal005_started2016-11-03-T045208	SAM_stopTrials_model478_startVal005_exit1_started2016-11-03-T045208	5	297.384952257529	03:50:05.19	1	46.7372869176989	39.2239698891939	11.3343163374575	89.0334889723803	20.2301359770234	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.533412671020873	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.043752940446047	64.1004220539812	38.9680980108779	0	1	-1.35461941967903e-06	-0.0021822778591158	0	0	-0.269302656923518	0	46.7372869176989	39.2239698891939	10.6422746279472	89.0334889723803	36.5689061406155	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.379054290576741	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0431558356093446	64.1004220539812	40.7621222656836	0	1	-1.35461941967903e-06	-0.00299759534690891	0	0	-0.30427422982407	0
8	finalLog_stopTrials_model478_startVal008_started2016-11-03-T045832	SAM_stopTrials_model478_startVal008_exit1_started2016-11-03-T045832	8	299.662287346287	04:21:19.68	1	46.7372869176989	39.2239698891939	2.88727620515808	89.0334889723803	22.2454401736281	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.698354073346622	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0332176658754768	64.1004220539812	45.5312718201273	0	1	-1.35461941967903e-06	-5.39424585725553e-05	0	0	-0.318639273218963	0	46.7372869176989	39.2239698891939	3.43959377198658	89.0334889723803	17.065967363681	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.767716157595036	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.025351883296109	64.1004220539812	40.1692542998453	0	1	-1.35461941967903e-06	-0.000101782667538264	0	0	-0.205444524409667	0
7	finalLog_stopTrials_model478_startVal007_started2016-11-03-T045830	SAM_stopTrials_model478_startVal007_exit1_started2016-11-03-T045830	7	299.905281749746	05:07:00.65	1	46.7372869176989	39.2239698891939	11.9219179013317	89.0334889723803	32.7318351305141	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.610097979443638	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.00468538919013052	64.1004220539812	12.1787332923799	0	1	-1.35461941967903e-06	-0.00135522447186927	0	0	-0.0374590425061088	0	46.7372869176989	39.2239698891939	9.50973821835139	89.0334889723803	38.8844420819892	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.536817614626678	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0027920678438423	64.1004220539812	12.2042885130954	0	1	-1.35461941967903e-06	-0.00221889989143993	0	0	-0.00962912417171191	0
6	finalLog_stopTrials_model478_startVal006_started2016-11-03-T045224	SAM_stopTrials_model478_startVal006_exit1_started2016-11-03-T045224	6	300.303003765257	03:14:56.79	1	46.7372869176989	39.2239698891939	4.87265887119075	89.0334889723803	25.8314686135163	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.669152686470824	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	3.38469205020686e-05	64.1004220539812	26.3686097270054	0	1	-1.35461941967903e-06	-0.0030665950740023	0	0	-0.403094636444996	0	46.7372869176989	39.2239698891939	2.22948829807275	89.0334889723803	40.8324776965045	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.285005073997021	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.00143477288157931	64.1004220539812	31.9209229083179	0	1	-1.35461941967903e-06	-0.00340342071282983	0	0	-0.362333869937744	0
2	finalLog_stopTrials_model478_startVal002_started2016-11-03-T045219	SAM_stopTrials_model478_startVal002_exit1_started2016-11-03-T045219	2	301.460238698305	04:06:38.63	1	46.7372869176989	39.2239698891939	8.1113106006998	89.0334889723803	33.1780501686139	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.791303327839227	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0553679788342198	64.1004220539812	22.2500091054477	0	1	-1.35461941967903e-06	-0.00381975836814471	0	0	-0.139981822323454	0	46.7372869176989	39.2239698891939	7.12852736238415	89.0334889723803	32.8320184569407	0.219730227426518	0.214715082990422	0.195633127670909	0.188198950314858	0.171976609129599	0.16051730867365	0.782215326161787	0.069034465101773	0.0746289382014602	0.0797518657353141	0.0987266523161287	0.114281062127483	0.123979301607162	0.0321235261033375	0.0542255430709188	64.1004220539812	25.5316802568239	0	1	-1.35461941967903e-06	-0.00407431283317722	0	0	-0.140555553804804	0
