FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18
12	finalLog_goTrials_model167_startVal012_started2016-02-02-T084558	SAM_goTrials_model167_startVal012_exit1_started2016-02-02-T084558	12	736.523806702793	00:46:39.52	1	14.176805110125	3.70121823099424	110.88917215758	0.43934790456806	0.412063106007805	0.37346344706089	0.18574201658187	0.269888034621076	0.323581153658854	0.0919003823479036	79.2787350583687	24.4753055616062	0	1	-0.000290277358467277	0	0	0	13.0028144499284	16.4174695882582	89.5922719004367	0.444050857939821	0.358374932637614	0.37573079091983	0.29543558830352	0.369773238350903	0.355872086846605	0.0837892177512324	79.7053856806716	14.4583119741774	0	1	-0.0013857086672633	0	0	0
9	finalLog_goTrials_model167_startVal009_started2016-02-02-T084559	SAM_goTrials_model167_startVal009_exit1_started2016-02-02-T084559	9	756.879007808191	00:54:03.26	1	25.1307786278879	0.510419420839996	106.665886546413	0.4165034735608	0.394821231346595	0.358876303423481	0.18444870280904	0.266638632882443	0.315837670687488	0.0750080746387879	79.2342759659552	3.26478289459321	0	1	-0.00051531802066153	0	0	0	28.4131914953036	30.0548921232301	93.2121267197812	0.459892139985754	0.431103200396515	0.314763791199945	0.0630296171094891	0.391431904495283	0.303580084533222	0.0698643664268975	75.2018153500575	0.701323662935123	0	1	-0.00208101814921477	0	0	0
15	finalLog_goTrials_model167_startVal015_started2016-02-02-T084608	SAM_goTrials_model167_startVal015_exit1_started2016-02-02-T084608	15	760.276811879952	00:42:39.29	1	9.44806357033074	9.36458308142267	98.5923190674186	0.366943397597883	0.341371973683564	0.309131681237241	0.132665617052529	0.220453360986314	0.27119978008184	0.0726823982121382	43.7201481908143	19.5032209109666	0	1	-8.40772098326384e-05	0	0	0	8.64209163429785	11.9659658438488	96.2541945178008	0.428568440843251	0.326632880054189	0.221437274541153	0.203120436926464	0.205590425326493	0.206368142935636	0.0798555090019999	39.814037169381	17.4614496786764	0	1	-0.00071987085062306	0	0	0
5	finalLog_goTrials_model167_startVal005_started2016-02-02-T084603	SAM_goTrials_model167_startVal005_exit1_started2016-02-02-T084603	5	763.522031071869	00:48:33.02	1	7.44965071395151	10.9799792726969	103.580922232704	0.387689039657576	0.360964705572617	0.328048854422413	0.181141239186416	0.237675991537696	0.283618124286745	0.0782550930947684	36.0224038522245	19.9921847089758	0	1	-0.000149664015917351	0	0	0	7.92655131943817	12.0531621767785	106.576700652694	0.41730001247177	0.331526451307052	0.388935775861385	0.156414747615314	0.283653915359311	0.230782324074565	0.0691064698406663	20.2989301179321	23.1445026533534	0	1	-0.000353407093822679	0	0	0
11	finalLog_goTrials_model167_startVal011_started2016-02-02-T084534	SAM_goTrials_model167_startVal011_exit1_started2016-02-02-T084534	11	803.676649690976	00:47:37.06	1	21.4525691211833	8.23015724029851	98.9082724507879	0.385994791255504	0.372531527937088	0.33894796923115	0.200061991709108	0.250947230330248	0.297024973584747	0.0720061156647017	73.4672691468465	16.3769346489854	0	1	-0.000635473988512159	0	0	0	9.46898502714992	23.008545287149	86.648037735343	0.322684488032622	0.377306220248872	0.430100335600601	0.261358299095651	0.264742184372829	0.278437996060936	0.0782401959580832	71.6674943327678	9.60650647151744	0	1	-0.0012890603897969	0	0	0
8	finalLog_goTrials_model167_startVal008_started2016-02-02-T084544	SAM_goTrials_model167_startVal008_exit1_started2016-02-02-T084544	8	814.937751884835	00:45:11.87	1	13.6188618305359	11.5693430314232	105.903487799633	0.415781422056398	0.400519221285033	0.372068908440626	0.226556680101922	0.275854436069843	0.329781656096052	0.079196788096127	45.0837539190452	27.9163465682506	0	1	-0.000739345210437943	0	0	0	16.7206821839028	8.01818922869021	87.6180844709058	0.364015321407533	0.463984837507114	0.362246304501741	0.244095352987561	0.253774870397788	0.393026092368768	0.0852847300332324	38.8956429701416	29.8192161959904	0	1	-0.00164523381704143	0	0	0
18	finalLog_goTrials_model167_startVal018_started2016-02-02-T084612	SAM_goTrials_model167_startVal018_exit1_started2016-02-02-T084612	18	819.084240156786	00:32:59.17	1	5.29086739055108	23.6833512019639	119.607636487747	0.440434929551384	0.41019906264801	0.366301966975594	0.185125507766388	0.267731268891428	0.32740131236515	0.0969279152483273	25.4401941679772	55.5340479842031	0	1	-2.13935801949222e-05	0	0	0	23.6637963084206	12.3300067402119	123.121501471225	0.502074223192882	0.471575151249703	0.346606926086909	0.148724129533027	0.223179621235813	0.350513564828795	0.0815343193718824	15.377979289739	57.2937768935776	0	1	-0.000614668476478925	0	0	0
13	finalLog_goTrials_model167_startVal013_started2016-02-02-T084549	SAM_goTrials_model167_startVal013_exit1_started2016-02-02-T084549	13	826.330222750703	00:43:15.00	1	24.831673402172	21.6167337191721	104.858476895334	0.420299029581111	0.398747577571879	0.360376589481657	0.206506279516372	0.277437332127889	0.328824413195432	0.0672799658289901	46.5296500136049	16.4143386090223	0	1	-0.00104069468794175	0	0	0	26.3694490234419	33.6342620967382	98.1111724362438	0.460080509987605	0.416122946687815	0.408123654269619	0.147409485799004	0.292521265248408	0.254531511801538	0.0529139545263837	42.3828837021215	14.9431449465623	0	1	-0.00136791207606257	0	0	0
19	finalLog_goTrials_model167_startVal019_started2016-02-02-T084555	SAM_goTrials_model167_startVal019_exit1_started2016-02-02-T084555	19	873.448689318514	00:25:44.44	1	1.49350708611037	17.8550163095494	85.9859416171744	0.373795301930406	0.356790839955471	0.319680814379946	0.156850422653155	0.248227588116587	0.286255827110493	0.0567152392353647	33.9910995917545	50.7262211591211	0	1	-0.00121096582811546	0	0	0	3.30835151730808	19.5731758024766	84.0832532254041	0.282498262483935	0.451804481250133	0.363820339881383	0.0631346533775614	0.142046283535004	0.30658923619075	0.0900279582470922	22.8828536405381	45.5478216257668	0	1	-0.0015020527849966	0	0	0
3	finalLog_goTrials_model167_startVal003_started2016-02-02-T084607	SAM_goTrials_model167_startVal003_exit1_started2016-02-02-T084607	3	882.071561951606	00:44:23.45	1	8.67254496583044	7.8899602272827	77.9499193381877	0.291546644637725	0.277136435124675	0.244510777208311	0.128920389296148	0.172034628822963	0.215196121418896	0.0487013795248463	46.4611566242143	18.1497165256576	0	1	-0.000290321775914651	0	0	0	13.5855777972159	6.89919779998104	78.6145767726891	0.259084235572097	0.286316230139852	0.214660966377101	0.194615697653946	0.189328727154658	0.208448269192738	0.0339368240977801	35.0304817857936	16.9675091794786	0	1	-0.000670432907390468	0	0	0
