FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21
4	finalLog_stopTrials_model043_startVal004_started2017-04-22-T142901	SAM_stopTrials_model043_startVal004_exit1_started2017-04-22-T142901	4	341.865168858322	04:08:53.14	1	0.00638413527033166	0.206151144500526	76.0469123182218	9.06073826511301	0.462259734842848	0.395401799736361	0.11436408185507	0.275904123101896	0.33960749006254	0.0599992371267148	0.0599938717162921	25.2703822748613	18.9266752438104	0	1	-0.00464800735351608	-0.00456405496690402	0	0	-0.295679210872241	0	0.00638413527033166	1.3743536726547	76.0469123182218	9.90848505332009	0.462259734842848	0.395401799736361	0.135390370121332	0.275904123101896	0.33960749006254	0.0599992371267148	0.047113254474417	25.2703822748613	16.0011886247855	0	1	-0.00464800735351608	-0.00462539060997598	0	0	-0.264950549283474	0
1	finalLog_stopTrials_model043_startVal001_started2017-04-22-T141716	SAM_stopTrials_model043_startVal001_exit1_started2017-04-22-T141716	1	344.267472962182	03:51:12.67	1	0.00638413527033166	7.2758721327255	76.0469123182218	13.2113766662123	0.462259734842848	0.395401799736361	0.151020521255043	0.275904123101896	0.33960749006254	0.0599992371267148	0.058990446048257	25.2703822748613	6.53231040493033	0	1	-0.00464800735351608	-0.00236890059771455	0	0	-0.0605498997729695	0	0.00638413527033166	5.31503833397107	76.0469123182218	13.1917020763398	0.462259734842848	0.395401799736361	0.159325745295162	0.275904123101896	0.33960749006254	0.0599992371267148	0.0581444682652835	25.2703822748613	5.12725428949795	0	1	-0.00464800735351608	-0.00182255274494824	0	0	-0.0487288439532789	0
2	finalLog_stopTrials_model043_startVal002_started2017-04-22-T142030	SAM_stopTrials_model043_startVal002_exit1_started2017-04-22-T142030	2	345.78932724753	02:42:36.72	1	0.00638413527033166	11.2183855225664	76.0469123182218	17.0385831943127	0.462259734842848	0.395401799736361	0.215736975557753	0.275904123101896	0.33960749006254	0.0599992371267148	0.0571439962396466	25.2703822748613	10.5878962080174	0	1	-0.00464800735351608	-0.00251049321546535	0	0	-0.499195125746093	0	0.00638413527033166	9.77957488652908	76.0469123182218	16.8266462900531	0.462259734842848	0.395401799736361	0.208940936457004	0.275904123101896	0.33960749006254	0.0599992371267148	0.0556790233374945	25.2703822748613	18.0196934658935	0	1	-0.00464800735351608	-0.00328037774636125	0	0	-0.513251884616843	0
3	finalLog_stopTrials_model043_startVal003_started2017-04-22-T142714	SAM_stopTrials_model043_startVal003_exit1_started2017-04-22-T142714	3	346.000389232048	04:09:42.98	1	0.00638413527033166	11.0767957147282	76.0469123182218	16.2482226168993	0.462259734842848	0.395401799736361	0.161730609587628	0.275904123101896	0.33960749006254	0.0599992371267148	0.0568421649575664	25.2703822748613	10.817798763937	0	1	-0.00464800735351608	-0.00082425930037442	0	0	-0.241577081067385	0	0.00638413527033166	7.38834586188391	76.0469123182218	14.5728563823864	0.462259734842848	0.395401799736361	0.171069602490489	0.275904123101896	0.33960749006254	0.0599992371267148	0.0493184887012911	25.2703822748613	23.389454076938	0	1	-0.00464800735351608	-0.00076798712719933	0	0	-0.258705159146646	0
6	finalLog_stopTrials_model043_startVal006_started2017-04-22-T143357	SAM_stopTrials_model043_startVal006_exit1_started2017-04-22-T143357	6	346.452550685553	04:02:29.01	1	0.00638413527033166	10.6807863777734	76.0469123182218	17.1568144941824	0.462259734842848	0.395401799736361	0.180318082524149	0.275904123101896	0.33960749006254	0.0599992371267148	0.0515846590183007	25.2703822748613	7.42239744109685	0	1	-0.00464800735351608	-0.000862210417645276	0	0	-0.353013464726204	0	0.00638413527033166	14.6496758956619	76.0469123182218	18.6923832919991	0.462259734842848	0.395401799736361	0.162092876931036	0.275904123101896	0.33960749006254	0.0599992371267148	0.0434961784827523	25.2703822748613	9.76432284055478	0	1	-0.00464800735351608	-0.00190068108444717	0	0	-0.334575165419335	0
8	finalLog_stopTrials_model043_startVal008_started2017-04-22-T143731	SAM_stopTrials_model043_startVal008_exit1_started2017-04-22-T143731	8	346.694768900647	03:36:37.98	1	0.00638413527033166	8.78952835905903	76.0469123182218	17.0635315893455	0.462259734842848	0.395401799736361	0.178699468778218	0.275904123101896	0.33960749006254	0.0599992371267148	0.0568553507287348	25.2703822748613	0.489731545618375	0	1	-0.00464800735351608	-0.000556012978192757	0	0	-0.460914526108333	0	0.00638413527033166	0.914075451211321	76.0469123182218	19.2283447255762	0.462259734842848	0.395401799736361	0.176845679762906	0.275904123101896	0.33960749006254	0.0599992371267148	0.0331662498341218	25.2703822748613	5.96774654183289	0	1	-0.00464800735351608	-0.000748303918836717	0	0	-0.357891153395621	0
15	finalLog_stopTrials_model043_startVal015_started2017-04-22-T145728	SAM_stopTrials_model043_startVal015_exit1_started2017-04-22-T145728	15	347.154015651924	04:19:13.64	1	0.00638413527033166	10.165116089009	76.0469123182218	16.7853699328292	0.462259734842848	0.395401799736361	0.239230478079352	0.275904123101896	0.33960749006254	0.0599992371267148	0.059546660012602	25.2703822748613	3.97144004499055	0	1	-0.00464800735351608	-0.00572404741586858	0	0	-0.0712718264670386	0	0.00638413527033166	5.15069648762987	76.0469123182218	18.8727551035432	0.462259734842848	0.395401799736361	0.261619434696012	0.275904123101896	0.33960749006254	0.0599992371267148	0.0508747295982327	25.2703822748613	33.2224283857228	0	1	-0.00464800735351608	-0.00560254024919609	0	0	-0.165467437675356	0
14	finalLog_stopTrials_model043_startVal014_started2017-04-23-T171827	SAM_stopTrials_model043_startVal014_exit1_started2017-04-23-T171827	14	347.179176059749	04:12:08.48	1	0.00638413527033166	9.73549570350283	76.0469123182218	17.2855838977015	0.462259734842848	0.395401799736361	0.232385778408297	0.275904123101896	0.33960749006254	0.0599992371267148	0.0574378998889318	25.2703822748613	6.69144364062301	0	1	-0.00464800735351608	-0.003661796250867	0	0	-0.4862987342662	0	0.00638413527033166	3.55068121079821	76.0469123182218	20.3729753939199	0.462259734842848	0.395401799736361	0.238236145977855	0.275904123101896	0.33960749006254	0.0599992371267148	0.0425881869815819	25.2703822748613	21.9753865032399	0	1	-0.00464800735351608	-0.00435035981943009	0	0	-0.528121250687861	0
5	finalLog_stopTrials_model043_startVal005_started2017-04-22-T143303	SAM_stopTrials_model043_startVal005_exit1_started2017-04-22-T143303	5	351.059918037133	04:27:21.70	1	0.00638413527033166	20.5122377799549	76.0469123182218	22.3231037198249	0.462259734842848	0.395401799736361	0.20130897539534	0.275904123101896	0.33960749006254	0.0599992371267148	0.0585858536411377	25.2703822748613	23.920674227364	0	1	-0.00464800735351608	-0.000500170813649973	0	0	-0.488136082463684	0	0.00638413527033166	21.031799599706	76.0469123182218	21.6001795462486	0.462259734842848	0.395401799736361	0.192449585616027	0.275904123101896	0.33960749006254	0.0599992371267148	0.0474399017576311	25.2703822748613	28.4351165609824	0	1	-0.00464800735351608	-0.00102996986864214	0	0	-0.34368762143063	0
7	finalLog_stopTrials_model043_startVal007_started2017-04-22-T143639	SAM_stopTrials_model043_startVal007_exit1_started2017-04-22-T143639	7	354.942274067467	04:39:45.73	1	0.00638413527033166	5.7909164095487	76.0469123182218	12.9469425822781	0.462259734842848	0.395401799736361	0.185138834860376	0.275904123101896	0.33960749006254	0.0599992371267148	0.0306495014216696	25.2703822748613	28.9086278385567	0	1	-0.00464800735351608	-0.00448154258036669	0	0	-0.0833968760395711	0	0.00638413527033166	3.83975941548501	76.0469123182218	13.1482016865079	0.462259734842848	0.395401799736361	0.177322203580759	0.275904123101896	0.33960749006254	0.0599992371267148	0.019422367362984	25.2703822748613	34.5819700008495	0	1	-0.00464800735351608	-0.00471188894578651	0	0	-0.0597254934964362	0
