FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	BestX_23	BestX_24	BestX_25	BestX_26	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22	StartX_23	StartX_24	StartX_25	StartX_26
5	finalLog_stopTrials_model478_startVal005_started2017-04-22-T182545	SAM_stopTrials_model478_startVal005_exit1_started2017-04-22-T182545	5	285.20438261609	03:46:05.42	1	32.958703270349	14.5002163944064	9.30656321581123	73.315409700989	15.5435451852966	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.138376027146047	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0581978314067782	81.7607751843102	10.0506515042037	0	1	-0.00148556028970182	-4.21704740729877e-05	0	0	-0.460467027799273	0	32.958703270349	14.5002163944064	13.1467783971392	73.315409700989	14.1914177877012	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.108681173687174	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0566587653504245	81.7607751843102	6.8817988266029	0	1	-0.00148556028970182	-0.000174740271815561	0	0	-0.43856540736482	0
2	finalLog_stopTrials_model478_startVal002_started2017-04-22-T181639	SAM_stopTrials_model478_startVal002_exit1_started2017-04-22-T181639	2	286.749727419729	03:07:44.86	1	32.958703270349	14.5002163944064	8.04432197916577	73.315409700989	11.9561392522923	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.101798452193956	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.00485193244723208	81.7607751843102	23.1851238749053	0	1	-0.00148556028970182	-8.60088801022969e-05	0	0	-0.322702409273493	0	32.958703270349	14.5002163944064	8.15105427306978	73.315409700989	11.6686884035784	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.0698120275680552	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.00323429081094074	81.7607751843102	22.724531513704	0	1	-0.00148556028970182	-0.000232337030500102	0	0	-0.326489129200406	0
3	finalLog_stopTrials_model478_startVal003_started2017-04-22-T182256	SAM_stopTrials_model478_startVal003_exit1_started2017-04-22-T182256	3	287.480889738903	04:31:41.50	1	32.958703270349	14.5002163944064	9.04369393929453	73.315409700989	15.7211053003667	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.142616960313585	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0507180917750574	81.7607751843102	11.4920645833584	0	1	-0.00148556028970182	-0.000422401046533865	0	0	-0.106695150522049	0	32.958703270349	14.5002163944064	12.5971943365122	73.315409700989	14.1102582279111	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.100368285312024	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0482933804267668	81.7607751843102	6.01742913792433	0	1	-0.00148556028970182	-0.000562510010916508	0	0	-0.0856116901776199	0
13	finalLog_stopTrials_model478_startVal013_started2017-04-22-T183345	SAM_stopTrials_model478_startVal013_exit1_started2017-04-22-T183345	13	287.791562005332	04:06:51.60	1	32.958703270349	14.5002163944064	3.03638350521518	73.315409700989	11.8050606411369	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.102956490832281	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.00534416933955404	81.7607751843102	2.69578882937114	0	1	-0.00148556028970182	-0.000531360839689552	0	0	-0.366839148645249	0	32.958703270349	14.5002163944064	5.25439254695857	73.315409700989	9.23995573080523	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.0981431499814415	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0029834458519711	81.7607751843102	1.59815701491675	0	1	-0.00148556028970182	-0.000585920328941631	0	0	-0.36064464071252	0
15	finalLog_stopTrials_model478_startVal015_started2017-04-22-T183442	SAM_stopTrials_model478_startVal015_exit1_started2017-04-22-T183442	15	288.628126041852	04:27:43.36	1	32.958703270349	14.5002163944064	12.3510044047939	73.315409700989	12.5513154606118	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.143996328212406	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0364292494166165	81.7607751843102	20.3325746352797	0	1	-0.00148556028970182	-0.00311795151220663	0	0	-0.229685020496907	0	32.958703270349	14.5002163944064	14.0514011390444	73.315409700989	16.5994666312215	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.126543704267675	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0339150635427124	81.7607751843102	21.2854615372702	0	1	-0.00148556028970182	-0.00378784607230115	0	0	-0.268818849881275	0
4	finalLog_stopTrials_model478_startVal004_started2017-04-22-T182638	SAM_stopTrials_model478_startVal004_exit1_started2017-04-22-T182638	4	289.20045834763	03:57:47.02	1	32.958703270349	14.5002163944064	8.43866754022012	73.315409700989	9.52712692684524	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.0974633696968347	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0594936502820581	81.7607751843102	21.1073534660232	0	1	-0.00148556028970182	-0.00361921009448228	0	0	-0.289183493392361	0	32.958703270349	14.5002163944064	8.85206533970086	73.315409700989	10.0727546167269	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.0657589680053993	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0593949590456085	81.7607751843102	16.831307938393	0	1	-0.00148556028970182	-0.00382516789633898	0	0	-0.292387770142868	0
1	finalLog_stopTrials_model478_startVal001_started2017-04-22-T181650	SAM_stopTrials_model478_startVal001_exit1_started2017-04-22-T181650	1	289.661899990039	03:14:05.45	1	32.958703270349	14.5002163944064	3.96852563256922	73.315409700989	12.0726032388878	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.1687224825011	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0512624775856953	81.7607751843102	17.9951230669741	0	1	-0.00148556028970182	-0.00430882345403139	0	0	-0.41508899001437	0	32.958703270349	14.5002163944064	1.95190252111133	73.315409700989	13.1367925081166	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.172373409708214	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0453581048198524	81.7607751843102	23.9081373161113	0	1	-0.00148556028970182	-0.00436328980957317	0	0	-0.371688906184949	0
8	finalLog_stopTrials_model478_startVal008_started2017-04-22-T183006	SAM_stopTrials_model478_startVal008_exit1_started2017-04-22-T183006	8	290.407040960418	02:30:52.08	1	32.958703270349	14.5002163944064	9.80767798988396	73.315409700989	10.9428047929477	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.120958679360048	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0261512533556023	81.7607751843102	23.3124037383054	0	1	-0.00148556028970182	-0.00300242138846119	0	0	-0.20889001788513	0	32.958703270349	14.5002163944064	9.68113578707837	73.315409700989	14.3542306573088	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.101698005273617	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0240623376580542	81.7607751843102	20.7300717765535	0	1	-0.00148556028970182	-0.00310538376745515	0	0	-0.233617700346259	0
11	finalLog_stopTrials_model478_startVal011_started2017-04-22-T183246	SAM_stopTrials_model478_startVal011_exit1_started2017-04-22-T183246	11	292.773809312396	04:50:01.38	1	32.958703270349	14.5002163944064	6.9597662505462	73.315409700989	13.8331060260836	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.17113727536761	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0100811623008143	81.7607751843102	3.62489646172337	0	1	-0.00148556028970182	-0.00521032068638526	0	0	-0.445563800769961	0	32.958703270349	14.5002163944064	1.36979474799331	73.315409700989	23.2831204182555	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.233462990119078	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.00855087105341601	81.7607751843102	0.815454138813574	0	1	-0.00148556028970182	-0.00509370276678693	0	0	-0.47743847264976	0
9	finalLog_stopTrials_model478_startVal009_started2017-04-22-T182941	SAM_stopTrials_model478_startVal009_exit1_started2017-04-22-T182941	9	293.960236791027	04:04:32.41	1	32.958703270349	14.5002163944064	10.1677029009766	73.315409700989	16.6065661030246	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.18398023532154	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0519655512275005	81.7607751843102	16.3857720343717	0	1	-0.00148556028970182	-0.00132709814219524	0	0	-0.343247339239257	0	32.958703270349	14.5002163944064	2.70041735341897	73.315409700989	21.5609223639037	0.311804143865479	0.26644950853657	0.228051207263961	0.227038192169671	0.193022524054003	0.185431852740515	0.0755576510423056	0.206854600718688	0.165318395640217	0.0523328648147215	0.0337216137230581	81.7607751843102	19.4148987568198	0	1	-0.00148556028970182	-0.00121093857535836	0	0	-0.211870985372026	0
