model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
2,go,22.4727000672962,22.8785834346206,48.0008930182731,0.13685709689717,,,,,,0.0611810989824246,,,,,,0.00533231341525338,42.6877752712277,0,1,-0.00119826881177871,0,0,-0.335845045176773
43,go,0.125794962299081,,54.3331885405835,0.177879168284394,0.154038962218068,0.124915776053563,,,,0.0335021462523031,0.116913146353855,0.13106224157306,,,,0.000653899613959789,38.4274169263917,0,1,-4.1648679154873e-05,0,0,-0.131401390605317
79,go,9.48515698844592,10.6948139775057,42.3813864523185,0.274735586050761,0.245356843673428,0.273609660574597,,,,0.122954533861185,0.152327441944841,0.175846774881843,,,,0.0416710971769951,37.3145624759775,0,1,-0.00318272958524072,0,0,-0.508142781270474
352,go,12.1460956403042,,56.9663463537116,0.171663042281405,0.159030345013229,0.152559460779556,0.136844069285305,0.136954337352681,0.117936606306224,0.0686080585553059,0.069100702295,0.065203883385513,0.0861870246149493,0.0849131042818663,0.103728725598435,0.018994933602182,52.7427438492898,0,1,-2.81654713675181e-07,0,0,-0.113713772828099
478,go,14.3556890571806,0.193800419140058,56.0583259158041,0.163567858507891,0.167899057783115,0.144559376460927,0.146722834524272,0.129804385918991,0.126494067379841,0.0634051830156816,0.061325382628939,0.0684060176379837,0.0806269957203908,0.0902879700554111,0.0975093141747783,0.0183632990546515,52.5412128625881,0,1,-1.74560863890668e-06,0,0,-0.101832166151583
