subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
1,2,go,14.4393367501468,2.46840253468481,54.3340402047232,0.137233078208921,,,,,,0.076868802617572,,,,,,0.0111788633415455,42.4003922685942,0,1,-0.000163027144600343,0,0,-0.0285758444300569
1,2,stop,10.2753958272226,,20.0259495732463,0.444349076646709,,,,,,NaN,,,,,,0.0133929982584194,21.9792528251661,0,1,-0.0025391427620357,0,-0.01878472934716,NaN
1,43,go,5.40735987072939,,48.1175576362317,0.157270748315374,0.137621551554409,0.118704831906641,,,,0.0488022931704275,0.0623529902488176,0.0834469837811489,,,,0.003155380257328,85.033517439611,0,1,-0.000501209236700066,0,0,-0.00210144495708109
1,43,stop,3.22767809190312,,9.15566539314596,0.202226383029714,,,,,,NaN,,,,,,0.00571065621202513,14.0229546994443,0,1,-0.000672727608913561,0,-0.020925228586273,NaN
1,79,go,15.559675536269,1.33088771315344,54.419037170526,0.16194081080619,0.143386624544791,0.12597377206982,,,,0.0520838500142054,0.0737913016854694,0.090298263326628,,,,8.37591568594033e-05,64.5683086481102,0,1,-5.25097582674584e-06,0,0,-0.109714156741207
1,79,stop,5.03912932412921,,17.4342634877601,0.376047793061023,,,,,,NaN,,,,,,0.0635463590246173,23.5586495359936,0,1,-0.000989594512714844,0,-0.541846951380434,NaN
1,352,go,13.184977645235,,58.6495161188432,0.185997250035029,0.173340115619236,0.169412934209143,0.150713597898529,0.152678779870508,0.132344499357009,0.0261377670319832,0.0814688879237061,0.0697891181863902,0.0947860267738999,0.0895502945014768,0.115786022570446,0.0282873141030946,75.8385160816858,0,1,-3.87922527580516e-05,0,0,-0.146319206309168
1,352,stop,3.18789613547846,,12.9419095984448,0.439542399896711,,,,,,NaN,,,,,,0.0572274691277851,48.1647731948021,0,1,-0.00554167681076046,0,-0.432585446752104,NaN
1,478,go,15.7867077416295,4.87647268301779,57.0965786821205,0.168142931287287,0.168047518593854,0.149136807412687,0.14704547645486,0.132735408095122,0.126393561465241,0.0661430241143008,0.0608513323318715,0.0686811069063522,0.077966831657117,0.0860523530859724,0.095439759454359,0.0193060325974008,59.792040469377,0,1,-7.8240034927686e-06,0,0,-0.0862195602649477
1,478,stop,9.88281715998832,,13.7163771346049,0.310389135140094,,,,,,NaN,,,,,,0.0418200965323301,44.3677000561899,0,1,-0.00119615463647357,0,-0.184131631303762,NaN
