FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15
1	finalLog_goTrials_model079_startVal001_started2017-04-20-T033837	SAM_goTrials_model079_startVal001_exit1_started2017-04-20-T033837	1	757.694965769464	00:30:52.51	1	3.03401096013085	60.1454227864005	96.3955764335293	0.260728258405557	0.225355495475631	0.118898645353383	0.173288087812297	0.0105711334677461	52.414791950832	0	1	-0.00121787183397529	0	0	-0.00228966769201633	12	38	95	0.25	0.23	0.17	0.17	0.01	64	0	1	-0.001	0	0	-0.01
11	finalLog_goTrials_model079_startVal011_started2017-04-20-T034438	SAM_goTrials_model079_startVal011_exit1_started2017-04-20-T034438	11	759.557849209925	00:31:17.17	1	0.0444510025941066	52.1817550950521	86.0518610199904	0.222482369919306	0.22484619811107	0.0703212245278089	0.182495202551995	0.0102806506095608	124.752905395474	0	1	-0.000127305431693968	0	0	-0.37259219246152	13.36657461484	42.1304826401701	48.6328067904163	0.246467159321098	0.29117704144668	0.0587371400613734	0.214589792137521	0.0148892912337426	116.632630891548	0	1	-0.00225774459518989	0	0	-0.505072251485058
19	finalLog_goTrials_model079_startVal019_started2017-04-20-T035038	SAM_goTrials_model079_startVal019_exit1_started2017-04-20-T035038	19	769.734381790625	00:36:23.22	1	1.32188469213966	42.226049624345	77.2309081191892	0.183764371280121	0.157536245146747	0.0444428652048736	0.108883381665942	0.0124590910543286	122.91921096937	0	1	-8.97261976765332e-06	0	0	-0.185085204526241	21.8890487193997	34.1852492789707	56.6429786583862	0.245831654480395	0.14198456448807	0.118787765105636	0.140488865316067	0.0163341016594317	65.7516711618606	0	1	-0.00072384373755265	0	0	-0.908354660654422
8	finalLog_goTrials_model079_startVal008_started2017-04-20-T034344	SAM_goTrials_model079_startVal008_exit1_started2017-04-20-T034344	8	772.556609109744	00:57:18.10	1	0.76441623756716	47.4076135772298	82.6003066045026	0.227436586901064	0.187852139764392	0.0927836909062699	0.143501217443606	0.00296025898085792	51.5357237616104	0	1	-0.00113228045824755	0	0	-0.0487391894236501	5.05098263348451	1.2654618263308	72.5872471208032	0.306240172346826	0.245799770114003	0.208054530744605	0.135764462180865	0.00913120767591056	54.4090596969815	0	1	-0.00255117989753579	0	0	-0.0817178673969235
12	finalLog_goTrials_model079_startVal012_started2017-04-20-T034550	SAM_goTrials_model079_startVal012_exit1_started2017-04-20-T034550	12	778.749581380875	00:29:37.05	1	11.6773890074988	63.8570557066906	119.005221720819	0.282407819358064	0.287446435679848	0.12684120686362	0.246261874836844	0.0148410405138477	2.53068193813123	0	1	-0.000148019237680957	0	0	-0.371662293307835	9.84530898833197	49.3800048637343	123.654305830337	0.284176959334971	0.316785227994179	0.138917122423807	0.217550081815747	0.0120780490305721	22.0772254721748	0	1	-0.000401990600108484	0	0	-0.260757655252667
4	finalLog_goTrials_model079_startVal004_started2017-04-20-T034143	SAM_goTrials_model079_startVal004_exit1_started2017-04-20-T034143	4	789.540723935845	00:57:48.81	1	8.73222451262265	50.4102231495674	101.158592645787	0.200096941991536	0.168732547205528	0.0686873930156922	0.118597512447599	0.0179360522780161	6.7235082521935	0	1	-7.45695407386969e-07	0	0	-0.0875036307232715	7.25098882428489	13.0347301791238	41.9585350635951	0.0896950816667821	0.0615544091246608	0.0018230794854853	0.0288973765127618	0.0161864526865798	7.39857064875795	0	1	-0.00126933817981801	0	0	-0.474054537905474
2	finalLog_goTrials_model079_startVal002_started2017-04-20-T033942	SAM_goTrials_model079_startVal002_exit1_started2017-04-20-T033942	2	811.857525563284	00:31:32.87	1	4.92428536143184	51.481373584543	83.0280858963671	0.33529116364752	0.313380784953806	0.216059798551885	0.271106019315979	0.0162151916971522	125.925089267692	0	1	-0.00104116566774355	0	0	-0.457131705749012	26.884299713799	20.1854563538824	62.9055837837195	0.333125911180511	0.274409932539554	0.223872747717902	0.23162079564283	0.0123830587686792	112.056787995925	0	1	-0.00219292514736115	0	0	-0.494711663924545
9	finalLog_goTrials_model079_startVal009_started2017-04-20-T034415	SAM_goTrials_model079_startVal009_exit1_started2017-04-20-T034415	9	824.689919501402	00:54:43.24	1	16.6114074433045	58.6128885451627	94.3843672417609	0.253308204896824	0.340756714754344	0.091326880159604	0.295728395734111	0.019039789531355	125.842014117652	0	1	-1.12525565954397e-05	0	0	-0.627974049603895	27.0977484498752	63.9113427884299	77.5320639363631	0.395769631425922	0.298678942750399	0.22352676897043	0.268999128515026	0.0170581749046274	96.9010583649101	0	1	-0.000441557057408677	0	0	-0.842829536362004
16	finalLog_goTrials_model079_startVal016_started2017-04-20-T034738	SAM_goTrials_model079_startVal016_exit1_started2017-04-20-T034738	16	847.901555416506	00:29:10.22	1	16.9284629373714	76.954680989956	104.794781964268	0.395917498417698	0.365637421268986	0.283635012379146	0.325608332112718	0.00694821029112213	113.719595575029	0	1	-0.00127787233941481	0	0	-0.359912625843685	28.3070912790798	73.541906324684	94.8218712977471	0.31441913298833	0.388678024383533	0.234376229586355	0.320138127961214	0.00522214059089724	117.764692003488	0	1	-0.00222097989015038	0	0	-0.310073293831468
18	finalLog_goTrials_model079_startVal018_started2017-04-20-T034946	SAM_goTrials_model079_startVal018_exit1_started2017-04-20-T034946	18	849.405619028224	00:36:41.91	1	7.45021366393349	43.3544178048288	82.923310314588	0.28849218920933	0.274259062825766	0.172980218618665	0.240147561561167	0.00124113832851883	43.3015199588811	0	1	-0.00126718002675074	0	0	-0.340341927919141	5.35917432386703	56.8634509423148	65.6233463948902	0.218343170718148	0.254318738015988	0.203559822895211	0.242968320685672	0.00231273045275709	49.4855162458705	0	1	-0.00197804728309932	0	0	-0.434457241004627
