FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	BestX_23	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22	StartX_23
1	finalLog_goTrials_model478_startVal001_started2016-11-19-T053805	SAM_goTrials_model478_startVal001_exit1_started2016-11-19-T053805	1	237.781258695183	00:51:18.77	1	22.312379861955	10.4275368536978	68.3529968044627	0.237959871331993	0.234579748212817	0.216491136154481	0.210978221974557	0.197396780804462	0.188368575624273	0.117012707822484	0.106869766068535	0.120954456307857	0.133749709161325	0.143391068654402	0.157074808639664	0.0322354584020006	28.8686349656487	0	1	-0.00120799089193837	-0.00012442547138225	0	0	21.4544246693379	10.4712908657441	68.448361160631	0.232413903149132	0.236047336841961	0.214450479934732	0.212652916416277	0.196085592409504	0.18797330624536	0.115037857949275	0.104629432659363	0.119198279450808	0.132906968025776	0.144458884727649	0.157541951990435	0.0318315035490143	28.8165132651505	0	1	-0.00122016967662107	-0.000185378312753559	0	0
9	finalLog_goTrials_model478_startVal009_started2016-11-19-T054203	SAM_goTrials_model478_startVal009_exit1_started2016-11-19-T054203	9	312.288655484663	01:41:26.85	1	16.6098544832921	4.37713427257338	57.7426145700123	0.178083437239131	0.175631154704059	0.156542452295153	0.153049440646676	0.139029198130325	0.136856251675476	0.0181583001353821	0.0174656025848913	0.0757085534945278	0.080804169644722	0.0941970142844384	0.100764058690838	0.0247501764040946	53.1633638383759	0	1	-2.32546184090977e-05	-0.000513795655452676	0	0	17.7391762934004	17.1513229105856	59.9697055665355	0.256383101705238	0.184392137663882	0.371572538226198	0.293767086020918	0.2380059386457	0.15340941815178	0.00918517570315717	0.111769423223337	0.0982849135881222	0.026672505705677	0.172054438621838	0.000137814383242552	0.0585585564625532	55.5455077643828	0	1	-0.000204078160907841	-0.0656908861919679	0	0
6	finalLog_goTrials_model478_startVal006_started2016-11-19-T053858	SAM_goTrials_model478_startVal006_exit1_started2016-11-19-T053858	6	697.397335657332	01:26:54.65	1	7.75803229810329	3.80732441807472	71.5540706284091	0.262402382217938	0.245077047572588	0.239853014894008	0.227405574908632	0.219082525749801	0.208830834323135	0.15053296518594	0.0676991058274534	0.10548737637683	0.130896269186832	0.147966734664221	0.166876375926674	0.0545587234431552	48.2812393220308	0	1	-5.45581306855567e-05	-0.0115898920641676	0	0	3.83575055681792	5.22324315805078	67.6286777819645	0.318628270804679	0.365480054994205	0.174885586615885	0.230514313148413	0.178286006017764	0.134681308352883	0.142293053130946	0.0941122700587096	0.176660165519854	0.0971533146430966	0.205038015379618	0.199750832983786	0.0561192136862877	43.1309756368018	0	1	-0.00019186432267014	-0.112884116541958	0	0
17	finalLog_goTrials_model478_startVal017_started2016-11-19-T054411	SAM_goTrials_model478_startVal017_exit1_started2016-11-19-T054411	17	766.016671436177	01:10:52.13	1	20.1884775367125	24.2504172973398	84.751779071652	0.370013888369793	0.306833696899604	0.328786753127886	0.290082371777417	0.317377956532786	0.278246745176448	0.203059532631053	0.191834040484206	0.127451985325893	0.214497486027067	0.205050441704968	0.279521659269292	0.0563040631495421	22.6964489196591	0	1	-0.00120019020819792	-0.010305801518277	0	0	28.0395045044757	23.3225080668808	78.3376733843773	0.349949258734359	0.298993357060448	0.350487748872405	0.137170758149911	0.352205896821986	0.351163615743512	0.220618096336959	0.19975351317272	0.0959835241732706	0.227594529801503	0.160151837430959	0.313850292001148	0.0547636070452451	11.3477385371415	0	1	-0.00125373945364513	-0.0286605195087183	0	0
5	finalLog_goTrials_model478_startVal005_started2016-11-19-T053902	SAM_goTrials_model478_startVal005_exit1_started2016-11-19-T053902	5	773.889535344416	01:39:27.65	1	24.0871397466906	10.5658084278767	69.3474940355316	0.212053347045471	0.243185022715654	0.201772931530332	0.23170196229007	0.18008525537422	0.207912769148075	0.0227130119010798	0.0516655663453386	0.111076693275884	0.0979892520901805	0.134568882132496	0.12754928792121	0.0381960545102122	34.3328210835367	0	1	-4.51371810267481e-05	-0.00892880483259778	0	0	26.0237413205912	10.5359543875339	63.0186872914204	0.246830395567083	0.205764255233101	0.268252293391104	0.377649987339279	0.223024403412979	0.368583763967588	0.0254221476186739	0.168598808326802	0.0837833658324503	0.0672347858558159	0.130630545352795	0.128410900723998	0.0353085164891674	11.909892467194	0	1	-0.00117311625734058	-0.0703701078180958	0	0
14	finalLog_goTrials_model478_startVal014_started2016-11-19-T054153	SAM_goTrials_model478_startVal014_exit1_started2016-11-19-T054153	14	796.40087074065	00:46:08.44	1	7.09995902447853	1.29364930781337	79.0023302742899	0.298866277346658	0.285563260611194	0.274229231710194	0.317239886524224	0.283106342801827	0.271058583644184	0.128137890882322	0.123170912581301	0.135396861892486	0.245703899952469	0.223407946565	0.238593266156835	0.0528823533248197	18.9662444234045	0	1	-0.000492519274259675	-0.00648551375566586	0	0	10.592188147302	2.77510048876992	75.8949129303813	0.190558038090692	0.284779321144041	0.367451200482412	0.363145836900428	0.25335847042823	0.235365907070567	0.117532467860313	0.11130018574786	0.0898122879795047	0.247375062012322	0.282315336643496	0.281311276593955	0.0458336208749157	12.8068573285629	0	1	-0.000454853014143153	-0.0141781687489007	0	0
12	finalLog_goTrials_model478_startVal012_started2016-11-19-T054153	SAM_goTrials_model478_startVal012_exit1_started2016-11-19-T054153	12	839.827864516449	01:04:02.18	1	5.51263423625781	0.527276353536809	50.9936279608674	0.176406307352852	0.180006205974888	0.16539772450185	0.164488804407798	0.152739290989251	0.14915166369912	0.0708805260368788	0.00288797259936203	0.0598851868567496	0.0809726513837463	0.0969838503504169	0.102899828419333	0.00108331178910253	54.7409219247322	0	1	-6.63596751064007e-05	-0.032920546101548	0	0	16.1322710700221	4.19706955790228	39.2047732021454	0.012307281824232	0.0688477222362548	0.0881668913338977	0.300230175705315	0.0957672682095754	0.143809988470077	0.202339306529308	0.05534846749961	0.223503964485138	0.0433148793097568	0.0892434854812836	0.0161119306734897	0.0569857092126282	43.5744551420633	0	1	-0.000209971063799136	-0.413245349252084	0	0
3	finalLog_goTrials_model478_startVal003_started2016-11-19-T053856	SAM_goTrials_model478_startVal003_exit1_started2016-11-19-T053856	3	854.657318418055	01:07:57.02	1	0.0157721987955786	5.88133991019826	57.630974135187	0.258289533861041	0.223319726048529	0.247140785850903	0.206632361178353	0.23548717632553	0.17242612645287	0.0101566156358653	0.15593597483293	0.080062006556352	0.159575391227027	0.100737616926823	0.209191787047841	0.0336227441385978	41.2658206259992	0	1	-0.00161582004356706	-0.0545122485871639	0	0	17.1251495284679	24.4668497625652	44.9717375229346	0.29867337411006	0.141971660916873	0.251541497626586	0.15920972110497	0.374382507962037	0.117379003887528	0.00951950343519261	0.175801891685916	0.00440079999024789	0.244198581029138	0.0667046196045377	0.307747430221293	0.0145208242613135	19.0753296914265	0	1	-0.00216433191337323	-0.192785608495875	0	0
7	finalLog_goTrials_model478_startVal007_started2016-11-19-T053901	SAM_goTrials_model478_startVal007_exit1_started2016-11-19-T053901	7	1318.41682573025	00:51:21.18	1	2.23916495074581	5.57417785629993	65.0738990702281	0.28605729831133	0.223687695437992	0.258580155595364	0.22113602434575	0.231582528139975	0.196987000811799	0.0458053237201295	0.207965260243064	0.0828227128803133	0.152815309800496	0.1091596088771	0.219822181565011	0.0420981515467472	42.6911090289669	0	1	-0.000958726873772396	-0.319140060575419	0	0	2.19130390598371	9.07322723828	52.0751542613623	0.213888962838288	0.248104391230496	0.221604589550473	0.311527739366816	0.336476235745727	0.162733433541982	0.0882279877952266	0.208905056250173	0.104079747546912	0.0557325167218043	0.0916656384298439	0.208282778433856	0.0486979115666017	43.9947012819714	0	1	-0.00271917377767446	-0.352510122250454	0	0
19	finalLog_goTrials_model478_startVal019_started2016-11-19-T054550	SAM_goTrials_model478_startVal019_exit1_started2016-11-19-T054550	19	1487.82404349108	01:09:54.51	1	26.4733686333185	25.300222853636	72.6321798927976	0.250462622206815	0.218763829589143	0.211754194576664	0.194807474695773	0.206381616256832	0.177307972201115	0.000233322760151008	0.0366137932063855	0.0883727677876159	0.0988315985345288	0.10215433697525	0.192395412661745	0.0441674894141991	22.9151936698186	0	1	-2.9964094242046e-05	-0.323110801843853	0	0	24.2148649614098	25.3079656188669	47.5907535682438	0.272057079713104	0.315641087101773	0.176868593501361	0.105211978430869	0.260761462366375	0.0969775978659993	0.0022148755297331	0.0529882758221179	0.19753988239443	0.16191013043834	0.0503601585863286	0.0896432606191242	0.0303628803535653	22.4958993254017	0	1	-2.69043776727632e-05	-0.314010797901913	0	0
