FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22
1	finalLog_goTrials_model352_startVal001_started2016-11-19-T050812	SAM_goTrials_model352_startVal001_exit1_started2016-11-19-T050812	1	334.538257922185	00:50:43.61	1	23.1615713328587	68.9963966679669	0.245567729100223	0.226154983546674	0.224374691620895	0.204666386222692	0.205174544417698	0.182423777413097	0.112439409587093	0.12018580821224	0.119140276822129	0.140570174645952	0.13825281669666	0.161819993207042	0.0302945592831192	37.5619733327127	0	1	-0.00136904539162017	-4.36938958292554e-06	0	0	22.5914603460542	69.2952729284205	0.242003889841538	0.228974123734318	0.221313050613224	0.205154034787609	0.203615051664791	0.183683206738118	0.110726324427861	0.11949817142175	0.118473850661835	0.135882662630314	0.138710907335386	0.16197796641266	0.0302291369238659	37.1493478426005	0	1	-0.00140450342867985	-3.05262968769426e-06	0	0
2	finalLog_goTrials_model352_startVal002_started2016-11-19-T050916	SAM_goTrials_model352_startVal002_exit1_started2016-11-19-T050916	2	602.521062963321	01:13:34.98	1	23.1315282127718	68.7975234818715	0.262498587354947	0.257248318052178	0.251139593408745	0.231572410078754	0.23399788706596	0.214369337399955	0.00762254363648896	0.12545935604057	0.104626954730542	0.160016021998093	0.157046425502633	0.197986916482269	0.0168786445640584	61.3204725139151	0	1	-0.000697039119329465	-0.0102284094670339	0	0	34.9585754500716	63.7134734157481	0.294421153391636	0.296350489048266	0.208271959535749	0.162004659783676	0.276267538478394	0.257240132901211	0.0108622192905784	0.0734913339173849	0.128054838860797	0.229325622414997	0.108289709193227	0.126972406575047	0.0180886911358531	49.7891522614631	0	1	-0.00120185747732147	-0.00812951962033598	0	0
18	finalLog_goTrials_model352_startVal018_started2016-11-19-T052305	SAM_goTrials_model352_startVal018_exit1_started2016-11-19-T052305	18	636.957231209416	01:14:09.91	1	1.11474043878823	59.6763677435188	0.278452613198003	0.277720868740052	0.263779691352284	0.249818175615722	0.259528674645459	0.250813091148227	0.048296676649161	0.162022912532813	0.126598361074645	0.185992596396526	0.185424385563221	0.231360832705926	0.0333532911630766	59.6508535123176	0	1	-0.00178467450311806	-0.0113237850822536	0	0	15.9341102297439	44.9247082135472	0.250493942052561	0.205102531850949	0.10605662233453	0.330190911269383	0.141458627063887	0.216122334916283	0.0476876813685546	0.209637531799761	0.216125612917862	0.0950088328486853	0.0791300078049443	0.0961372574603515	0.0313078851213543	71.2445589288024	0	1	-0.00219373111360354	-0.039719814686518	0	0
17	finalLog_goTrials_model352_startVal017_started2016-11-19-T052325	SAM_goTrials_model352_startVal017_exit1_started2016-11-19-T052325	17	687.247213017469	00:50:12.62	1	19.480891384139	76.7516839838293	0.287297320458701	0.264923130189888	0.258216894296214	0.23713776172786	0.24361225675358	0.211459072029785	0.0709699486601561	0.0798416162212886	0.0689153184256268	0.164740882295637	0.124009171002847	0.202268847509467	0.0552298305677654	73.7296521207721	0	1	-0.000136742864585005	-0.012736774128483	0	0	30.715933135291	78.1443190034224	0.30144148739229	0.285539763425926	0.242587188026443	0.240962795611959	0.399225665851135	0.322598228801111	0.111942612362559	0.108603987469235	0.119000583913397	0.153082754132576	0.119808369208835	0.154841827967827	0.0220125812412953	73.456350398795	0	1	-0.000858750064010151	-0.144385728747037	0	0
20	finalLog_goTrials_model352_startVal020_started2016-11-19-T053018	SAM_goTrials_model352_startVal020_exit1_started2016-11-19-T053018	20	702.191327845404	01:05:24.90	1	18.5646148619844	61.2570721489416	0.222281740820615	0.207680354179053	0.207926854647843	0.18604383917112	0.185605178137083	0.17017171565107	0.0537346379868034	0.0656727410416169	0.0538406907375545	0.111563073419817	0.10833008508579	0.134348066151045	0.0173939035857687	69.289646648235	0	1	-8.22975677469634e-05	-0.0136863607283182	0	0	25.464976045872	55.1223522086901	0.260711503050728	0.242976439938841	0.29814101859859	0.274303169472889	0.261049699435072	0.191389229011917	0.0609811421174703	0.22296581489553	0.015605263178052	0.147184073840418	0.0675597718738834	0.0854761969744402	0.00945385898538709	55.5467265580667	0	1	-0.00126927560813121	-0.114009235624354	0	0
15	finalLog_goTrials_model352_startVal015_started2016-11-19-T052121	SAM_goTrials_model352_startVal015_exit1_started2016-11-19-T052121	15	911.622393989809	01:17:20.52	1	0.111496797882957	48.5345613808104	0.27909239573973	0.279187740134084	0.270823435868128	0.25771948538625	0.262410641401205	0.248524525828494	0.0467656107638168	0.147717821944768	0.149234194388868	0.190560239307178	0.184581372097578	0.229747952718907	0.00500521202805176	69.6681395637567	0	1	-0.00374672206712398	-0.0226988345718773	0	0	0.652306533179954	40.1761771566609	0.223728047660088	0.312753698626114	0.235831784501209	0.32061778290672	0.179381310660476	0.204898863506011	0.0291139025372541	0.207344046241586	0.200637231994039	0.146998230220855	0.0897185534256353	0.277950540420711	0.0260430709511469	28.4625007993348	0	1	-0.00415468575129506	-0.0477422394114178	0	0
3	finalLog_goTrials_model352_startVal003_started2016-11-19-T050914	SAM_goTrials_model352_startVal003_exit1_started2016-11-19-T050914	3	1024.12697207339	01:18:29.12	1	4.29374453254661	52.1824686852386	0.203220385968454	0.1875898914809	0.183666448629913	0.150788918142569	0.162321355779147	0.134329423467991	0.0125337889265229	0.0210527440206941	0.0289522379049315	0.103233228033091	0.077561453188684	0.133414810144347	0.00621083245717139	65.7642198497705	0	1	-2.95456873726204e-05	-0.451328997783838	0	0	9.83523734394358	53.3314796954291	0.2688731567319	0.170418620736494	0.164077888788457	0.146733328248828	0.103554268342105	0.0859288339966991	0.0637630237811809	0.0189145836786502	0.0452047426179738	0.022359697297142	0.167789235093967	0.0992713921034704	0.0493248848960834	71.4988772517326	0	1	-0.00052724793521819	-0.491393008662662	0	0
9	finalLog_goTrials_model352_startVal009_started2016-11-19-T051634	SAM_goTrials_model352_startVal009_exit1_started2016-11-19-T051634	9	1123.08604219751	00:58:42.59	1	2.78414788180859	52.1324487540432	0.214998036682752	0.183518810142262	0.192632507437179	0.165438097425805	0.17377926730641	0.14615016053172	0.0497542620246985	0.0818327724424461	0.0543363779287126	0.104335947717568	0.0909740398128902	0.161055115564498	0.00222316057080175	72.3319878612012	0	1	-0.000554960905562141	-0.358012803953694	0	0	7.844966666549	39.4235200212135	0.18597671047328	0.237999669043178	0.136151663385711	0.129310280812223	0.288445722188781	0.251881100090137	0.00633880058195067	0.129068823490775	0.0156830491855309	0.138834900400769	0.0145084937974	0.160020876999578	0.0212008280606053	66.205758512694	0	1	-0.00287060446319662	-0.287333296503165	0	0
4	finalLog_goTrials_model352_startVal004_started2016-11-19-T051011	SAM_goTrials_model352_startVal004_exit1_started2016-11-19-T051011	4	1171.28697267547	01:35:57.67	1	3.16475656307425	56.5696073785471	0.231849194711328	0.208019326020791	0.21000166142099	0.183286649716817	0.187898872111514	0.156666324052184	0.0311150636689948	0.0874571017351012	0.0621088636558262	0.120892690936836	0.0913591356425892	0.174482759188408	0.0261944720405531	71.4577592154364	0	1	-0.00060985150758515	-0.334198686479048	0	0	5.65037140362437	50.3190030506976	0.281962149244999	0.204935835790367	0.160722809494243	0.139877030312212	0.172741811256745	0.223219010897497	0.131137758905883	0.045082638088351	0.157988027685168	0.16997735572353	0.129993534767828	0.07926994896388	0.0310256182541653	73.6477683239543	0	1	-0.00204683498817074	-0.489262718289556	0	0
8	finalLog_goTrials_model352_startVal008_started2016-11-19-T051638	SAM_goTrials_model352_startVal008_exit1_started2016-11-19-T051638	8	1326.51469682349	01:14:43.65	1	4.85733826224717	53.9884312486296	0.249434783980369	0.228075344388079	0.231687063663673	0.207163701334702	0.212712668313293	0.193221650417004	0.0772759776380168	0.0881554239900564	0.0746950603203893	0.138282170394091	0.125388869220582	0.198632625836292	0.0128209516032947	54.2510172940822	0	1	-0.00186914904570393	-0.475777595402378	0	0	21.2623246885118	49.1909398091403	0.2305194694179	0.184292347144249	0.145280569797293	0.100249173527507	0.243520114299682	0.113786077202209	0.134266508462697	0.211135913869452	0.06135178535429	0.143786339405786	0.227152443599619	0.0315762661722858	0.0461321224208555	36.4943575262558	0	1	-0.00178053503848224	-0.481221233291939	0	0
