FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17
19	finalLog_goTrials_model079_startVal019_started2016-08-23-T123517	SAM_goTrials_model079_startVal019_exit1_started2016-08-23-T123517	19	871.597805238206	00:50:05.30	1	3.47704862534525	8.53989395646061	143.027651936511	0.972026450419654	0.940047977300268	0.898638671502096	0.750130713924068	0.827403774378773	0.869634682354991	0.0847471562301614	0.706376356592355	0	1	-0.00529597077353415	0	0	0	3.92741006794536	9.80643859954023	132.374064935557	1.02719827532824	1.10320707892239	0.768851501643783	0.607856296592897	0.701067922242068	0.780161704649779	0.109391653076542	0.598003527485088	0	1	-0.00520755537664523	0	0	0
10	finalLog_goTrials_model079_startVal010_started2016-08-23-T123429	SAM_goTrials_model079_startVal010_exit1_started2016-08-23-T123429	10	878.717592475689	00:34:47.33	1	21.6693605743339	20.8275290104417	200.700974358671	0.695498576723583	0.649871186215506	0.582827706214423	0.342920864412869	0.452617883056731	0.531308187559674	0.16070085719264	0.549794276849542	0	1	-8.93905809196049e-05	0	0	0	19.8658074327422	17.4443340620903	185.573270747805	0.463094686273137	0.826354824810685	0.473025481784064	0.712110496756795	0.537050365623838	0.491712158629854	0.17425655650308	0.441720632528824	0	1	-0.000186583296863959	0	0	0
20	finalLog_goTrials_model079_startVal020_started2016-08-23-T123514	SAM_goTrials_model079_startVal020_exit1_started2016-08-23-T123514	20	889.748301567611	00:46:06.88	1	4.61815001005195	9.72681167303089	104.732478238122	0.826657185909735	0.80472818789959	0.773304037687628	0.682023638486501	0.723561050502063	0.75489758836988	0.0312084422042107	0.86665632286701	0	1	-0.00692518186487371	0	0	0	4.34404942424973	6.91888462470872	92.0908405175912	0.709730622838722	0.719654978279103	0.94727002513415	0.666065740078633	0.88622903055373	0.858221737562805	0.161381527838233	0.213004101072774	0	1	-0.0074530035090575	0	0	0
4	finalLog_goTrials_model079_startVal004_started2016-08-23-T123457	SAM_goTrials_model079_startVal004_exit1_started2016-08-23-T123457	4	902.560994728753	00:31:48.68	1	12.901390541899	6.70648729099445	209.260414860141	0.7611011338727	0.722448051719765	0.649743720703884	0.400853932237829	0.498598271805649	0.592493510896613	0.183127655246204	0.497706720733686	0	1	-0.000279927771781417	0	0	0	12.9097421096435	6.04035555631357	200.759040451876	0.821944420522357	0.545651984084834	0.519942424465102	0.790023868773866	0.475430519316285	0.48942599936273	0.179134446456529	0.506424337723968	0	1	-0.000664241677719878	0	0	0
9	finalLog_goTrials_model079_startVal009_started2016-08-23-T123504	SAM_goTrials_model079_startVal009_exit1_started2016-08-23-T123504	9	908.466550654959	00:37:18.16	1	18.9695585736767	10.1091828109984	179.133900354632	0.624074126832855	0.589336039340393	0.52800463481992	0.328847933024217	0.398351344633163	0.47923028050976	0.143148466386068	0.748047025184812	0	1	-6.73543908064622e-05	0	0	0	24.1471680040909	7.35651093110058	163.794477729209	0.657657260884851	0.300142211513135	0.715626047746155	0.613347201442725	0.208752159068354	0.60184722190154	0.178460793527051	0.718576151126466	0	1	-0.000639658211223428	0	0	0
13	finalLog_goTrials_model079_startVal013_started2016-08-23-T123503	SAM_goTrials_model079_startVal013_exit1_started2016-08-23-T123503	13	910.53569215044	00:40:51.45	1	28.6893533476802	15.6860330773761	150.311560757533	0.9083198471596	0.88084229998914	0.83474852807265	0.693875993902322	0.749124483538653	0.804303178243582	0.0958426118284753	0.937012672305655	0	1	-0.00440261969604055	0	0	0	30.2137891665041	10.8028277229946	137.946164148798	1.14432891665247	1.15356432259068	0.927343264028157	0.305321933813279	0.570407222010593	0.628705862004142	0.148946778832706	1.05004888120827	0	1	-0.00625605240194512	0	0	0
6	finalLog_goTrials_model079_startVal006_started2016-08-23-T123505	SAM_goTrials_model079_startVal006_exit1_started2016-08-23-T123505	6	917.437727854594	00:43:07.10	1	7.07506497119481	3.49263971965788	126.694011727691	0.781469855832305	0.756183650107763	0.713532718829787	0.590316588246288	0.646048366653228	0.686127073103925	0.0766743480788378	0.229133811181957	0	1	-0.00445266074042709	0	0	0	14.40615987153	4.41326878467177	107.235999634285	0.760401562043107	0.703738302040793	0.717710703900047	0.34593748918862	0.80467596406222	0.551647025229543	0.144773191676662	0.178610925733599	0	1	-0.00526458734934593	0	0	0
14	finalLog_goTrials_model079_startVal014_started2016-08-23-T123542	SAM_goTrials_model079_startVal014_exit1_started2016-08-23-T123542	14	920.276889516273	01:02:43.80	1	0.876297802580395	4.65353349283046	158.371224762518	0.602012286975911	0.563453718426914	0.499566941212701	0.297690894725945	0.39364872354009	0.45810873489873	0.131787485548963	0.526682057588103	0	1	-0.000355557336667658	0	0	0	16.4108366923948	14.0686972969719	95.1150175404045	0.529719626967422	0.832314539269555	0.69838547732769	0.268824300671024	0.208542364583258	0.60125091162756	0.194788289077507	0.468841429957191	0	1	-0.00385986253685308	0	0	0
16	finalLog_goTrials_model079_startVal016_started2016-08-23-T123507	SAM_goTrials_model079_startVal016_exit1_started2016-08-23-T123507	16	924.771592419954	00:52:38.11	1	20.7687490895064	14.3011149799399	225.246002389002	1.13955318238953	1.08756898411189	1.01756272258789	0.627317024174442	0.869809157375079	0.962165784778684	0.179173555545556	1.04008329757517	0	1	-0.00272129649866083	0	0	0	6.65391447920892	21.6825051858809	156.462531934448	1.25204677369891	0.883612992297174	1.0165002958067	0.781386756255887	0.980312809714196	1.09480351220329	0.19299493794581	0.671379943675229	0	1	-0.00426777794905216	0	0	0
15	finalLog_goTrials_model079_startVal015_started2016-08-23-T123505	SAM_goTrials_model079_startVal015_exit1_started2016-08-23-T123505	15	927.480402873908	00:46:21.91	1	17.3662364864668	11.4525487078169	173.168695087916	0.779797932502045	0.741193178553591	0.681534897080155	0.437569783900054	0.574950719645371	0.639444036530442	0.134858440397685	0.251023310287077	0	1	-0.00186010191661765	0	0	0	17.7102529565063	12.1679066608994	158.930068160587	0.507685669562754	0.798430959338234	0.833210730000991	0.461063947968733	0.467009371691845	0.612674088933709	0.169006434851417	0.311926507265121	0	1	-0.00307911943341214	0	0	0
