subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,ve_1,ve_2,ve_3,eta,t0,se,si,k,wliw,wlib,wffiw
1,2,go,27.6519942451388,15.6618256768329,73.6625011554104,0.169370057465124,,,0.0837786739560127,,,0.0329973135681363,24.6502533082314,0,1,-0.000110757367751397,0,0,0
1,43,go,0.12624470267256,,56.8228333810241,0.181898497208686,0.158234416900651,0.12762253730167,0.0357000884070653,0.11268414820275,0.130232730414652,0.000889848432106585,37.9564493342655,0,1,-4.12872520787521e-05,0,0,0
2,2,go,2.86727744554673,14.8111794413697,144.262112895672,0.964084240083483,,,0.765437606367478,,,0.139325700208753,0.772488930630426,0,1,-0.00560958692387676,0,0,0
2,43,go,24.1671398607458,,186.207820143774,0.77324673775298,0.553638741329335,1.07655898271023,0.321534775202951,0.487213648405291,0.828391466286473,0.17584563865647,0.993777725681837,0,1,-0.00249879989293573,0,0,0
