FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18
9	finalLog_goTrials_model245_startVal009_started2016-04-05-T230402	SAM_goTrials_model245_startVal009_exit1_started2016-04-05-T230402	9	802.738043524088	04:35:49.23	1	14.0547368623097	2.54950182156905	106.865904776376	0.443122009555384	0.441470986846333	0.420872052906327	0.276727230742143	0.324543197797652	0.37986870288562	0.0499426558291467	49.7608017978273	1.07992698740086	0	1	-5.06636162767807e-06	-0.0139021157414224	0	0	51.9275568707273	34.4265127956999	88.1736333835768	0.484977165803158	0.455505268343488	0.33403504372239	0.0663469653784095	0.391431904495283	0.289123890031641	0.0419186198561385	65.8015884313003	1.05198549440268	0	1	-0.00208101814921477	-0.032360607639258	0	0
1	finalLog_goTrials_model245_startVal001_started2016-04-05-T223559	SAM_goTrials_model245_startVal001_exit1_started2016-04-05-T223559	1	915.988166828428	02:07:58.76	1	12.9754527028657	18.6855774798253	83.2746663816789	0.312248866922969	0.290600372438927	0.263763375798372	0.140769895177459	0.210802864649672	0.239474644859809	0.0418914590769961	36.9162023730002	31.3171664798375	0	1	-0.000574357146249679	-2.48700784686307e-05	0	0	24	29	70	0.29	0.28	0.26	0.2	0.2	0.2	0.03	35	45	0	1	-0.001	-0.0008	0	0
4	finalLog_goTrials_model245_startVal004_started2016-04-05-T225204	SAM_goTrials_model245_startVal004_exit1_started2016-04-05-T225204	4	991.704438152353	03:34:12.10	1	1.99252234006675	19.5169297763918	90.619741272008	0.435644284251384	0.435216690766351	0.419256265217397	0.218100208443071	0.322087512761457	0.39997636795676	0.0310534200143835	20.7521042893059	67.9309739319082	0	1	-0.00115205830974498	-0.0155573817640883	0	0	2.82519740863754	28.6755412771072	83.5919572119152	0.426817982601248	0.368268055603797	0.514742127412834	0.31872798484602	0.2289098545274	0.377274490286244	0.0267742175992785	16.5404692265896	64.6525779604448	0	1	-0.00125021869083753	-0.0213565524603625	0	0
11	finalLog_goTrials_model245_startVal011_started2016-04-05-T230759	SAM_goTrials_model245_startVal011_exit1_started2016-04-05-T230759	11	996.404183405267	03:14:36.17	1	0.05812203858181	8.98878470050064	74.4174725622457	0.325446834327013	0.3318114516848	0.333999252574739	0.135808125876075	0.226420874173229	0.31069819903087	0.0209598808756267	57.3497074690143	67.0144212192949	0	1	-6.30022626241398e-05	-0.0124276065102008	0	0	12.1282042908733	39.190536271967	66.9760900248072	0.351832707466186	0.376877793710113	0.251928932222137	0.151390306214294	0.141789125646745	0.204887869253331	0.0439478097293842	29.5697662823581	86.7570313430454	0	1	-0.00237268128622943	-0.0854247953900794	0	0
17	finalLog_goTrials_model245_startVal017_started2016-04-05-T233558	SAM_goTrials_model245_startVal017_exit1_started2016-04-05-T233558	17	998.153604194805	02:01:28.25	1	9.96839884707633	19.3330847811491	94.4358745555983	0.36919247266272	0.360145035860435	0.348297971709978	0.137607843200464	0.248992177241107	0.31605715345041	0.048682967262979	11.732042369688	38.2824099023814	0	1	-5.14623855821326e-05	-0.0169854694772742	0	0	14.4864558596629	13.8063494024917	100.81579791471	0.440061831333866	0.350292099494244	0.412748170301878	0.164647102752962	0.283653915359311	0.219792689594824	0.0414638819043998	17.7615638531906	34.7167539800301	0	1	-0.000353407093822679	-0.043855693836073	0	0
19	finalLog_goTrials_model245_startVal019_started2016-04-05-T234403	SAM_goTrials_model245_startVal019_exit1_started2016-04-05-T234403	19	1085.95791021435	03:09:17.28	1	14.783007289419	29.0945480386975	107.934992398625	0.460432758354131	0.458704685536001	0.450223661061972	0.178264457137439	0.320378255681573	0.395519037054956	0.0166961801433734	48.3237751388237	88.8653574850057	0	1	-2.66618732659282e-05	-0.0126844130744931	0	0	48.0564141132372	53.530428757086	80.3150404137057	0.408553646638201	0.339282515842858	0.387964887073629	0.312853454768618	0.162899501795387	0.295705872281439	0.0257862066807569	58.3613231953445	89.9836656029613	0	1	-0.000899803439700379	-0.0208531217174113	0	0
15	finalLog_goTrials_model245_startVal015_started2016-04-05-T233205	SAM_goTrials_model245_startVal015_exit1_started2016-04-05-T233205	15	1094.68956937922	04:15:40.67	1	2.2873218237718	8.94604621636713	70.7669392535918	0.295386898736824	0.296211668647097	0.292553674377255	0.0813867287350035	0.203373798728119	0.264274636335937	0.00916763692292281	42.8828596717062	60.344312935794	0	1	-3.46676127438985e-05	-0.0151902826420804	0	0	22.4904991102149	30.8062135949076	61.9888042371093	0.205987333632313	0.295114419965838	0.38165478940789	0.053910798102187	0.101953235588847	0.152234086111444	0.0475541151388506	49.1469242208065	42.4903094704748	0	1	-0.00166338108265313	-0.129813076413399	0	0
13	finalLog_goTrials_model245_startVal013_started2016-04-05-T232002	SAM_goTrials_model245_startVal013_exit1_started2016-04-05-T232002	13	1156.62222216805	05:20:11.74	1	0.87283179084072	26.4690225456818	89.8514129945259	0.409714950224729	0.407600832542004	0.389724554719662	0.200037041798705	0.294849638155255	0.359594381645883	0.0119874175877859	1.0284456099135	82.3082668987561	0	1	-0.000740915773612448	-0.0138506245076183	0	0	43.3648140621066	55.121391457168	89.7283849195635	0.401140793196673	0.396888318160119	0.250829504269196	0.340129545087303	0.202230280828532	0.396458389566452	0.0002712561055133	23.6380683145317	65.8280319948183	0	1	-0.00143279249064494	-0.0396216633237336	0	0
20	finalLog_goTrials_model245_startVal020_started2016-04-05-T234803	SAM_goTrials_model245_startVal020_exit1_started2016-04-05-T234803	20	1200.55547787051	02:58:19.11	1	11.2110364628775	4.03198939401018	82.1028273416509	0.366908819633111	0.353780965712333	0.338914004759872	0.10005291624193	0.232772790957882	0.295637474915557	0.0478480340135841	65.5049958999223	17.5947033362835	0	1	-0.000754684225596542	-0.0238982151941445	0	0	20.4681303437284	10.9694260287129	79.4290698017722	0.263667901328383	0.224369990857698	0.199886862200635	0.349680270266975	0.171786173744878	0.172327319984422	0.057817783607624	56.433045465584	20.8405851793567	0	1	-0.000342961885273201	-0.13552203576383	0	0
14	finalLog_goTrials_model245_startVal014_started2016-04-05-T232759	SAM_goTrials_model245_startVal014_exit1_started2016-04-05-T232759	14	1677.70721258016	02:41:09.22	1	0.191989088131098	2.46419690222586	73.9409218708474	0.330120214393107	0.308267979021264	0.287795511730348	0.0659441403414071	0.16235707476521	0.261326498887897	0.0599967462818456	68.1585466072968	87.9513905353739	0	1	-2.58631155799372e-05	-0.413191101424896	0	0	22.665326886197	23.4262873020633	44.0978580480467	0.181839324636542	0.261447535350305	0.254858809331938	0.151578244873737	0.117623320066108	0.272977210195056	0.0576449301353743	49.659324656031	49.917751714446	0	1	-0.00121079987825149	-0.422862213983432	0	0
