FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18
18	finalLog_goTrials_model191_startVal018_started2016-04-15-T053518	SAM_goTrials_model191_startVal018_exit1_started2016-04-15-T053518	18	114.394039088231	01:38:45.83	1	7.97238682247317	5.03328851752657	53.2885414165176	56.1749931298415	0.164910129043375	0.148927040979872	0.136931605365161	0.0120228364868134	0.00225186223534352	0.0102734095493165	0.0114554428993886	59.534365412211	0	1	-8.21487247287351e-05	0	0	0	28.9840434862932	13.1080044399034	44.0677378273958	51.5182316267277	0.117638071633133	0.0778986858983076	0.0654958667940154	0.0135202017659468	0.00126466887224476	0.0119942531181961	0.034582165682528	25.005259911613	0	1	-0.000505670414963266	0	0	0
1	finalLog_goTrials_model191_startVal001_started2016-04-15-T043522	SAM_goTrials_model191_startVal001_exit1_started2016-04-15-T043522	1	128.445629620362	01:25:56.21	1	20.3028297296961	4.87446607155195	65.8272289351699	64.4163308469183	0.209660021579973	0.1912496751882	0.180445821260932	0.0108519768518518	0.011234280029222	0.0115644850981454	0.021350620697053	31.7308378488405	0	1	-0.000799378576656838	0	0	0	18	5	68	60	0.22	0.2	0.18	0.01	0.01	0.01	0.03	30	0	1	-0.001	0	0	0
19	finalLog_goTrials_model191_startVal019_started2016-04-15-T053513	SAM_goTrials_model191_startVal019_exit1_started2016-04-15-T053513	19	129.931732179718	01:13:22.68	1	17.2335407843615	0.464101737630255	59.2628305120785	58.8950835502483	0.271686511579019	0.254153665111722	0.242136187718151	0.0050156202546507	0.0063967414870367	0.00751841733438462	0.0119423336004464	59.5950257623689	0	1	-0.00288944998869217	0	0	0	24.5046839309274	1.28407794468515	58.7798381882083	47.7112162519616	0.299831260110213	0.213370870822277	0.228415923405662	0.00670545429786662	0.00494338042683725	0.00646458098242279	0.0108198598854256	40.6674511737793	0	1	-0.00349698054780488	0	0	0
2	finalLog_goTrials_model191_startVal002_started2016-04-15-T043916	SAM_goTrials_model191_startVal002_exit1_started2016-04-15-T043916	2	142.48078009278	01:06:20.16	1	11.2508828344976	14.9443622939642	59.9813733953686	65.372122703464	0.198903156816059	0.184182896482048	0.173098488366871	0.00401084670329818	0.00038157158858556	0.009914365689916	0.0112565927205693	15.6760820790747	0	1	-0.000947192435675604	0	0	0	17.7383353720311	14.7298992130953	55.9211451336853	66.9888841273684	0.187108456186184	0.171300384321915	0.176352353928415	0.00361576769784	0.000190331291655954	0.00809434726279885	0.0183523268115853	13.2528488977134	0	1	-0.00136214722429923	0	0	0
9	finalLog_goTrials_model191_startVal009_started2016-04-15-T051910	SAM_goTrials_model191_startVal009_exit1_started2016-04-15-T051910	9	143.034546299962	00:55:18.25	1	0.110468690508659	4.33714134942836	60.0358930682445	66.6637084853601	0.185959389169355	0.167108827793277	0.155473388315246	0.00705749937230561	0.00776965973722136	0.00529976749913585	0.0231698181472492	6.20404997508274	0	1	-7.43488255466494e-05	0	0	0	0.139159041536604	3.87144575993849	53.0438272249682	53.0019134812906	0.226094195673	0.142169517179239	0.11172109548039	0.00518938613640035	0.00761673891107883	0.00387430523554835	0.0585246202863863	4.0887733533877	0	1	-0.000542455214720117	0	0	0
12	finalLog_goTrials_model191_startVal012_started2016-04-15-T052311	SAM_goTrials_model191_startVal012_exit1_started2016-04-15-T052311	12	150.91504119004	01:02:30.23	1	23.9546685639531	0.0461394388330241	65.4725779617119	62.6479594111687	0.244757637166149	0.225958810083052	0.213208509193866	0.0171107533897646	6.03651518761184e-06	0.0155255512079433	0.0217157125700759	56.3949577556034	0	1	-0.00164283327824341	0	0	0	36.3986091245105	0.211396127835349	50.0240188207544	59.8066746418089	0.211958204588733	0.222888409223662	0.201900022722555	0.0144007239023748	0.000107362548073775	0.00463542894755091	0.0577674997196071	55.1091075396262	0	1	-0.00213184485360506	0	0	0
6	finalLog_goTrials_model191_startVal006_started2016-04-15-T051510	SAM_goTrials_model191_startVal006_exit1_started2016-04-15-T051510	6	151.230840099598	00:54:51.51	1	19.296657241991	1.08924780481125	68.9673231627219	66.5187380332717	0.210193665041663	0.189834513858188	0.17772761946263	0.0093869535556771	0.0106495119104288	0.00773215262278965	0.026623321256383	23.273177923421	0	1	-0.000471273269634124	0	0	0	19.2071961960639	1.88159939999483	72.2404218992278	56.5274695793666	0.237696492946292	0.175233441940491	0.184372766198475	0.0094664363577329	0.00992610805679706	0.00678736481955602	0.0262728613393452	16.9675091794786	0	1	-0.000670432907390468	0	0	0
17	finalLog_goTrials_model191_startVal017_started2016-04-15-T053109	SAM_goTrials_model191_startVal017_exit1_started2016-04-15-T053109	17	156.997137790929	00:51:53.76	1	26.052287610758	1.58460821936127	67.5514820620962	60.7517993950855	0.184342922623993	0.166573766913605	0.153989127878978	0.0197545666935821	0.010170979640586	0.018718148232143	0.0216270323885935	58.6959276980452	0	1	-8.07807018512489e-05	0	0	0	40.1184954682561	1.81057103158697	59.7631927493119	33.6605296557825	0.13986603484527	0.144388143812528	0.137596871956385	0.0199579680451094	0.0103974180278477	0.0115402540271933	0.0446354538352204	58.5115071405921	0	1	-0.000819238664860242	0	0	0
5	finalLog_goTrials_model191_startVal005_started2016-04-15-T045527	SAM_goTrials_model191_startVal005_exit1_started2016-04-15-T045527	5	166.12012898827	01:41:05.37	1	36.7220262233491	13.5546764057302	76.1276712016553	75.3141690941253	0.386298182634894	0.369144175409281	0.358113191128993	0.0113701524219942	0.0118035324360029	0.0026470044671338	0.0079767429321186	25.3682805138645	0	1	-0.00402953119732195	0	0	0	38.7687467504458	12.404974973371	66.9816015720633	68.4631148847826	0.414233335835355	0.357700711705192	0.353058650930512	0.00844822114909781	0.012950074735577	0.00122859101285658	0.0562462217642015	11.4105714147107	0	1	-0.00471751383375775	0	0	0
11	finalLog_goTrials_model191_startVal011_started2016-04-15-T051911	SAM_goTrials_model191_startVal011_exit1_started2016-04-15-T051911	11	183.975316552745	01:06:04.30	1	0.253446128216105	11.2737832350424	60.2869025226736	64.1435802218358	0.326056737893414	0.31079716578566	0.299175461266843	0.000128392592238614	0.00563469797482693	0.00137921424025449	0.00219997943887956	33.7828542424271	0	1	-0.00402595690296932	0	0	0	32.735999060884	14.7197113119993	58.342544508076	55.2883892439024	0.342004329620102	0.303767707319875	0.306384543619634	0.00446052315579381	0.0112391834359102	0.00198038478936736	0.0597526184823591	5.61631869356172	0	1	-0.00506769346240099	0	0	0
