FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16
11	finalLog_goTrials_model043_startVal011_started2016-11-19-T020305	SAM_goTrials_model043_startVal011_exit1_started2016-11-19-T020305	11	631.909248085159	00:21:54.14	1	5.80154501001136	48.9444611333632	0.158070557933861	0.13778770537782	0.119928014923637	0.0458652163919705	0.0668679308768411	0.0838280720037148	0.000576302144880983	63.1766652839244	0	1	-0.00041858752793095	0	0	0	4.88888744128327	45.7881541356161	0.185676720192755	0.147140791715871	0.096142184882677	0.0438678552746416	0.0673266535646238	0.0932959373231542	0.000538986826205838	56.6782173176569	0	1	-0.00024811150938791	0	0	0
5	finalLog_goTrials_model043_startVal005_started2016-11-19-T020107	SAM_goTrials_model043_startVal005_exit1_started2016-11-19-T020107	5	637.798044457044	00:29:05.07	1	5.78528193228319	47.0467293969949	0.146864506222908	0.125075801515659	0.106742930766397	0.0367154223984254	0.0527905507269968	0.0691107599315688	0.000762170911601658	71.1923684532913	0	1	-0.000104660619807214	0	0	0	6.93522348513097	40.7527237830034	0.159594274544735	0.164382234301373	0.0833178036720496	0.0423073138135777	0.0307227970466462	0.0698519353810431	0.00134085559278969	62.7052057723744	0	1	-0.00139591836894704	0	0	0
8	finalLog_goTrials_model043_startVal008_started2016-11-19-T020207	SAM_goTrials_model043_startVal008_exit1_started2016-11-19-T020207	8	641.55634511538	00:21:36.03	1	11.3189998799942	55.8505425379727	0.159724885262363	0.141860041918559	0.124671980491096	0.0497218067872271	0.0703356094244216	0.0889999236782357	0.00201978208206635	26.9795198951373	0	1	-0.000254695324040696	0	0	0	10.3502153107913	57.2630746061938	0.152581034471034	0.123217054534458	0.114611471332696	0.05180305458597	0.0425784514205429	0.132697427449063	0.00196298740205433	28.888201094169	0	1	-0.000451108981982392	0	0	0
4	finalLog_goTrials_model043_startVal004_started2016-11-19-T020108	SAM_goTrials_model043_startVal004_exit1_started2016-11-19-T020108	4	644.913016195047	00:31:06.63	1	5.03992357121233	52.1466897814715	0.174525840259756	0.154097958303869	0.137182513191917	0.0674903001042825	0.0858638217101551	0.10093587489173	3.60346065708126e-05	28.8221500721755	0	1	-0.000892248007843368	0	0	0	3.13420010989703	37.9556638406431	0.148411493661644	0.152215979938135	0.14555979530372	0.0477607259832432	0.0457617352944527	0.0661077628474687	0.00188268260886648	14.9079856891684	0	1	-0.00246567910884689	0	0	0
14	finalLog_goTrials_model043_startVal014_started2016-11-19-T020334	SAM_goTrials_model043_startVal014_exit1_started2016-11-19-T020334	14	648.230369261272	00:27:38.08	1	10.7453663167277	49.3286032168047	0.154788446695605	0.134094664105245	0.113199432418448	0.0217630451727816	0.0565404290582906	0.0786065394731222	0.0005532513300582	89.1762766445991	0	1	-0.000150625354459708	0	0	0	11.2648765966892	43.7490229890837	0.102518896497306	0.0681647188120962	0.0552048442204901	0.0369664263383717	0.00381594248601277	0.0662414791357518	0.000512682292143762	84.3773455091094	0	1	-0.000142370487229141	0	0	0
1	finalLog_goTrials_model043_startVal001_started2016-11-19-T015221	SAM_goTrials_model043_startVal001_exit1_started2016-11-19-T015221	1	652.306557025469	00:34:35.43	1	5.90668886795332	49.6971648804164	0.153588169839671	0.135945114363874	0.117618779655232	0.0440006464542595	0.05947017959776	0.0817788449233553	0.00140126850664519	53.8673737155368	0	1	-0.000281098404080155	0	0	0	5	49.5962862149354	0.158088568563543	0.133382456079231	0.116417028240421	0.0442777539817484	0.0663736187164592	0.079250865957884	0.00133779575687606	46.2479265806923	0	1	-0.000338712829135767	0	0	0
17	finalLog_goTrials_model043_startVal017_started2016-11-19-T020409	SAM_goTrials_model043_startVal017_exit1_started2016-11-19-T020409	17	654.655701265043	00:21:16.06	1	10.8595607836387	51.929562076655	0.165197612940559	0.147827219743176	0.13235907292876	0.0781592956224452	0.0742708559172851	0.0950447057718077	0.00119265478021137	68.3539200801296	0	1	-0.000651635487798817	0	0	0	11.3261564851063	54.4137024311481	0.19205098588999	0.152124256767595	0.0927746471727119	0.075292016629047	0.0877983100578284	0.075586206644321	0.00108971375129426	72.7107665369123	0	1	-0.000886377208309206	0	0	0
6	finalLog_goTrials_model043_startVal006_started2016-11-19-T020209	SAM_goTrials_model043_startVal006_exit1_started2016-11-19-T020209	6	662.61839436829	00:20:07.55	1	13.0045456519952	59.5632604307776	0.156927255932912	0.137689541418849	0.120589469450963	0.0494040134240094	0.0707038548107333	0.0881877778409054	0.00243318798087459	8.08775197303385	0	1	-1.72647183765452e-07	0	0	0	10.6507699632654	60.2444342146139	0.172833989534322	0.104645514913144	0.152368878452709	0.0615018338601228	0.0522355892496775	0.0955667818653295	0.00231830916947316	5.57834170815914	0	1	-6.52479649035694e-05	0	0	0
13	finalLog_goTrials_model043_startVal013_started2016-11-19-T020334	SAM_goTrials_model043_startVal013_exit1_started2016-11-19-T020334	13	667.310176419637	00:24:46.42	1	5.92645240051877	46.2873297932854	0.146931210672403	0.126641611344258	0.106724880161604	0.0264172121300653	0.0492875255903907	0.0729780952718566	0.000165672186877228	91.011775721865	0	1	-5.99095146880651e-06	0	0	0	9.11090701690166	44.9107073854807	0.137225631967138	0.0730597798333555	0.0556264600986573	0.0739853348686767	0.067575187316888	0.037905906555307	0.000197599369338386	83.4857385537445	0	1	-7.43929036342555e-05	0	0	0
12	finalLog_goTrials_model043_startVal012_started2016-11-19-T020305	SAM_goTrials_model043_startVal012_exit1_started2016-11-19-T020305	12	668.013255919758	00:28:40.18	1	1.61386311010733	44.6263985947863	0.183113200490076	0.160343811115152	0.141309930245314	0.0526083574629169	0.0838989409547449	0.105680692432616	2.99463018772699e-05	89.0848191681117	0	1	-0.00155365373417922	0	0	0	10.5302686930213	34.2597291598192	0.13807023725783	0.147485469145839	0.139398997944746	0.063282891345169	0.0153504289265243	0.0612776564821589	7.0289835130263e-05	31.8447009235926	0	1	-0.00367242041638924	0	0	0
