subject,scope,z0_1,z0_2,zc,v_1,v_2,v_3,ve_1,ve_2,ve_3,eta,t0,se,si,k,wliw,wlib,wffiw
1,go,27.7206021174131,15.7036279516872,74.0700352016664,0.191439897440798,0.168437192024734,0.148123672846766,0.0645209286071083,0.0836393772733619,0.107302984903007,0.0324153558432119,27.3586616577258,0,1,-9.75451170907183e-05,0,0,0
1,stop,5.42704970212535,,16.0590947846122,0.299799439462765,,,,,,0.0392259273705572,22.5222998420674,0,1,-6.50246511234645e-07,0,-0.514450217749388,0
2,go,9.98792759438562,8.93990233551658,136.233118706629,0.67046386775711,0.63482958487319,0.596165622623144,0.445522293446527,0.504267692171948,0.555476030436015,0.0996451249311376,0.625965382708804,0,1,-0.00260987172969394,0,0,0
2,stop,7.56505193994264,,7.73487135174523,0.354912275017125,,,,,,0.0496407748930341,1.0755506835494,0,1,-1.17351995576349e-06,0,-0.328739653445312,0
