model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
2,go,14.3453959649525,2.7689206687606,53.1564076046171,0.140438014374583,,,,,,0.0819828878590086,,,,,,0.00545371105965745,47.5434247511816,0,1,-0.000383416671350737,0,0,-0.0354275409532403
2,stop,4.09207514450461,,21.6424413423683,0.371645559620001,,,,,,NaN,,,,,,0.0206008150975155,19.9779768108444,0,1,-0.00202434005496726,0,-0.406335512679641,NaN
43,go,3.7525951271471,,51.4908337963672,0.166523741369451,0.148185022719254,0.132815199966646,,,,0.0676202530774634,0.0886662762351179,0.102394344748562,,,,0.00194353781274466,39.8971320763009,0,1,-0.000198600078437648,0,0,-0.173933220008837
43,stop,1.16828856975342,,15.8019064130355,0.338549418006364,,,,,,NaN,,,,,,0.0294849257369053,21.7393417521596,0,1,-0.00582251589839699,0,-0.136865636384285,NaN
79,go,14.4944957235673,1.11314417306195,55.1616913145528,0.219087487098419,0.200756929971139,0.183754167475795,,,,0.126125018350289,0.141851983323883,0.152966973273963,,,,0.00423653722497477,41.19961367909,0,1,-0.00118426558606824,0,0,-0.233180284222801
79,stop,8.74884554555876,,9.71875585832316,0.0484495402453609,,,,,,NaN,,,,,,0.0040888994042614,6.75501600848403,0,1,-0.000873397505134136,0,-0.0504116913924666,NaN
352,go,12.184519992845,,57.1785688314744,0.173358011736002,0.156967633128046,0.153841772395167,0.139085290766807,0.138501617451022,0.121806154854893,0.0672265183628579,0.0713938399727538,0.0634691956211104,0.0876727321101429,0.0856952876265574,0.103301238897162,0.0183705725411199,54.3205013714382,0,1,-1.72839518555474e-06,0,0,-0.113839822085984
352,stop,6.55097149223866,,9.17129593236879,0.114932146978578,,,,,,NaN,,,,,,0.0373026906762374,40.1311553362185,0,1,-0.000492758025904734,0,-0.104460542454697,NaN
478,go,14.509783859236,0.266828772540908,56.2805683454502,0.165492403742979,0.170293097504645,0.14651702836613,0.146136599238393,0.130688910744798,0.127956516238057,0.0654492983010994,0.0605405107843811,0.0698505223230915,0.0777903375792835,0.0885026333405813,0.0966274488674705,0.0185476538526038,55.0918072543043,0,1,-4.16899131536197e-10,0,0,-0.0921627166710572
478,stop,6.26246567758153,,12.7391979960738,0.0746145874824179,,,,,,NaN,,,,,,0.0532690674074561,6.29635935902541,0,1,-0.00473727350362859,0,-0.282594828456478,NaN
