FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17
1	finalLog_goTrials_model079_startVal001_started2016-11-19-T050209	SAM_goTrials_model079_startVal001_exit1_started2016-11-19-T050209	1	802.606510309913	00:33:08.00	1	4.82903233575452	6.26531773736507	102.981514133784	0.460638738849156	0.465249243805964	0.455463355807802	0.291641952193973	0.375528734331174	0.430748245563233	0.0194713129475296	48.6665185534717	0	1	-8.18842733069439e-06	-0.0115808790411471	0	0	5	5	100.933327773332	0.461160497186594	0.46833812580287	0.457327655144933	0.28541113453363	0.37018686703638	0.430279840156024	0.0209400917357302	54.5289357487945	0	1	-2.09075936916129e-05	-0.0114452802987558	0	0
6	finalLog_goTrials_model079_startVal006_started2016-11-19-T050302	SAM_goTrials_model079_startVal006_exit1_started2016-11-19-T050302	6	1229.63767998456	00:41:01.83	1	8.10296168851977	5.27692768753721	88.3240672068081	0.472565509143073	0.461974147832236	0.439042089349825	0.25663801823034	0.349107182504995	0.40792775480276	0.0111122537242747	84.2916102956315	0	1	-0.00117989999185628	-0.0133949431369161	0	0	6.18684478344155	5.09052361466702	68.1106936766834	0.403866859925562	0.587079319253475	0.258657039556702	0.547509347311978	0.465561609654067	0.430610657657597	0.0118733493615934	54.057030503185	0	1	-0.00128194003638872	-0.0198970258710028	0	0
13	finalLog_goTrials_model079_startVal013_started2016-11-19-T050426	SAM_goTrials_model079_startVal013_exit1_started2016-11-19-T050426	13	1535.17989818779	00:57:45.56	1	2.15405669154577	3.78924816066277	116.991914701724	0.793967439200404	0.790903255961832	0.759566618399784	0.421968677918748	0.70845258701055	0.74191497033557	0.000375217109762312	90.4966221011776	0	1	-0.00364661576992538	-0.0148550176778787	0	0	2.04438823407448	9.68301758971982	131.306047997795	0.791638880451143	0.748329503831021	0.700138601219407	0.339830198093829	0.576415103966125	0.659461748650208	0.00261089643466798	64.7054947586087	0	1	-0.00376997368113878	-0.143243711280031	0	0
2	finalLog_goTrials_model079_startVal002_started2016-11-19-T050141	SAM_goTrials_model079_startVal002_exit1_started2016-11-19-T050141	2	1654.89305319408	00:47:39.54	1	4.20326422657603	3.83951761379403	65.64466249737	0.263536053310537	0.244704241871966	0.228422375469796	0.0780500084336323	0.162143061012525	0.205938281009751	0.0172187460398199	17.7552711593542	0	1	-8.73850146882842e-05	-0.368696368829335	0	0	3.09041789257792	5.66182653106297	36.2086393734071	0.148512960831465	0.177175997736961	0.235703291252133	0.216412268266881	0.213915001801999	0.14201127689506	0.0292805350198307	23.5875832307364	0	1	-0.00137466270882362	-0.385056287925769	0	0
19	finalLog_goTrials_model079_startVal019_started2016-11-19-T050827	SAM_goTrials_model079_startVal019_exit1_started2016-11-19-T050827	19	1690.83741239013	00:55:43.79	1	5.70684237569206	5.10818340301542	89.3758973513519	0.493915932747613	0.480686344253832	0.465318180686703	0.269714196948937	0.393388008224807	0.456815251802603	0.0359239096415585	19.2891918106124	0	1	-0.00309032967694883	-0.070816501205219	0	0	6.67187302928372	2.95777906800836	79.6869797752584	0.526694011177841	0.515638027939046	0.55229190523726	0.222502691133454	0.597287348058381	0.428730213704617	0.0308932031309417	17.8044093414615	0	1	-0.00348839778569875	-0.111892456118438	0	0
3	finalLog_goTrials_model079_startVal003_started2016-11-19-T050143	SAM_goTrials_model079_startVal003_exit1_started2016-11-19-T050143	3	1786.8178564096	00:48:35.23	1	10.4479000223316	10.9260494503422	56.7020012012015	0.308921818189581	0.291264285566557	0.268423038202645	0.102327358333355	0.183439741734642	0.249928281479122	0.0170290462833504	88.7859422549507	0	1	-0.00171781623040238	-0.0294673489235621	0	0	12.5392063696761	10.3872076934739	53.4283009691133	0.356655785287061	0.374135103991431	0.204364912991936	0.309816841650529	0.165118594192276	0.190180100967157	0.0167015343904407	88.3410386257243	0	1	-0.00231103462991682	-0.225511487277935	0	0
10	finalLog_goTrials_model079_startVal010_started2016-11-19-T050332	SAM_goTrials_model079_startVal010_exit1_started2016-11-19-T050332	10	1929.88931630959	00:57:01.81	1	0.922683665469986	0.736348550129481	73.5785604249039	0.351604833647874	0.315885058999477	0.286506372394703	0.0216317607959981	0.211485898177485	0.275520240797536	0.0418776430515165	92.5935544368346	0	1	-0.000296659029216832	-0.082663617293639	0	0	0.231051564773326	4.9163244074011	67.3080328658444	0.692649586615238	0.318600643874921	0.378866559914554	0.0428823193414981	0.344230308703256	0.172512176972692	0.00533140202075726	104.785556826582	0	1	-0.000322220684309812	-0.0678534943709917	0	0
7	finalLog_goTrials_model079_startVal007_started2016-11-19-T050242	SAM_goTrials_model079_startVal007_exit1_started2016-11-19-T050242	7	2210.05930852288	00:39:25.29	1	6.12431204360784	6.19243742510798	79.2998540464156	0.416907924411089	0.387219110192062	0.371436828812423	0.00683879649408925	0.326179620038743	0.359664946099282	0.0190907868002391	20.4624517495972	0	1	-0.00235190200972218	-0.44116017465512	0	0	3.0824125636152	7.44433328459827	80.5979499364685	0.46514884632796	0.419039724771707	0.272687418955641	0.00887148803519151	0.491939534984062	0.414206843173208	0.0184730804327156	14.8519155446452	0	1	-0.00266291033114096	-0.452311008824741	0	0
12	finalLog_goTrials_model079_startVal012_started2016-11-19-T050427	SAM_goTrials_model079_startVal012_exit1_started2016-11-19-T050427	12	2295.42370943824	01:12:35.34	1	4.79958575433765	7.04203705694284	51.4531227856949	0.239749029887242	0.230800661830485	0.199718407094158	0.03392366017363	0.11443464522846	0.178580668822199	0.008707056555442	108.941909369385	0	1	-5.73907063522493e-05	-0.460089822142587	0	0	6.76954035126296	4.90316879459222	22.2111061755193	0.118646723610974	0.165860726259429	0.105981258969479	0.507908081476969	0.221594273814514	0.854606131259118	0.0120814082615028	65.0672717381188	0	1	-0.00384319314371017	-0.44339224221965	0	0
20	finalLog_goTrials_model079_startVal020_started2016-11-19-T050815	SAM_goTrials_model079_startVal020_exit1_started2016-11-19-T050815	20	2367.4239325062	00:55:17.30	1	13.0678918497259	12.66480013813	81.0543716277159	0.483574184077217	0.447977254145893	0.425256552486282	0.111586585875334	0.378065266056759	0.418132611561483	0.022689891831955	61.1346395645383	0	1	-0.00312366902193774	-0.144127698511136	0	0	13.1777833541713	11.7616310376887	90.7703268642948	0.394670341706391	0.382390799842283	0.533478535810078	0.139382459793631	0.228200534516059	0.420439146510033	0.015914926584501	77.087325971774	0	1	-0.00219916699510981	-0.180291217704605	0	0
