FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	BestX_23	BestX_24	BestX_25	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22	StartX_23	StartX_24	StartX_25
2	finalLog_stopTrials_model352_startVal002_started2017-04-22-T155101	SAM_stopTrials_model352_startVal002_exit1_started2017-04-22-T155101	2	358.063261086925	02:38:34.87	1	50.0075495414084	0.509793059393165	119.780234703482	37.8612627177018	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.767914711389467	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0410154977197413	22.781321020429	7.00441336268553	0	1	-0.000945812691855977	-0.000482692588194816	0	0	-0.0474403841965058	0	50.0075495414084	0.61085040125935	119.780234703482	36.3575431994248	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.761131453208608	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0404034973878349	22.781321020429	10.5021850085161	0	1	-0.000945812691855977	-0.000997651247887253	0	0	-0.0257930537799106	0
1	finalLog_stopTrials_model352_startVal001_started2017-04-22-T155005	SAM_stopTrials_model352_startVal001_exit1_started2017-04-22-T155005	1	358.163383056593	03:22:42.33	1	50.0075495414084	0.0684195210570393	119.780234703482	39.3609545430165	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.799773646558605	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0168368411131464	22.781321020429	2.14630508059739	0	1	-0.000945812691855977	-0.00325917025124199	0	0	-0.17255422969077	0	50.0075495414084	2.21318649186801	119.780234703482	39.7058948019249	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.789963845399233	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.00993349086472247	22.781321020429	1.44590462710168	0	1	-0.000945812691855977	-0.00353260679841024	0	0	-0.295071223768092	0
3	finalLog_stopTrials_model352_startVal003_started2017-04-22-T155333	SAM_stopTrials_model352_startVal003_exit1_started2017-04-22-T155333	3	358.188542175425	02:38:02.68	1	50.0075495414084	23.5906091748241	119.780234703482	25.6634184086008	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.376543326540735	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0302786006941131	22.781321020429	31.5693964373958	0	1	-0.000945812691855977	-4.21213178005645e-06	0	0	-0.384064532741673	0	50.0075495414084	23.7723603844534	119.780234703482	24.8657328554419	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.324812322000535	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0256305438261881	22.781321020429	29.951195114316	0	1	-0.000945812691855977	-6.61870088220729e-05	0	0	-0.334597247111949	0
6	finalLog_stopTrials_model352_startVal006_started2017-04-22-T160032	SAM_stopTrials_model352_startVal006_exit1_started2017-04-22-T160032	6	358.401363556616	02:09:52.39	1	50.0075495414084	12.1433508750252	119.780234703482	28.3696920238496	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.610150905000023	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.027558927500949	22.781321020429	14.3343258856849	0	1	-0.000945812691855977	-0.00347032920019867	0	0	-0.396681104854317	0	50.0075495414084	12.239249729433	119.780234703482	26.8811828078431	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.605335830387478	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0216026799738119	22.781321020429	17.6130151482652	0	1	-0.000945812691855977	-0.00383606097112133	0	0	-0.427303830209961	0
12	finalLog_stopTrials_model352_startVal012_started2017-04-22-T160937	SAM_stopTrials_model352_startVal012_exit1_started2017-04-22-T160937	12	359.282911652718	03:19:16.85	1	50.0075495414084	21.106407809465	119.780234703482	22.9803054800288	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.494907182528762	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0575368078740625	22.781321020429	2.57816139941945	0	1	-0.000945812691855977	-0.00553169809118322	0	0	-0.513692010424232	0	50.0075495414084	21.5677679674917	119.780234703482	23.8265305646071	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.471853991683794	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.049374389897429	22.781321020429	0.00445079917178459	0	1	-0.000945812691855977	-0.00496158352564742	0	0	-0.457373280165459	0
9	finalLog_stopTrials_model352_startVal009_started2017-04-22-T160557	SAM_stopTrials_model352_startVal009_exit1_started2017-04-22-T160557	9	359.491765452419	02:25:09.24	1	50.0075495414084	17.0943729872171	119.780234703482	32.7131621076989	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.635597281974691	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0568501163593929	22.781321020429	3.22882764703263	0	1	-0.000945812691855977	-0.00307573271282394	0	0	-0.224895764625564	0	50.0075495414084	15.9816616006123	119.780234703482	32.6734072317759	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.606681610335399	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0580566236149027	22.781321020429	4.42517660267548	0	1	-0.000945812691855977	-0.00350345482696805	0	0	-0.262870173782899	0
8	finalLog_stopTrials_model352_startVal008_started2017-04-22-T160434	SAM_stopTrials_model352_startVal008_exit1_started2017-04-22-T160434	8	359.641568236506	01:52:18.82	1	50.0075495414084	7.73664327356608	119.780234703482	32.8572333185421	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.771292067066261	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.00957347482601479	22.781321020429	29.9873769074297	0	1	-0.000945812691855977	-0.00278396130762951	0	0	-0.42240770329154	0	50.0075495414084	7.19942439035428	119.780234703482	32.1040263153694	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.761228974465268	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0083426406621363	22.781321020429	30.4071169717476	0	1	-0.000945812691855977	-0.00294350480545522	0	0	-0.430816137198145	0
4	finalLog_stopTrials_model352_startVal004_started2017-04-22-T155931	SAM_stopTrials_model352_startVal004_exit1_started2017-04-22-T155931	4	359.951688677436	01:55:17.95	1	50.0075495414084	9.32468097480585	119.780234703482	27.0941624164204	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.574465967363703	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.041922058536774	22.781321020429	9.70548840586608	0	1	-0.000945812691855977	-0.00237239533576075	0	0	-0.115532755839721	0	50.0075495414084	10.1328854970148	119.780234703482	27.2979687001258	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.568341846290966	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0413132869651318	22.781321020429	6.56300144494278	0	1	-0.000945812691855977	-0.0026771070093036	0	0	-0.122072208775541	0
5	finalLog_stopTrials_model352_startVal005_started2017-04-22-T160018	SAM_stopTrials_model352_startVal005_exit1_started2017-04-22-T160018	5	360.058382266757	02:26:38.31	1	50.0075495414084	2.69141663357619	119.780234703482	7.84241863267145	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.122216505948191	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.00419221965505565	22.781321020429	15.1954469707776	0	1	-0.000945812691855977	-0.00326760771206439	0	0	-0.357467093845298	0	50.0075495414084	2.72044845682614	119.780234703482	7.62221653169142	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.117933590670536	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.000494882706665947	22.781321020429	13.5816413032299	0	1	-0.000945812691855977	-0.00363758218505568	0	0	-0.358478570673941	0
10	finalLog_stopTrials_model352_startVal010_started2017-04-22-T160558	SAM_stopTrials_model352_startVal010_exit1_started2017-04-22-T160558	10	360.472082083813	01:52:56.54	1	50.0075495414084	0.596861365962169	119.780234703482	6.98183634115015	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.172642496012493	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0521824540200463	22.781321020429	32.1747915074778	0	1	-0.000945812691855977	-0.000771744797981742	0	0	-0.112443767627426	0	50.0075495414084	0.47097405608037	119.780234703482	7.25303130487569	0.25323811068484	0.357927117738215	0.235989493398106	0.263906094257729	0.151128162609539	0.143568920929701	0.167674160885466	0.16541238230129	0.21041279979512	0.0326906959718914	0.0519157801114524	22.781321020429	31.3905598511754	0	1	-0.000945812691855977	-0.000837715978039144	0	0	-0.142970989610414	0
