FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	BestX_23	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22	StartX_23
2	finalLog_stopTrials_model043_startVal002_started2017-03-10-T135348	SAM_stopTrials_model043_startVal002_exit1_started2017-03-10-T135348	2	428.984621919208	03:49:16.88	1	13.6657693710936	13.1339935372964	52.3617263428696	21.327563246994	0.200037888384408	0.180294153358812	0.161581313926754	0.449130851988788	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0323390170002345	89.8244937665187	14.55543322494	0	1	-0.00131330002141989	-0.00427955491267983	0	0	-0.0941642309094408	-0.078490476564433	13.6657693710936	10.4762073406221	52.3617263428696	21.3902170276203	0.200037888384408	0.180294153358812	0.161581313926754	0.432178236595888	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0276445725736288	89.8244937665187	15.503449863997	0	1	-0.00131330002141989	-0.00395887705609165	0	0	-0.0882234766604251	-0.078490476564433
13	finalLog_stopTrials_model043_startVal013_started2017-03-10-T135713	SAM_stopTrials_model043_startVal013_exit1_started2017-03-10-T135713	13	429.07580800584	03:53:15.60	1	13.6657693710936	2.36632000512137	52.3617263428696	22.6765589639947	0.200037888384408	0.180294153358812	0.161581313926754	0.465273094118177	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0252921111152345	89.8244937665187	14.5906605175754	0	1	-0.00131330002141989	-0.00168875097248834	0	0	-0.17392106015455	-0.078490476564433	13.6657693710936	1.34235292976132	52.3617263428696	22.209147998038	0.200037888384408	0.180294153358812	0.161581313926754	0.473538701913744	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0218639827964527	89.8244937665187	12.0259166749121	0	1	-0.00131330002141989	-0.00120541690904339	0	0	-0.159279353936343	-0.078490476564433
3	finalLog_stopTrials_model043_startVal003_started2017-03-10-T135349	SAM_stopTrials_model043_startVal003_exit1_started2017-03-10-T135349	3	430.315510976573	03:41:28.34	1	13.6657693710936	18.5782179088247	52.3617263428696	20.1902368395967	0.200037888384408	0.180294153358812	0.161581313926754	0.498683591890995	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0373850134486767	89.8244937665187	40.8962059461237	0	1	-0.00131330002141989	-0.00300452447250193	0	0	-0.454939356783238	-0.078490476564433	13.6657693710936	19.1623711108074	52.3617263428696	19.53495056828	0.200037888384408	0.180294153358812	0.161581313926754	0.480452295847543	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0415428935789459	89.8244937665187	40.3412667597332	0	1	-0.00131330002141989	-0.00306947674675568	0	0	-0.463760370183031	-0.078490476564433
1	finalLog_stopTrials_model043_startVal001_started2017-03-10-T132221	SAM_stopTrials_model043_startVal001_exit1_started2017-03-10-T132221	1	430.580647432273	02:42:15.30	1	13.6657693710936	16.072722104652	52.3617263428696	22.4400246005133	0.200037888384408	0.180294153358812	0.161581313926754	0.489654190282312	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0148681554248468	89.8244937665187	21.8468203781584	0	1	-0.00131330002141989	-0.00434806686931098	0	0	-0.0271951568183926	-0.078490476564433	13.6657693710936	14.6496758956619	52.3617263428696	22.4308599503989	0.200037888384408	0.180294153358812	0.161581313926754	0.495325882383465	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0146464842608322	89.8244937665187	21.6746151361718	0	1	-0.00131330002141989	-0.00457262902581129	0	0	-0.0263639119961986	-0.078490476564433
6	finalLog_stopTrials_model043_startVal006_started2017-03-10-T135331	SAM_stopTrials_model043_startVal006_exit1_started2017-03-10-T135331	6	431.279372827902	03:37:49.71	1	13.6657693710936	4.35383410806884	52.3617263428696	18.9277902769483	0.200037888384408	0.180294153358812	0.161581313926754	0.432035317020073	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0599644181156847	89.8244937665187	14.5799096380976	0	1	-0.00131330002141989	-0.0055830860147911	0	0	-0.452652580157372	-0.078490476564433	13.6657693710936	3.35307332071706	52.3617263428696	18.548185587976	0.200037888384408	0.180294153358812	0.161581313926754	0.42639962752844	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0595041286771245	89.8244937665187	14.3528538850369	0	1	-0.00131330002141989	-0.00533354468253253	0	0	-0.442918810548965	-0.078490476564433
4	finalLog_stopTrials_model043_startVal004_started2017-03-10-T135310	SAM_stopTrials_model043_startVal004_exit1_started2017-03-10-T135310	4	431.311031144505	03:39:54.41	1	13.6657693710936	5.86239665244183	52.3617263428696	24.2903418133192	0.200037888384408	0.180294153358812	0.161581313926754	0.643685246655503	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0298149068942522	89.8244937665187	40.9060909673558	0	1	-0.00131330002141989	-0.00203760711172787	0	0	-0.519385907738559	-0.078490476564433	13.6657693710936	3.55068121079821	52.3617263428696	24.4475704727039	0.200037888384408	0.180294153358812	0.161581313926754	0.644256388980426	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0329630797548599	89.8244937665187	40.2915569066299	0	1	-0.00131330002141989	-0.00233058025465201	0	0	-0.515642544407737	-0.078490476564433
8	finalLog_stopTrials_model043_startVal008_started2017-03-10-T135303	SAM_stopTrials_model043_startVal008_exit1_started2017-03-10-T135303	8	431.346436986254	03:54:48.99	1	13.6657693710936	15.5219514052064	52.3617263428696	23.9807385422483	0.200037888384408	0.180294153358812	0.161581313926754	0.45501858487554	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.000136304570870253	89.8244937665187	30.6670100470838	0	1	-0.00131330002141989	-0.00100253234030954	0	0	-0.256334158540268	-0.078490476564433	13.6657693710936	16.0179480741481	52.3617263428696	24.2381623302565	0.200037888384408	0.180294153358812	0.161581313926754	0.456669307105785	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.001133722915599	89.8244937665187	24.7708956553605	0	1	-0.00131330002141989	-0.00122617423258801	0	0	-0.278655712499212	-0.078490476564433
5	finalLog_stopTrials_model043_startVal005_started2017-03-10-T135310	SAM_stopTrials_model043_startVal005_exit1_started2017-03-10-T135310	5	431.556455330687	03:31:12.71	1	13.6657693710936	4.92795488689198	52.3617263428696	22.7606144639924	0.200037888384408	0.180294153358812	0.161581313926754	0.470586871151056	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0571771933692835	89.8244937665187	23.5036199951986	0	1	-0.00131330002141989	-0.000527273966559395	0	0	-0.529658608813971	-0.078490476564433	13.6657693710936	5.22366684982838	52.3617263428696	22.9587737735975	0.200037888384408	0.180294153358812	0.161581313926754	0.456479763268768	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0535772875494267	89.8244937665187	21.4320068267084	0	1	-0.00131330002141989	-0.000543581097925358	0	0	-0.520095903228055	-0.078490476564433
15	finalLog_stopTrials_model043_startVal015_started2017-03-10-T135712	SAM_stopTrials_model043_startVal015_exit1_started2017-03-10-T135712	15	431.864070494732	02:29:41.24	1	13.6657693710936	16.7183537259524	52.3617263428696	39.2118809560054	0.200037888384408	0.180294153358812	0.161581313926754	0.591238466008682	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.00918723037360246	89.8244937665187	6.22468444528783	0	1	-0.00131330002141989	-0.000273557244063657	0	0	-0.314670709925897	-0.078490476564433	13.6657693710936	12.9521960243349	52.3617263428696	39.9940024055953	0.200037888384408	0.180294153358812	0.161581313926754	0.595264082557462	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.00759746348109948	89.8244937665187	6.29372331873712	0	1	-0.00131330002141989	-0.000171363200846122	0	0	-0.291160536599144	-0.078490476564433
9	finalLog_stopTrials_model043_startVal009_started2017-03-10-T135349	SAM_stopTrials_model043_startVal009_exit1_started2017-03-10-T135349	9	432.373032391023	03:03:20.77	1	13.6657693710936	9.30949809127896	52.3617263428696	25.6849909533655	0.200037888384408	0.180294153358812	0.161581313926754	0.380745916203033	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0571060128217137	89.8244937665187	1.26780794353758	0	1	-0.00131330002141989	-2.10468161437284e-05	0	0	-0.381696708636515	-0.078490476564433	13.6657693710936	9.22997010825045	52.3617263428696	25.7543125868896	0.200037888384408	0.180294153358812	0.161581313926754	0.371702216821856	0.0946700404989107	0.10825857920502	0.12798373684552	0.00307192302689822	0.0579266860168464	89.8244937665187	2.01226871324788	0	1	-0.00131330002141989	-1.66886570866741e-05	0	0	-0.433821848275476	-0.078490476564433
