FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	BestX_23	BestX_24	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22	StartX_23	StartX_24
2	finalLog_stopTrials_model079_startVal002_started2017-03-10-T135348	SAM_stopTrials_model079_startVal002_exit1_started2017-03-10-T135348	2	325.433447240796	03:59:57.38	1	15.7134745346142	1.95964304065	15.4182973458106	52.3997493256415	28.5075878567395	0.183292525185336	0.161304595653078	0.14571218447212	0.545457778988781	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0509871283964433	79.9567899981849	5.13890625542312	0	1	-8.14327356204268e-05	-0.00411617404831471	0	0	-0.0652592528777911	-0.250287347949674	15.7134745346142	1.95964304065	17.7587980685878	52.3997493256415	28.4578402591017	0.183292525185336	0.161304595653078	0.14571218447212	0.538464069968608	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0343747267454242	79.9567899981849	5.34688219098507	0	1	-8.14327356204268e-05	-0.00418453941797159	0	0	-0.080058438905977	-0.250287347949674
1	finalLog_stopTrials_model079_startVal001_started2017-03-10-T135348	SAM_stopTrials_model079_startVal001_exit1_started2017-03-10-T135348	1	325.738178513874	03:56:07.83	1	15.7134745346142	1.95964304065	13.683535864599	52.3997493256415	28.8800127257037	0.183292525185336	0.161304595653078	0.14571218447212	0.466554676478067	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0535779256509318	79.9567899981849	12.1206863974232	0	1	-8.14327356204268e-05	-0.000535822553961105	0	0	-0.488709741408739	-0.250287347949674	15.7134745346142	1.95964304065	14.0830520566166	52.3997493256415	28.7171037051236	0.183292525185336	0.161304595653078	0.14571218447212	0.453461214853145	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0520802156405148	79.9567899981849	10.3844318151169	0	1	-8.14327356204268e-05	-0.000670722933822895	0	0	-0.493014917163781	-0.250287347949674
11	finalLog_stopTrials_model079_startVal011_started2017-03-10-T150517	SAM_stopTrials_model079_startVal011_exit1_started2017-03-10-T150517	11	326.531336961926	03:21:17.21	1	15.7134745346142	1.95964304065	5.01599759770343	52.3997493256415	15.5066971647488	0.183292525185336	0.161304595653078	0.14571218447212	0.379023734409469	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0207202771433649	79.9567899981849	27.2690030334883	0	1	-8.14327356204268e-05	-0.00392786394828528	0	0	-0.496759021024183	-0.250287347949674	15.7134745346142	1.95964304065	4.68896085327379	52.3997493256415	15.5909933407591	0.183292525185336	0.161304595653078	0.14571218447212	0.353124501317814	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.024362443618246	79.9567899981849	27.1387395948073	0	1	-8.14327356204268e-05	-0.00442531990274852	0	0	-0.506257408214683	-0.250287347949674
3	finalLog_stopTrials_model079_startVal003_started2017-03-10-T135350	SAM_stopTrials_model079_startVal003_exit1_started2017-03-10-T135350	3	326.630769173626	03:27:00.78	1	15.7134745346142	1.95964304065	15.0316953586217	52.3997493256415	27.5706348174545	0.183292525185336	0.161304595653078	0.14571218447212	0.487503217476304	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0123181047377933	79.9567899981849	27.4437999034803	0	1	-8.14327356204268e-05	-0.00031556086072681	0	0	-0.321833178378552	-0.250287347949674	15.7134745346142	1.95964304065	13.604057044485	52.3997493256415	26.5608073988276	0.183292525185336	0.161304595653078	0.14571218447212	0.492626454783389	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.00904436980726278	79.9567899981849	25.7124148967637	0	1	-8.14327356204268e-05	-0.000535388609902088	0	0	-0.26518564382324	-0.250287347949674
15	finalLog_stopTrials_model079_startVal015_started2017-03-10-T150134	SAM_stopTrials_model079_startVal015_exit1_started2017-03-10-T150134	15	326.734836010819	02:25:57.16	1	15.7134745346142	1.95964304065	13.1562165202839	52.3997493256415	17.2074523771863	0.183292525185336	0.161304595653078	0.14571218447212	0.436798102062327	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0194840516748559	79.9567899981849	37.1757336300553	0	1	-8.14327356204268e-05	-0.00363126518696665	0	0	-0.251533258714012	-0.250287347949674	15.7134745346142	1.95964304065	12.5971943365122	52.3997493256415	16.9323098734933	0.183292525185336	0.161304595653078	0.14571218447212	0.408506884109183	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.020843795871036	79.9567899981849	40.2444836889723	0	1	-8.14327356204268e-05	-0.00366419799917543	0	0	-0.295837750460754	-0.250287347949674
9	finalLog_stopTrials_model079_startVal009_started2017-03-10-T144332	SAM_stopTrials_model079_startVal009_exit1_started2017-03-10-T144332	9	327.136446509768	02:19:48.11	1	15.7134745346142	1.95964304065	18.8395406302957	52.3997493256415	39.9277272041029	0.183292525185336	0.161304595653078	0.14571218447212	0.62168891076306	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.013004613050233	79.9567899981849	14.4099805675205	0	1	-8.14327356204268e-05	-0.000223454675255697	0	0	-0.346397610585762	-0.250287347949674	15.7134745346142	1.95964304065	18.4474487354873	52.3997493256415	39.7382724919595	0.183292525185336	0.161304595653078	0.14571218447212	0.628679623989959	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0107335039325808	79.9567899981849	10.6391558642168	0	1	-8.14327356204268e-05	-0.000345371748866921	0	0	-0.33321502700357	-0.250287347949674
14	finalLog_stopTrials_model079_startVal014_started2017-03-10-T150827	SAM_stopTrials_model079_startVal014_exit1_started2017-03-10-T150827	14	327.378845147708	02:35:44.86	1	15.7134745346142	1.95964304065	21.825521278975	52.3997493256415	31.7686116945764	0.183292525185336	0.161304595653078	0.14571218447212	0.552042934687327	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0326635232960361	79.9567899981849	4.64464890956389	0	1	-8.14327356204268e-05	-0.00296417210376277	0	0	-0.198385062100772	-0.250287347949674	15.7134745346142	1.95964304065	21.9262180846261	52.3997493256415	31.7353479797057	0.183292525185336	0.161304595653078	0.14571218447212	0.540984072225802	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0298859857694373	79.9567899981849	3.80432294596522	0	1	-8.14327356204268e-05	-0.00324400580264425	0	0	-0.210522142539251	-0.250287347949674
7	finalLog_stopTrials_model079_startVal007_started2017-03-10-T143505	SAM_stopTrials_model079_startVal007_exit1_started2017-03-10-T143505	7	327.649023947337	02:14:19.81	1	15.7134745346142	1.95964304065	11.8010575496279	52.3997493256415	27.5736221169992	0.183292525185336	0.161304595653078	0.14571218447212	0.622675478169998	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0349964929718002	79.9567899981849	43.3435869442393	0	1	-8.14327356204268e-05	-0.000180334695437063	0	0	-0.368428167581667	-0.250287347949674	15.7134745346142	1.95964304065	10.3475187172547	52.3997493256415	27.578520606682	0.183292525185336	0.161304595653078	0.14571218447212	0.61255850053976	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0335705499822581	79.9567899981849	42.9986921846332	0	1	-8.14327356204268e-05	-0.000170385285975711	0	0	-0.361071153201823	-0.250287347949674
4	finalLog_stopTrials_model079_startVal004_started2017-03-10-T143505	SAM_stopTrials_model079_startVal004_exit1_started2017-03-10-T143505	4	327.754457753337	02:38:45.23	1	15.7134745346142	1.95964304065	6.72583529896933	52.3997493256415	17.7567713012511	0.183292525185336	0.161304595653078	0.14571218447212	0.50437408141017	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0135854119144166	79.9567899981849	47.7737549593584	0	1	-8.14327356204268e-05	-0.00179044076861714	0	0	-0.108396459160696	-0.250287347949674	15.7134745346142	1.95964304065	6.44615425281512	52.3997493256415	17.7320517698926	0.183292525185336	0.161304595653078	0.14571218447212	0.502065447416024	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0135447754032479	79.9567899981849	47.8657705783826	0	1	-8.14327356204268e-05	-0.00268451023235352	0	0	-0.106584894925097	-0.250287347949674
5	finalLog_stopTrials_model079_startVal005_started2017-03-10-T135620	SAM_stopTrials_model079_startVal005_exit1_started2017-03-10-T135620	5	327.765776889351	02:35:05.95	1	15.7134745346142	1.95964304065	5.86641095289633	52.3997493256415	19.6893887039139	0.183292525185336	0.161304595653078	0.14571218447212	0.52312403459446	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0382785965442594	79.9567899981849	43.3320242507705	0	1	-8.14327356204268e-05	-0.00170223086361541	0	0	-0.384785719997408	-0.250287347949674	15.7134745346142	1.95964304065	4.47456198285838	52.3997493256415	19.8121345508412	0.183292525185336	0.161304595653078	0.14571218447212	0.516361898748472	0.0965465383798638	0.0960474692490777	0.1150281438595	4.43044453929807e-05	0.0375017807477965	79.9567899981849	43.7616519638784	0	1	-8.14327356204268e-05	-0.00191389195137501	0	0	-0.395599400420743	-0.250287347949674
