FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13
14	finalLog_goTrials_model002_startVal014_started2016-08-24-T111326	SAM_goTrials_model002_startVal014_exit1_started2016-08-24-T111326	14	1579.94428468209	00:20:28.91	1	5.28553251988658	5.03217809141711	144.443284713627	0.596575178205446	0.46275080893251	0.148398746557244	56.6024027674827	0	1	-0.000838069852579166	0	0	-0.0268653981127587	8.49402628626689	8.02881301128212	117.269521252179	0.664271660208459	0.430190595088705	0.15086183351524	42.0527020472923	0	1	-0.000976901211459808	0	0	-0.183978701346428
18	finalLog_goTrials_model002_startVal018_started2016-08-24-T111326	SAM_goTrials_model002_startVal018_exit1_started2016-08-24-T111326	18	1616.57395997104	00:18:11.05	1	7.16669900501131	5.4759351327923	114.167039279997	0.442559980215218	0.319999929829055	0.118605428475953	60.6349059679065	0	1	-5.97782775043311e-05	0	0	-0.0719353759406377	6.92517459361261	13.0858376995658	114.025969599365	0.455829510311655	0.252393796978543	0.147300706106009	56.894994099547	0	1	-0.00020198075062472	0	0	-0.304904222531464
16	finalLog_goTrials_model002_startVal016_started2016-08-24-T111326	SAM_goTrials_model002_startVal016_exit1_started2016-08-24-T111326	16	1641.11115805276	00:17:57.69	1	7.54609014536336	13.2543428359905	123.92067637534	0.541839019580537	0.428301655691211	0.122364420548705	71.1203161720593	0	1	-0.00112913690268412	0	0	-0.0370928343127401	16.3978469858411	11.8274645394712	92.8642794356958	0.609038320420959	0.472910067430113	0.138013944981318	37.8439047956536	0	1	-0.00398254125500984	0	0	-0.344802187838532
12	finalLog_goTrials_model002_startVal012_started2016-08-24-T111332	SAM_goTrials_model002_startVal012_exit1_started2016-08-24-T111332	12	1641.97805181775	00:27:08.62	1	3.15535018519074	11.2288315474896	117.516156273248	0.605269991148781	0.486799705548037	0.119764936558635	79.9916033506734	0	1	-0.0025365370790326	0	0	-0.00597641196193655	8.49476460478543	19.7832727288851	97.5315128749237	0.614534603355812	0.315358455238115	0.145899387185236	72.6938698442263	0	1	-0.00328981714972798	0	0	-0.0744233643211721
1	finalLog_goTrials_model002_startVal001_started2016-08-24-T111326	SAM_goTrials_model002_startVal001_exit1_started2016-08-24-T111326	1	1663.12756497898	00:15:08.14	1	8.61617877309677	9.18753534833897	96.3647281855045	0.346369887442187	0.254623624520115	0.0762211808316917	42.1968761174062	0	1	-0.000168997135461886	0	0	-0.0289000142644713	8.32794639741405	9.05432221202993	96.0742015692926	0.354013735284531	0.244965693326408	0.076273645100741	40.2894440829119	0	1	-0.000234615409629353	0	0	-0.0569113727677755
3	finalLog_goTrials_model002_startVal003_started2016-08-24-T111327	SAM_goTrials_model002_startVal003_exit1_started2016-08-24-T111327	3	1666.07035002907	00:17:35.51	1	3.52381965639182	11.3636938493426	108.741568509116	0.467806061871168	0.363481605723847	0.098112760514741	36.394434750292	0	1	-0.00154158731995289	0	0	-0.0144073933787736	2.90040081327272	12.123657866346	109.030779186272	0.478053879143772	0.309451627665799	0.127370397414735	29.5000268119948	0	1	-0.00169409029831233	0	0	-0.0529419099587414
17	finalLog_goTrials_model002_startVal017_started2016-08-24-T111330	SAM_goTrials_model002_startVal017_exit1_started2016-08-24-T111330	17	1672.03254421492	00:19:01.68	1	7.06611721419962	2.82506926981752	105.727887973098	0.42736694918448	0.310694517370404	0.112526069961576	72.6832248965997	0	1	-0.000191643284101676	0	0	-0.0614295098703049	4.60407601443517	6.09684705260535	77.0937548158826	0.231364782802007	0.14297605810144	0.152071496162644	26.9072431369648	0	1	-0.00046377592263865	0	0	-0.0269114687942718
5	finalLog_goTrials_model002_startVal005_started2016-08-24-T111326	SAM_goTrials_model002_startVal005_exit1_started2016-08-24-T111326	5	1675.56416060221	00:19:15.31	1	18.5653729958536	10.6678158138549	102.422130302011	0.421929227809522	0.338406365934445	0.0705954058656073	13.8213470487564	0	1	-0.00155404250199457	0	0	-0.034576922300199	20.4216831751934	6.44232079943512	96.9985551012794	0.391881465817962	0.3570443960576	0.0905188883412929	8.77511456785266	0	1	-0.00152277535681761	0	0	-0.0569999448293856
11	finalLog_goTrials_model002_startVal011_started2016-08-24-T111331	SAM_goTrials_model002_startVal011_exit1_started2016-08-24-T111331	11	1692.57427166747	00:24:56.16	1	10.8314497997021	10.6599917638513	83.6410576864152	0.352666484331963	0.276170862862689	0.0631231686739784	45.5904447706295	0	1	-0.000875596947157022	0	0	-0.125550603473145	9.53043659081829	16.0316815539368	72.9854413336905	0.321745072774713	0.203918328953046	0.136661022526514	37.1890381941556	0	1	-0.00154819801393227	0	0	-0.273148658595741
9	finalLog_goTrials_model002_startVal009_started2016-08-24-T111332	SAM_goTrials_model002_startVal009_exit1_started2016-08-24-T111332	9	1709.28750093177	00:17:54.80	1	5.41091219895081	0.852335057669101	120.883991862802	0.474076977802923	0.358229357381847	0.108173616368496	12.3433042777507	0	1	-0.000457545175828217	0	0	-0.108999088781142	7.97986291814022	1.09892403169073	103.519282583937	0.473023192326516	0.221949286126752	0.139541425541836	12.1758953665528	0	1	-0.00123370941368626	0	0	-0.177348998769129
