subject,model,scope,z0_1,z0_2,zc_1,zc_2,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,28,16,74,,0.191,0.168,0.148,,,,0.065,0.084,0.107,,,,0.032,27,0,1,-9.75E-05,0,0,0
1,79,stop,5,,16,,0.300,,,,,,,,,,,,0.039,23,0,1,-6.50E-07,0,-0.514450218,0
1,191,go,5,2,55,59,0.180,0.160,0.142,,,,0.073,0.088,0.110,,,,0.000,6,0,1,-0.001009971,0,0,0
1,191,stop,12,,28,,0.430,,,,,,,,,,,,0.018,1,0,1,-0.000628097,0,-0.214738658,0
1,352,go,45,,90,,0.223,0.207,0.198,0.180,0.174,0.153,0.059,0.079,0.077,0.102,0.105,0.130,0.035,64,0,1,-7.46E-08,0,0,0
1,352,stop,5,,19,,0.374,,,,,,,,,,,,0.041,16,0,1,-0.000877235,0,-0.264957818,0
1,478,go,46,39,90,,0.219,0.213,0.195,0.186,0.171,0.160,0.064,0.080,0.081,0.100,0.110,0.125,0.035,62,0,1,-8.65E-06,0,0,0
1,478,stop,3,,12,,0.287,,,,,,,,,,,,0.056,33,0,1,-0.000777782,0,-0.476741778,0
