FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20
8	finalLog_stopTrials_model002_startVal008_started2017-03-10-T173938	SAM_stopTrials_model002_startVal008_exit1_started2017-03-10-T173938	8	557.317783991168	06:29:05.00	1	2.90804802769866	8.90296462484179	2.73102339224883	266.879012389084	5.45660745368348	3.15677614394599	0.138719462284515	3.04669273182355	0.105776055802495	0.0412500029629354	23.5540312154765	35.2106165508438	0	1	-0.0114973752457457	-0.00588000540689983	0	0	-0.0736867413633742	0	2.90804802769866	8.90296462484179	0.479166636006995	266.879012389084	10.8144795840538	3.15677614394599	0.191132895356117	3.04669273182355	0.105776055802495	0.0234839711149885	23.5540312154765	34.3318526451903	0	1	-0.0114973752457457	-0.00581076031327913	0	0	-0.0674187710284744	0
11	finalLog_stopTrials_model002_startVal011_started2017-03-10-T173849	SAM_stopTrials_model002_startVal011_exit1_started2017-03-10-T173849	11	582.215680042011	06:03:55.57	1	2.90804802769866	8.90296462484179	0.888221624648458	266.879012389084	11.6263614619203	3.15677614394599	0.224672866599009	3.04669273182355	0.105776055802495	0.0586338871604589	23.5540312154765	0.156000656729767	0	1	-0.0114973752457457	-0.000779611398942728	0	0	-0.0213338272009304	0	2.90804802769866	8.90296462484179	0.538897180087425	266.879012389084	16.605894591417	3.15677614394599	0.229156693120803	3.04669273182355	0.105776055802495	0.0343364958107146	23.5540312154765	10.5826541741666	0	1	-0.0114973752457457	-0.000662977427433794	0	0	-0.10521660117965	0
2	finalLog_stopTrials_model002_startVal002_started2017-03-10-T165204	SAM_stopTrials_model002_startVal002_exit1_started2017-03-10-T165204	2	583.823968562267	05:34:55.32	1	2.90804802769866	8.90296462484179	5.07566326173296	266.879012389084	5.63900050466757	3.15677614394599	0.0239184673749556	3.04669273182355	0.105776055802495	0.0382177281078398	23.5540312154765	16.8115236475236	0	1	-0.0114973752457457	-0.00280679724101051	0	0	-0.390523827038753	0	2.90804802769866	8.90296462484179	5.2536409260888	266.879012389084	5.69743209975946	3.15677614394599	0.0312183813821141	3.04669273182355	0.105776055802495	0.0304072427720929	23.5540312154765	14.5708918878143	0	1	-0.0114973752457457	-0.0026009320999264	0	0	-0.410827291885191	0
3	finalLog_stopTrials_model002_startVal003_started2017-03-10-T165204	SAM_stopTrials_model002_startVal003_exit1_started2017-03-10-T165204	3	587.56560769155	06:36:37.48	1	2.90804802769866	8.90296462484179	3.49049825447109	266.879012389084	6.51747551092106	3.15677614394599	0.0620537042746818	3.04669273182355	0.105776055802495	0.0349732423387395	23.5540312154765	14.7888430542025	0	1	-0.0114973752457457	-0.00250134458971163	0	0	-0.324049162050546	0	2.90804802769866	8.90296462484179	2.0740662277636	266.879012389084	6.83257609492899	3.15677614394599	0.0666157980650354	3.04669273182355	0.105776055802495	0.0293423599470712	23.5540312154765	18.4130197735673	0	1	-0.0114973752457457	-0.00203447152516847	0	0	-0.428853632721252	0
7	finalLog_stopTrials_model002_startVal007_started2017-03-10-T173938	SAM_stopTrials_model002_startVal007_exit1_started2017-03-10-T173938	7	588.756052552743	08:13:09.98	1	2.90804802769866	8.90296462484179	18.5147811053689	266.879012389084	18.518704117154	3.15677614394599	0.239893417137684	3.04669273182355	0.105776055802495	0.0567348788189543	23.5540312154765	0.0306660360746314	0	1	-0.0114973752457457	-0.00200827101164336	0	0	-0.448523563127117	0	2.90804802769866	8.90296462484179	10.6613883927559	266.879012389084	18.5861654008279	3.15677614394599	0.26094093790141	3.04669273182355	0.105776055802495	0.0421106087335394	23.5540312154765	8.0009838358718	0	1	-0.0114973752457457	-0.00178541301140821	0	0	-0.332525593367404	0
13	finalLog_stopTrials_model002_startVal013_started2017-03-10-T175150	SAM_stopTrials_model002_startVal013_exit1_started2017-03-10-T175150	13	589.810278196335	08:38:52.90	1	2.90804802769866	8.90296462484179	15.4616467882832	266.879012389084	16.1366744172416	3.15677614394599	0.184115856384525	3.04669273182355	0.105776055802495	0.0415945447328459	23.5540312154765	20.1707434459791	0	1	-0.0114973752457457	-0.000201834683413621	0	0	-0.441641521434696	0	2.90804802769866	8.90296462484179	16.4382635523978	266.879012389084	20.1044309518523	3.15677614394599	0.186472217759151	3.04669273182355	0.105776055802495	0.0308971083208172	23.5540312154765	23.1943705510111	0	1	-0.0114973752457457	-0.000615902568187935	0	0	-0.47150623828708	0
1	finalLog_stopTrials_model002_startVal001_started2017-03-10-T165205	SAM_stopTrials_model002_startVal001_exit1_started2017-03-10-T165205	1	591.085978773102	05:47:47.41	1	2.90804802769866	8.90296462484179	0.722440738507639	266.879012389084	7.24879563018591	3.15677614394599	0.0962550951948663	3.04669273182355	0.105776055802495	0.0508072228832844	23.5540312154765	7.50867709206825	0	1	-0.0114973752457457	-0.00237517397182471	0	0	-0.469547953334822	0	2.90804802769866	8.90296462484179	1.40541923083789	266.879012389084	7.09349254166923	3.15677614394599	0.0853804555934236	3.04669273182355	0.105776055802495	0.0441910799212796	23.5540312154765	7.73927429652466	0	1	-0.0114973752457457	-0.00158743125893455	0	0	-0.49737739600687	0
10	finalLog_stopTrials_model002_startVal010_started2017-03-10-T173938	SAM_stopTrials_model002_startVal010_exit1_started2017-03-10-T173938	10	592.956074578979	05:21:05.77	1	2.90804802769866	8.90296462484179	10.9761265840181	266.879012389084	11.9694524306881	3.15677614394599	0.131114227446584	3.04669273182355	0.105776055802495	0.0273261536657368	23.5540312154765	21.6486609449446	0	1	-0.0114973752457457	-0.000269830960121009	0	0	-0.10357702011308	0	2.90804802769866	8.90296462484179	10.9627206059128	266.879012389084	13.8805561132194	3.15677614394599	0.165144817659047	3.04669273182355	0.105776055802495	0.0246710934413318	23.5540312154765	23.7916056899459	0	1	-0.0114973752457457	-0.00263339149782086	0	0	-0.0880183459555364	0
9	finalLog_stopTrials_model002_startVal009_started2017-03-10-T173938	SAM_stopTrials_model002_startVal009_exit1_started2017-03-10-T173938	9	597.24742684417	07:08:29.82	1	2.90804802769866	8.90296462484179	8.42113181630621	266.879012389084	8.48477162044458	3.15677614394599	0.244671134415451	3.04669273182355	0.105776055802495	0.026241397492057	23.5540312154765	30.2307533236673	0	1	-0.0114973752457457	-0.00262191403158858	0	0	-0.0170426478689331	0	2.90804802769866	8.90296462484179	5.4305574632094	266.879012389084	7.63659331678189	3.15677614394599	0.304508573701247	3.04669273182355	0.105776055802495	0.0153917740637143	23.5540312154765	34.8013184320757	0	1	-0.0114973752457457	-0.00256056332727385	0	0	-0.0120677950019437	0
6	finalLog_stopTrials_model002_startVal006_started2017-03-10-T173938	SAM_stopTrials_model002_startVal006_exit1_started2017-03-10-T173938	6	598.345268054936	07:19:30.53	1	2.90804802769866	8.90296462484179	9.55192103149624	266.879012389084	10.7373594443223	3.15677614394599	0.20360683867009	3.04669273182355	0.105776055802495	0.056029523782738	23.5540312154765	24.6169815595262	0	1	-0.0114973752457457	-0.00247519452908425	0	0	-0.209045162785616	0	2.90804802769866	8.90296462484179	9.59671502679928	266.879012389084	11.6490766706824	3.15677614394599	0.22627207329146	3.04669273182355	0.105776055802495	0.0474585389184887	23.5540312154765	28.645280806835	0	1	-0.0114973752457457	-0.00256670854640604	0	0	-0.274549378247926	0
