subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,ve_1,ve_2,ve_3,ve_4,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,12.6843113595481,51.0875083420846,91.6644176796989,0.261790584693019,0.229260219800938,,,0.11223606450496,0.178594310516875,,,0.0112711831941919,64.2632724265273,0,1,-0.000478135714942485,-0.00111808324541474,0,0
1,79,stop,22.5378948005655,,27.4845180656476,0.678914444069021,,,,NaN,,,,0.0508770599564018,33.7161290308137,0,1,-0.000618062358274002,NaN,-0.163446765238035,0
1,352,go,35.1193424659484,,112.739635378413,0.229908242734376,0.383930604073567,0.214337951219732,0.296324882876934,0.0579583338509304,0.0733133818032801,0.153103612947684,0.187736346309318,0.0201780116008488,38.9806464419833,0,1,-8.59032677719314e-05,-0.00848679049791523,0,0
1,352,stop,15.7715727223777,,16.2204736910307,0.129623149154054,,,,NaN,,,,0.0711213548880756,4.61926833696282,0,1,-0.000549149916148846,NaN,-0.189006106825022,0
1,478,go,19.0080812598691,82.3026127686865,138.255646866718,0.311890197534458,0.382484889444638,0.289352317148033,0.262969126316686,0.0874303440622656,0.17821387114055,0.149327010002585,0.252135031648883,0.0464395976322736,51.9985315224781,0,1,-0.000413980442193638,-0.00018663974768135,0,0
1,478,stop,3.00434838585029,,4.76995279104204,0.00680627423167515,,,,NaN,,,,0.045940008095577,25.114179907337,0,1,-0.00112758684331378,NaN,-0.518802796658665,0
3,79,go,24.1905703503116,13.4497986345567,58.8143483292248,0.347475396047975,0.335866283609165,,,0.165947190369931,0.295101939597055,,,0.04332626872474,78.1322998581676,0,1,-0.00204781829030978,-0.0070523680388116,0,0
3,79,stop,0.265031543253871,,10.9205261135424,0.0694715992752513,,,,NaN,,,,0.0245790181576857,4.86605990032703,0,1,-0.00230319508770896,NaN,-0.137764577577695,0
3,352,go,41.1964613435377,,51.4919143600635,0.468721485141649,0.243956031186711,0.321183358126287,0.17584309980911,0.00385430749633995,0.00120237893654035,0.114156932192911,0.118635945006896,0.0675775226569336,174.348554768477,0,1,-2.85712652799662e-07,-0.365155759933616,0,0
3,352,stop,14.9023949923674,,22.1776041819519,0.195292898617639,,,,NaN,,,,0.0718454694339495,12.9380221183898,0,1,-0.000624868534899959,NaN,-0.345537821911579,0
3,478,go,5.98719183359638,18.1106533733869,39.3407462853669,0.400957407377882,0.220726362039787,0.330642261830517,0.18862267344178,0.0934093502017974,0.115231555313481,0.16204018945493,0.238094896002323,0.0130266482632968,119.886304056125,0,1,-0.00334986764253487,-0.0579136066918052,0,0
3,478,stop,9.62388874452745,,14.6234766337568,0.12590835010314,,,,NaN,,,,0.0668602078005492,12.8699980916786,0,1,-2.59089763518473e-05,NaN,-0.410478095493061,0
