subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,ve_1,ve_2,ve_3,ve_4,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,12.6659828476573,49.6103934901017,91.9181005345511,0.260583802463786,0.229333761760435,,,0.112609656971231,0.178849176027762,,,0.0111708804380894,64.455989461601,0,1,-0.000480990151870806,-0.0011320544160906,0,0
1,79,stop,22.4302548334049,,27.04105834904,0.670457605628609,,,,NaN,,,,0.0496689985898112,28.9298554660999,0,1,-0.000648213671584851,NaN,-0.169662111267563,0
1,352,go,36.0971613690718,,112.359189430252,0.229373062651674,0.382621042492398,0.211639974376577,0.299784267089055,0.0563731337526782,0.061918142596381,0.152544490063495,0.184754240578614,0.0203339126687535,38.6403035938612,0,1,-9.84586462320722e-05,-0.00859931757311178,0,0
1,352,stop,15.9212845924689,,15.9743158873775,0.128370428320878,,,,NaN,,,,0.0690827446616102,4.4980606469197,0,1,-0.000614098468341152,NaN,-0.17228755146976,0
1,478,go,20.8693284730743,83.2546966077375,138.165661719982,0.310748056597208,0.387053047152434,0.292034288668217,0.265933632754241,0.0944637390904729,0.141541754829274,0.145715369969751,0.248341502471933,0.0480923742247186,54.0512690938941,0,1,-0.000433081609323664,-0.000147593506898858,0,0
1,478,stop,2.78118901350822,,3.43715120303947,0.00650065655862261,,,,NaN,,,,0.047781284750566,21.2795423120781,0,1,-0.000939055032343318,NaN,-0.5078932515902,0
3,79,go,24.1068628841368,13.5712090540536,58.722530638622,0.348213006730353,0.340571609057512,,,0.160434067627567,0.297392133431314,,,0.046964667441216,76.3978959890993,0,1,-0.00206670863029603,-0.00701896669549051,0,0
3,79,stop,0.238194425480813,,9.25082397829091,0.0684268389849688,,,,NaN,,,,0.0238749854159405,4.73439180267677,0,1,-0.00240396062323992,NaN,-0.144930425018555,0
3,352,go,49.9873434464981,,51.3709826339535,0.471967307077116,0.245031586863327,0.332161376425216,0.180063513717639,0.00391888165510895,0.00116643123684411,0.119257330267078,0.114929413152049,0.0656075533713989,143.365718863133,0,1,-2.28093187031424e-05,-0.346582742939103,0,0
3,352,stop,16.1046570933989,,19.8116680511724,0.19982297993368,,,,NaN,,,,0.0698404300727162,12.1967575708921,0,1,-0.000654377386397293,NaN,-0.371895690139005,0
3,478,go,6.75316921434714,16.7036275581321,38.6901456446718,0.398149149778849,0.219123308433284,0.329114725997097,0.179821513316912,0.0926019025632332,0.111290429349134,0.158373257476125,0.240528061898754,0.014078058243718,119.174839489372,0,1,-0.00328167826420413,-0.0594870948703994,0,0
3,478,stop,10.8324812808212,,14.2006448003005,0.123515037486587,,,,NaN,,,,0.0607580769792823,12.6592275043134,0,1,-9.14709040596698e-05,NaN,-0.442147573161209,0
